GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US01001,58805,11445,44523,8363,17065,1339,18172.0,546.0,5936.0
0500000US01003,231767,18217,182471,13593,28235,8197,72883.0,2464.0,18458.0
0500000US01005,25223,11933,20134,9278,18728,934,5454.0,92.99999999999997,4871.0
0500000US01007,22293,4413,17533,3564,7224,463,6738.0,123.99999999999997,1874.0
0500000US01009,59134,845,45403,647,1427,3534,22859.0,337.99999999999994,2156.0
0500000US01011,10357,7396,8356,5892,11844,273,1140.0,21.99999999999999,3530.0
0500000US01013,19051,8430,14903,6326,12824,178,4901.0,64.99999999999997,3726.0
0500000US01015,116441,25559,92289,19865,40519,3229,32865.0,1115.9999999999998,13242.0
0500000US01017,34772,13512,27791,10540,21305,823,7843.0,167.99999999999997,5784.0
0500000US01019,24971,987,20169,825,1734,246,8953.0,146.99999999999997,1547.0
0500000US01021,45014,4067,34385,3069,6287,2735,15081.0,227.99999999999994,2911.0
0500000US01023,12665,5232,10168,4211,8496,75,4106.0,51.99999999999998,3109.0
0500000US01025,23087,10255,18249,7894,15917,124,7140.0,98.99999999999997,5749.0
0500000US01027,14236,1963,11299,1530,3132,287,5245.0,92.99999999999997,1237.0
0500000US01029,15056,466,11620,372,768,187,5764.0,89.99999999999997,684.0
0500000US01031,53465,8760,40774,6644,13745,2996,15875.0,395.99999999999994,4221.0
0500000US01033,57227,9286,45078,7169,14645,1061,16746.0,510.99999999999994,7312.0
0500000US01035,11597,5104,9277,3961,8002,155,3420.0,50.99999999999998,3080.0
0500000US01037,10387,3008,8603,2466,5016,112,3381.0,52.99999999999998,1782.0
0500000US01039,37570,4607,29387,3482,7113,414,13267.0,182.99999999999991,2387.0
0500000US01041,13194,3103,10360,2401,4918,119,4513.0,64.99999999999997,1664.0
0500000US01043,87866,937,68240,727,1610,2533,32989.0,686.9999999999999,3798.0
0500000US01045,49326,10241,38048,7505,15412,2101,13808.0,349.99999999999994,4413.0
0500000US01047,38462,26899,29613,20104,40598,217,5789.0,95.99999999999996,12836.0
0500000US01049,71608,1046,53920,831,1860,6600,21779.0,468.9999999999999,3682.0
0500000US01051,87977,18211,69005,14031,28470,1786,27634.0,738.0,8443.0
0500000US01053,36757,10991,28575,8495,17217,444,9935.0,187.99999999999994,4605.0
0500000US01055,103436,15146,81121,11488,23665,2916,32353.0,834.9999999999999,10442.0
0500000US01057,16321,1736,12791,1336,2764,245,6712.0,108.99999999999997,1362.0
0500000US01059,32113,1166,23931,911,1904,3729,9466.0,237.99999999999997,2197.0
0500000US01061,26659,2241,20820,1775,3710,793,9994.0,148.99999999999994,1525.0
0500000US01063,7730,6246,6070,4806,9690,50,838.0,12.99999999999999,4013.0
0500000US01065,14785,8337,11483,6370,12862,93,3173.0,53.99999999999998,4775.0
0500000US01067,17146,4248,13641,3429,6950,215,5632.0,90.99999999999997,2292.0
0500000US01069,107202,28408,82646,20476,41771,2855,30728.0,778.9999999999999,10664.0
0500000US01071,52579,1636,41768,1309,2799,1040,16672.0,392.99999999999994,3673.0
0500000US01073,674721,281326,527087,213751,432156,22613,134768.0,6644.999999999999,156873.0
0500000US01075,13972,1425,11019,1145,2367,133,5823.0,61.99999999999997,1036.0
0500000US01077,93564,9243,74908,7061,14628,1990,27899.0,986.9999999999999,9952.0
0500000US01079,33073,3304,25878,2726,5561,580,10833.0,249.99999999999994,3627.0
0500000US01081,174241,39570,136444,30298,61745,6130,34617.0,2030.0,21230.0
0500000US01083,103570,13307,79718,10495,21639,4294,29067.0,1055.0,9468.0
0500000US01085,10311,7192,8283,5603,11327,98,1751.0,31.99999999999999,4883.0
0500000US01087,19532,15441,16226,12849,25940,271,1431.0,68.99999999999997,7566.0
0500000US01089,388153,92066,304143,70675,145203,16137,89520.0,6621.0,62822.0
0500000US01091,19323,10188,15053,7735,15587,262,5233.0,103.99999999999997,5615.0
0500000US01093,29341,1106,23264,880,1869,519,11274.0,180.99999999999994,1432.0
0500000US01095,97612,2428,73530,1725,3740,8841,29233.0,677.9999999999999,4917.0
0500000US01097,414809,146254,319427,107190,217495,9156,95116.0,3291.0,72186.0
0500000US01099,19772,8299,15562,6341,12781,128,5795.0,87.99999999999997,4332.0
0500000US01101,228954,130467,177427,97867,197750,6663,34003.0,1486.0,58916.0
0500000US01103,123421,15453,95485,11562,23760,7447,37486.0,1168.0,11254.0
0500000US01105,8511,5936,6740,4524,9115,63,1407.0,22.99999999999999,3824.0
0500000US01107,19123,7489,15447,5820,11751,911,5456.0,48.999999999999964,3972.0
0500000US01109,33009,12138,26809,9524,19346,622,7693.0,256.99999999999994,5056.0
0500000US01111,21967,3815,17264,2931,5945,336,7705.0,123.99999999999996,2291.0
0500000US01113,59183,26243,44681,19225,39065,1945,9210.0,280.99999999999994,9579.0
0500000US01115,91103,8652,70092,6631,13664,1589,31651.0,684.0,5589.0
0500000US01117,223024,28939,170487,21411,43878,10463,73020.0,2965.0,22977.0
0500000US01119,12345,8997,9914,7052,14190,107,1581.0,56.99999999999998,4746.0
0500000US01121,82149,26439,65024,20345,41176,1171,20614.0,410.9999999999999,12121.0
0500000US01123,41311,10409,33012,7841,15879,707,13594.0,232.99999999999994,5519.0
