GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US01001,58805,11445,44523,8363,17065,1339,32.5322367,-86.6464395
0500000US01003,231767,18217,182471,13593,28235,8197,30.6592183,-87.7460666
0500000US01005,25223,11933,20134,9278,18728,934,31.8702531,-85.4051035
0500000US01007,22293,4413,17533,3564,7224,463,33.0158929,-87.1271475
0500000US01009,59134,845,45403,647,1427,3534,33.9773575,-86.56644
0500000US01011,10357,7396,8356,5892,11844,273,32.1017589,-85.7172613
0500000US01013,19051,8430,14903,6326,12824,178,31.751667,-86.6819689
0500000US01015,116441,25559,92289,19865,40519,3229,33.7705162,-85.8279089
0500000US01017,34772,13512,27791,10540,21305,823,32.9155039,-85.3940321
0500000US01019,24971,987,20169,825,1734,246,34.0695153,-85.6542417
0500000US01021,45014,4067,34385,3069,6287,2735,32.8540514,-86.7266071
0500000US01023,12665,5232,10168,4211,8496,75,31.9909539,-88.2488894
0500000US01025,23087,10255,18249,7894,15917,124,31.6855211,-87.8186244
0500000US01027,14236,1963,11299,1530,3132,287,33.2703999,-85.8635254
0500000US01029,15056,466,11620,372,768,187,33.6719637,-85.5161261
0500000US01031,53465,8760,40774,6644,13745,2996,31.402258,-85.9896022
0500000US01033,57227,9286,45078,7169,14645,1061,34.703112,-87.8014569
0500000US01035,11597,5104,9277,3961,8002,155,31.4309257,-86.9887221
0500000US01037,10387,3008,8603,2466,5016,112,32.9314453,-86.2434818
0500000US01039,37570,4607,29387,3482,7113,414,31.2439873,-86.4487206
0500000US01041,13194,3103,10360,2401,4918,119,31.7303106,-86.3200384
0500000US01043,87866,937,68240,727,1610,2533,34.1319229,-86.8692666
0500000US01045,49326,10241,38048,7505,15412,2101,31.4306536,-85.609476
0500000US01047,38462,26899,29613,20104,40598,217,32.3335263,-87.11436
0500000US01049,71608,1046,53920,831,1860,6600,34.4609148,-85.8040207
0500000US01051,87977,18211,69005,14031,28470,1786,32.597229,-86.1427347
0500000US01053,36757,10991,28575,8495,17217,444,31.1222867,-87.1684097
0500000US01055,103436,15146,81121,11488,23665,2916,34.0476407,-86.0342629
0500000US01057,16321,1736,12791,1336,2764,245,33.7161568,-87.7642923
0500000US01059,32113,1166,23931,911,1904,3729,34.4419892,-87.8428144
0500000US01061,26659,2241,20820,1775,3710,793,31.0923822,-85.8210224
0500000US01063,7730,6246,6070,4806,9690,50,32.8444965,-87.9642005
0500000US01065,14785,8337,11483,6370,12862,93,32.7527958,-87.6230608
0500000US01067,17146,4248,13641,3429,6950,215,31.5169779,-85.2399712
0500000US01069,107202,28408,82646,20476,41771,2855,31.1581831,-85.2964111
0500000US01071,52579,1636,41768,1309,2799,1040,34.764114,-85.9800556
0500000US01073,674721,281326,527087,213751,432156,22613,33.5534439,-86.8965359
0500000US01075,13972,1425,11019,1145,2367,133,33.7870852,-88.0874309
0500000US01077,93564,9243,74908,7061,14628,1990,34.9041221,-87.6509966
0500000US01079,33073,3304,25878,2726,5561,580,34.529776,-87.3218651
0500000US01081,174241,39570,136444,30298,61745,6130,32.6040644,-85.3530477
0500000US01083,103570,13307,79718,10495,21639,4294,34.8102387,-86.9813995
0500000US01085,10311,7192,8283,5603,11327,98,32.147888,-86.6505859
0500000US01087,19532,15441,16226,12849,25940,271,32.3870267,-85.692887
0500000US01089,388153,92066,304143,70675,145203,16137,34.7642377,-86.5510802
0500000US01091,19323,10188,15053,7735,15587,262,32.2475911,-87.791091
0500000US01093,29341,1106,23264,880,1869,519,34.1382194,-87.881551
0500000US01095,97612,2428,73530,1725,3740,8841,34.3095637,-86.3216681
0500000US01097,414809,146254,319427,107190,217495,9156,30.6845725,-88.1965682
0500000US01099,19772,8299,15562,6341,12781,128,31.5803324,-87.3832656
0500000US01101,228954,130467,177427,97867,197750,6663,32.2028812,-86.2044615
0500000US01103,123421,15453,95485,11562,23760,7447,34.4544844,-86.8464021
0500000US01105,8511,5936,6740,4524,9115,63,32.6390053,-87.2938269
0500000US01107,19123,7489,15447,5820,11751,911,33.2968003,-88.0968644
0500000US01109,33009,12138,26809,9524,19346,622,31.7986533,-85.9416076
0500000US01111,21967,3815,17264,2931,5945,336,33.2964614,-85.4640637
0500000US01113,59183,26243,44681,19225,39065,1945,32.2898113,-85.1869798
0500000US01115,91103,8652,70092,6631,13664,1589,33.7194907,-86.3113273
0500000US01117,223024,28939,170487,21411,43878,10463,33.2630428,-86.6780894
0500000US01119,12345,8997,9914,7052,14190,107,32.5974811,-88.2000571
0500000US01121,82149,26439,65024,20345,41176,1171,33.3693135,-86.1759302
0500000US01123,41311,10409,33012,7841,15879,707,32.8633076,-85.7996176
0500000US01125,227036,69088,179024,51418,104278,8589,33.2902197,-87.5227834
0500000US01127,65342,3929,51667,3026,6258,1354,33.7915581,-87.3010936
0500000US01129,15388,3318,12081,2641,5359,95,31.4085035,-88.2124041
0500000US01131,10600,7483,8260,5639,11352,80,31.9900824,-87.3049349
0500000US01133,23540,141,18766,107,253,464,34.1545665,-87.3653458
