GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US05001,17149,4156,13293,3073,6235,388,4304.0,45.99999999999996,1818.0
0500000US05003,19062,4669,14736,3526,7130,696,5548.0,24.99999999999998,2125.0
0500000US05005,41627,90,34358,69,199,694,15836.0,182.99999999999994,4635.0
0500000US05007,284333,4732,208604,3318,7689,32032,73965.0,1971.9999999999998,42249.0
0500000US05009,37373,108,29083,69,211,598,13627.0,150.99999999999994,3055.0
0500000US05011,10545,2937,7857,2171,4389,939,2335.0,32.99999999999998,1214.0
0500000US05013,4739,913,3781,753,1532,72,1636.0,15.999999999999986,479.0
0500000US05015,28260,95,22082,69,222,2711,7424.0,99.99999999999996,4023.0
0500000US05017,10208,5417,8005,4063,8199,378,1752.0,16.999999999999986,2260.0
0500000US05019,21446,5127,17401,4057,8286,701,4616.0,78.99999999999996,3438.0
0500000US05021,14552,42,11384,40,122,190,4086.0,52.99999999999996,962.0
0500000US05023,24711,69,20099,47,138,378,10328.0,104.99999999999997,1988.0
0500000US05025,7550,686,5942,509,1048,115,2867.0,26.99999999999999,651.0
0500000US05027,22801,7866,17954,6005,12136,533,5500.0,52.99999999999996,2814.0
0500000US05029,20715,2209,15984,1685,3485,567,5694.0,77.99999999999997,2615.0
0500000US05031,111231,18473,83620,11965,24636,4213,25557.35220125786,439.9937106918238,11920.90251572327
0500000US05033,60133,897,45387,599,1469,2789,18607.0,273.99999999999994,4959.0
0500000US05035,48163,25905,35537,18116,36599,876,7333.0,111.99999999999996,8514.0
0500000US05037,16833,3658,12687,2626,5346,189,4946.0,47.99999999999997,1772.0
0500000US05039,6482,2592,5097,1971,3993,119,1573.0,13.999999999999979,963.0
0500000US05041,11395,5398,8605,3901,7880,508,1921.0,17.999999999999982,2016.0
0500000US05043,17350,4846,13382,3650,7418,421,4349.0,26.999999999999982,2426.0
0500000US05045,123498,14384,94673,10377,22118,4392,34421.0,840.0,18347.0
0500000US05047,17097,79,12986,49,141,302,5677.0,66.99999999999999,1300.0
0500000US05049,12075,27,9409,12,42,86,3961.0,37.99999999999996,1035.0
0500000US05051,100180,8128,79730,5918,12572,4390,29069.0,395.9999999999999,14045.0
0500000US05053,17958,458,13816,362,755,256,6794.0,55.99999999999998,1268.0
0500000US05055,45736,933,34486,526,1183,930,12670.0,187.99999999999997,3058.0
0500000US05057,20065,5683,15024,4141,8432,1778,4470.0,30.999999999999982,2138.0
0500000US05059,33040,3472,26041,2795,5802,768,9202.0,92.99999999999996,3082.0
0500000US05061,12785,2642,9548,1921,3928,891,3367.0,26.999999999999982,1340.0
0500000US05063,37938,849,28767,618,1377,1880,11250.0,146.99999999999994,2806.0
0500000US05065,13577,256,11172,248,551,222,4631.0,54.99999999999997,1021.0
0500000US05067,16755,2786,13442,2195,4483,288,3593.0,36.99999999999998,1365.0
0500000US05069,67260,37835,53273,28890,58262,1036,9521.0,105.99999999999996,14981.0
0500000US05071,25749,482,19377,385,864,2131,6938.0,96.99999999999997,2283.0
