GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US05001,17149,4156,13293,3073,6235,388,34.2895697,-91.3765466
0500000US05003,19062,4669,14736,3526,7130,696,33.1908354,-91.7722672
0500000US05005,41627,90,34358,69,199,694,36.2802684,-92.3299488
0500000US05007,284333,4732,208604,3318,7689,32032,36.3378189,-94.2562984
0500000US05009,37373,108,29083,69,211,598,36.3042991,-93.0792364
0500000US05011,10545,2937,7857,2171,4389,939,33.4665491,-92.1691559
0500000US05013,4739,913,3781,753,1532,72,33.5604604,-92.513879
0500000US05015,28260,95,22082,69,222,2711,36.3373704,-93.5409718
0500000US05017,10208,5417,8005,4063,8199,378,33.2671393,-91.2971578
0500000US05019,21446,5127,17401,4057,8286,701,34.0533162,-93.1762085
0500000US05021,14552,42,11384,40,122,190,36.3673021,-90.4187041
0500000US05023,24711,69,20099,47,138,378,35.5663146,-92.0599504
0500000US05025,7550,686,5942,509,1048,115,33.8932006,-92.1887141
0500000US05027,22801,7866,17954,6005,12136,533,33.2230377,-93.2328433
0500000US05029,20715,2209,15984,1685,3485,567,35.265702,-92.6892479
0500000US05031,111231,18473,83620,11965,24636,4213,35.8277285,-90.6314213
0500000US05033,60133,897,45387,599,1469,2789,35.5830114,-94.2362187
0500000US05035,48163,25905,35537,18116,36599,876,35.1975594,-90.3051195
0500000US05037,16833,3658,12687,2626,5346,189,35.2856921,-90.7639835
0500000US05039,6482,2592,5097,1971,3993,119,33.9678233,-92.6539989
0500000US05041,11395,5398,8605,3901,7880,508,33.8287519,-91.2441034
0500000US05043,17350,4846,13382,3650,7418,421,33.5872418,-91.7227781
0500000US05045,123498,14384,94673,10377,22118,4392,35.1465478,-92.3369277
0500000US05047,17097,79,12986,49,141,302,35.5085579,-93.8876647
0500000US05049,12075,27,9409,12,42,86,36.3813225,-91.8192849
0500000US05051,100180,8128,79730,5918,12572,4390,34.5788522,-93.1469323
0500000US05053,17958,458,13816,362,755,256,34.2855683,-92.4229794
0500000US05055,45736,933,34486,526,1183,930,36.1206072,-90.5663459
0500000US05057,20065,5683,15024,4141,8432,1778,33.735953,-93.6643553
0500000US05059,33040,3472,26041,2795,5802,768,34.3151767,-92.9441474
0500000US05061,12785,2642,9548,1921,3928,891,34.0830639,-93.9909315
0500000US05063,37938,849,28767,618,1377,1880,35.7374992,-91.5599423
0500000US05065,13577,256,11172,248,551,222,36.0948792,-91.9136252
0500000US05067,16755,2786,13442,2195,4483,288,35.5964674,-91.2232051
0500000US05069,67260,37835,53273,28890,58262,1036,34.277239,-91.929673
0500000US05071,25749,482,19377,385,864,2131,35.5733586,-93.4663223
0500000US05073,6308,2057,5078,1614,3254,109,33.2406294,-93.611514
0500000US05075,16216,143,12597,125,307,212,36.0410983,-91.1011529
0500000US05077,8600,4663,7029,3705,7526,166,34.7795048,-90.7797172
0500000US05079,12941,3652,10858,3285,6660,420,33.9563846,-91.742355
0500000US05081,12026,2178,9354,1690,3435,237,33.7019411,-94.2362871
0500000US05083,21131,232,16279,175,401,380,35.2186538,-93.7209102
0500000US05085,74015,4386,54933,3178,6699,2151,34.7551137,-91.894132
0500000US05087,16521,41,12750,26,94,591,36.0125452,-93.7240531
0500000US05089,16826,20,13820,12,54,241,36.2666636,-92.6785765
0500000US05091,42600,10988,32724,7969,16213,1001,33.3055054,-93.9015018
0500000US05093,40685,14323,30188,10036,20388,1062,35.7669437,-90.0522072
0500000US05095,6799,2760,5364,2064,4173,126,34.6795117,-91.2033099
0500000US05097,8484,18,6803,13,37,249,34.5456557,-93.664153
0500000US05099,8310,2444,6433,1872,3810,215,33.6666991,-93.3050716
0500000US05101,7225,7,5928,7,22,52,35.9107423,-93.2158984
0500000US05103,22650,8899,17751,6722,13656,317,33.5911684,-92.8784131
0500000US05105,10019,107,7820,93,207,160,34.9463629,-92.9268773
0500000US05107,16568,10343,12328,7360,14852,189,34.4236874,-90.8555931
0500000US05109,10171,241,7897,196,419,536,34.1581907,-93.6586589
0500000US05111,22965,1783,17530,1272,2668,475,35.5688702,-90.6811037
0500000US05113,19221,43,14907,28,108,790,34.4909149,-94.2308841
0500000US05115,63381,2100,48973,1654,3605,4065,35.456557,-93.0268181
0500000US05117,8282,925,6495,715,1458,82,34.8311162,-91.5536205
0500000US05119,399125,143548,309578,105807,215621,21628,34.7703106,-92.312996
0500000US05121,18571,140,14127,112,271,234,36.3412985,-91.0284409
0500000US05123,23090,12561,18406,9533,19218,549,35.0228383,-90.7515058
0500000US05125,123416,10414,93852,7018,14573,5124,34.6485246,-92.674463
0500000US05127,9836,35,7507,11,47,426,34.8588693,-94.0636413
0500000US05129,7828,5,6274,0,13,89,35.8963868,-92.6958884
0500000US05131,127799,8061,97381,5837,12728,12049,35.1969808,-94.2749889
0500000US05133,15839,578,11405,474,1017,3319,33.9948773,-94.2432792
0500000US05135,17271,118,13733,69,181,222,36.1733989,-91.4710689
0500000US05137,12359,21,9880,10,36,177,35.8570011,-92.1404819
0500000US05139,39054,12729,30008,9406,19048,1087,33.1682186,-92.5981447
0500000US05141,15796,77,12778,62,150,311,35.5829532,-92.5159757
0500000US05143,245871,8652,187669,6335,14075,28669,35.978001,-94.2172695
0500000US05145,76822,3728,58935,2822,6001,2090,35.2551175,-91.7530339
0500000US05147,6269,1613,4953,1305,2645,64,35.1927768,-91.2445353
0500000US05149,20263,251,15326,184,417,2681,34.9977133,-93.4083032
