GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US04001,66021,185,49105,164,452,2572,35.385084,-109.4901722
0500000US04003,125447,4783,99330,3790,8540,29667,31.8401287,-109.7751627
0500000US04005,145101,1961,115992,1747,4417,15873,35.8296919,-111.7737277
0500000US04007,53272,282,43006,205,533,6535,33.7896177,-110.8118696
0500000US04009,38533,537,27715,444,992,7880,32.9318277,-109.8783103
0500000US04011,9563,87,6843,58,152,2939,33.2388723,-109.2423231
0500000US04012,16557,114,13505,99,261,2818,33.7276104,-114.038806
0500000US04013,4420568,260469,3382386,188296,413471,902740,33.3451756,-112.4989296
0500000US04015,213267,2221,177461,1794,4418,24252,35.717705,-113.7496891
0500000US04017,106717,760,79208,626,1570,7334,35.3907852,-110.3210248
0500000US04019,1043433,39954,834265,29806,67226,265048,32.128038,-111.7836574
0500000US04021,425264,21968,325640,15957,34769,80802,32.9185209,-111.3663396
0500000US04023,47669,187,35215,127,333,27978,31.525733,-110.8452278
0500000US04025,236209,1543,199136,1253,3352,23500,34.631071,-112.5772247
0500000US04027,203881,4099,153169,3267,7345,89679,32.7739424,-113.910905
