GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US06001,1682353,164879,1338388,134525,288874,286178,37.6471385,-121.912488
0500000US06003,1204,10,1009,9,28,62,38.6217831,-119.7983522
0500000US06005,40474,1236,34042,1193,2525,4550,38.4435493,-120.653858
0500000US06007,211632,3644,168339,2773,7004,28425,39.6653362,-121.6032086
0500000US06009,45292,364,37337,278,738,4153,38.1910682,-120.5541065
0500000US06011,21839,198,15733,149,360,8830,39.1777385,-122.2375629
0500000US06013,1165927,101485,902672,78292,168817,220469,37.919479,-121.9515431
0500000US06015,27743,855,22052,812,1773,3988,41.7499033,-123.9809983
0500000US06017,191185,1537,152083,1209,3192,17878,38.7856116,-120.5342245
0500000US06019,1008654,48707,730245,34327,74448,362203,36.7610058,-119.6550193
0500000US06021,28917,177,21464,151,410,8394,39.6025462,-122.4016998
0500000US06023,136463,1879,109809,1568,4197,13080,40.7066554,-123.9261757
0500000US06025,179702,4362,132200,3726,7935,109692,33.0408143,-115.3554001
0500000US06027,19016,97,15180,81,233,2971,36.5621604,-117.4042092
0500000US06029,909235,50130,651739,35846,76939,329372,35.3466288,-118.7295064
0500000US06031,152486,9023,111935,7188,15312,59175,36.072478,-119.8155301
0500000US06033,68163,1199,54080,1004,2416,10192,39.0948019,-122.7467569
0500000US06035,32730,2277,27226,2199,4504,6363,40.7152866,-120.6212225
0500000US06037,10014009,794364,7959791,639490,1372211,3562733,34.1963983,-118.2618616
0500000US06039,156255,4596,113229,3765,8106,61040,37.2098213,-119.7498023
0500000US06041,262321,6339,209451,5442,12519,34769,38.0513667,-122.7463958
0500000US06043,17131,108,14187,99,277,1473,37.5743432,-119.9117215
0500000US06045,91601,642,72751,510,1452,15881,39.4323876,-123.4428811
0500000US06047,281202,9158,200223,6898,15337,114581,37.1948063,-120.7228019
0500000US06049,8700,67,6905,48,139,853,41.5929185,-120.7183704
0500000US06051,13195,74,10555,61,155,2383,37.9158363,-118.8751668
0500000US06053,439035,9943,327777,8471,19524,179854,36.2401044,-121.3155781
0500000US06055,138019,2443,110473,1990,4687,34398,38.5070999,-122.3259045
0500000US06057,102241,460,84331,360,1069,7181,39.2975082,-120.7713429
0500000US06059,3186989,53842,2519658,43457,103296,784070,33.6756872,-117.7772068
0500000US06061,404739,6890,313117,5351,13024,40506,39.0620323,-120.7227181
0500000US06063,19790,103,16340,77,230,1244,39.9922953,-120.8243709
0500000US06065,2418185,156477,1823505,118101,256928,830669,33.7298275,-116.0022389
0500000US06067,1585055,152795,1217309,114882,252286,257434,38.4501363,-121.3443291
0500000US06069,64209,634,47915,475,1218,27227,36.6116507,-121.0858108
0500000US06071,2181654,184558,1629042,136376,292227,814248,34.8566615,-116.1815707
0500000US06073,3298634,155813,2608768,122721,275465,807212,33.0236041,-116.7761174
0500000US06075,873965,46725,760738,40302,89348,111051,37.7272391,-123.0322294
0500000US06077,779233,60351,573400,44560,95962,217560,37.9349815,-121.272244
0500000US06079,282424,4610,231744,4069,9552,47998,35.3881891,-120.4488974
0500000US06081,764442,15707,610236,13447,31549,141245,37.4146725,-122.3715457
0500000US06083,448229,7374,350805,6155,14926,146175,34.5366774,-120.0383645
0500000US06085,1936259,44966,1529717,36505,82971,353056,37.2216142,-121.6895401
0500000US06087,270861,3150,219764,2747,7196,67832,37.0123466,-122.0077889
0500000US06089,182155,1912,143512,1455,3785,12990,40.7605142,-122.0435558
0500000US06091,3236,7,2698,3,25,254,39.5769252,-120.5219926
0500000US06093,44076,496,35590,396,1029,3729,41.5879861,-122.5332868
0500000US06095,453491,62157,354770,49380,106121,88585,38.2672255,-121.939594
0500000US06097,488863,7615,393152,6148,15311,98139,38.5251824,-122.9261095
0500000US06099,552878,15913,407908,11770,26672,177717,37.5623162,-121.0028311
0500000US06101,99633,1982,74581,1498,3568,20687,39.0361898,-121.7039397
0500000US06103,65829,420,49851,323,889,11392,40.1261573,-122.2322737
0500000US06105,16112,71,13419,59,143,684,40.6478582,-123.114666
0500000US06107,473117,6668,331093,4688,10939,201152,36.2288339,-118.7810551
0500000US06109,55620,1009,46268,983,2198,5284,38.0214344,-119.9647335
0500000US06111,843843,15330,656198,12298,29464,257845,34.3587477,-119.1331453
0500000US06113,216403,6164,171256,4813,11294,51177,38.6796091,-121.90275
0500000US06115,81575,3052,59545,2265,5350,15011,39.27013,-121.3442587
