GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US08001,519572,17463,386271,12450,28172,144998,39.8743252,-104.3318718
0500000US08003,16376,251,12544,219,482,5441,37.5684423,-105.7880414
0500000US08005,655070,70787,501680,51427,110823,91366,39.6445537,-104.3317065
0500000US08007,13359,41,10948,34,122,1503,37.2023952,-107.0508634
0500000US08009,3506,26,2753,14,49,226,37.3097802,-102.5437412
0500000US08011,5650,256,4745,244,504,1393,37.9318907,-103.0775841
0500000US08013,330758,3393,268640,2779,7216,33513,40.0949619,-105.3977045
0500000US08014,74112,989,57916,773,1926,6756,39.9535933,-105.0507868
0500000US08015,19476,296,16471,271,597,1457,38.7345986,-106.3000246
0500000US08017,1748,1,1338,1,10,125,38.8356456,-102.6017914
0500000US08019,9397,52,8011,34,102,495,39.6894025,-105.6707833
0500000US08021,7461,27,5515,19,55,2848,37.2134065,-106.1764473
0500000US08023,3499,40,2879,29,81,1562,37.2775474,-105.4289399
0500000US08025,5922,517,5284,507,1024,1378,38.3061801,-103.7727363
0500000US08027,4704,11,3996,11,42,140,38.1019955,-105.3735123
0500000US08029,31196,145,24993,115,307,2914,38.8615949,-107.8648924
0500000US08031,715522,64038,581062,48224,104269,142473,39.7618502,-104.8811054
0500000US08033,2326,18,1924,14,36,115,37.7338227,-108.5062192
0500000US08035,357978,5160,266006,3940,9695,22174,39.325414,-104.9259871
0500000US08037,55731,340,43263,274,689,11577,39.6269919,-106.6951694
0500000US08039,26062,123,20395,98,271,1358,39.3151572,-104.1140759
0500000US08041,730395,43822,558711,33007,75088,85855,38.8273831,-104.5274718
0500000US08043,48939,1848,41204,1791,3685,4781,38.4551697,-105.4249582
0500000US08045,61685,335,46166,249,739,12631,39.5993517,-107.9097802
0500000US08047,5808,38,4916,35,81,293,39.8611555,-105.5288778
0500000US08049,15717,64,13090,56,144,1053,40.1130652,-106.1108366
0500000US08051,16918,88,14028,69,174,1129,38.6704993,-107.0568798
0500000US08053,788,8,657,3,17,25,37.8115187,-107.3839736
0500000US08055,6820,65,5722,48,112,1569,37.6878154,-104.9599278
0500000US08057,1379,0,1137,0,6,87,40.6634319,-106.3292476
0500000US08059,582910,7356,469066,5667,14262,64628,39.5795106,-105.245462
0500000US08061,1446,4,1099,3,15,57,38.387663,-102.7568494
0500000US08063,7087,24,5305,15,42,865,39.3053399,-102.6030226
0500000US08065,7436,38,5884,29,80,1832,39.2053405,-106.350079
0500000US08067,55638,205,45269,147,495,4994,37.2873673,-107.8397178
0500000US08069,359066,3815,289333,3040,7912,30786,40.6580933,-105.4867638
0500000US08071,14555,211,12044,167,378,4322,37.3188308,-104.0441103
0500000US08073,5675,275,4485,274,559,602,38.9937401,-103.5075545
0500000US08075,21528,765,17431,695,1443,2576,40.7280911,-103.0904639
0500000US08077,155703,1151,123055,857,2272,15716,39.019524,-108.4605707
0500000US08079,865,3,773,3,10,33,37.5490672,-107.003236
0500000US08081,13292,77,9993,57,147,1357,40.6108644,-108.2171545
0500000US08083,25849,80,20464,59,211,2043,37.3380247,-108.5957864
0500000US08085,42679,181,33608,122,364,5987,38.4075069,-108.2662815
0500000US08087,29111,975,21390,645,1359,6881,40.263159,-103.8122102
0500000US08089,18690,165,14318,133,326,5340,37.8841698,-103.7212597
0500000US08091,4874,16,4183,16,39,208,38.1547313,-107.7884802
0500000US08093,17390,94,14595,80,223,868,39.1189141,-105.7176479
0500000US08095,4530,19,3401,8,25,758,40.5947117,-102.3451047
0500000US08097,17358,106,14481,99,258,1461,39.2175407,-106.9161621
0500000US08099,11999,109,8960,79,185,3005,37.9581814,-102.3921613
0500000US08101,168162,3642,130863,2738,6523,49706,38.1627652,-104.4846683
0500000US08103,6529,34,4889,25,62,388,39.9726223,-108.2007155
0500000US08105,11539,61,8959,46,132,3312,37.4858534,-106.453128
0500000US08107,24829,156,20060,120,299,1484,40.4836638,-106.9877021
0500000US08109,6368,20,5096,15,30,1704,38.0316514,-106.2346662
0500000US08111,705,3,600,0,2,56,37.7810492,-107.6702567
0500000US08113,8072,21,6515,20,77,599,38.009319,-108.4272635
0500000US08115,2404,5,1920,5,13,234,40.8715679,-102.3553579
0500000US08117,31055,247,25853,219,518,3744,39.6210227,-106.1375545
0500000US08119,24710,135,20544,118,316,1185,38.8699759,-105.1873651
0500000US08121,4817,32,3722,32,83,335,39.9657899,-103.2097445
0500000US08123,328981,4539,241833,3116,7489,64192,40.555961,-104.383666
0500000US08125,9988,22,7320,16,44,1703,40.0007703,-102.4216491
