GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US12001,278468,52156,227905,38366,80027,26433,29.6757403,-82.357221
0500000US12003,28259,3847,21638,3073,6215,718,30.3244416,-82.3022838
0500000US12005,175216,17856,139659,13392,28173,9565,30.1591402,-85.5343954
0500000US12007,28303,5478,22992,4545,9235,1094,29.9523863,-82.1666983
0500000US12009,606612,58692,497095,44032,94457,48780,28.2983112,-80.7003334
0500000US12011,1944375,531910,1546038,396544,829571,470977,26.1935353,-80.4766834
0500000US12013,13648,1682,10923,1446,2956,465,30.3888013,-85.1979155
0500000US12015,186847,9268,164240,7489,16235,10315,26.9063964,-82.0036572
0500000US12017,153843,4122,131487,3230,7223,6705,28.8502922,-82.5955524
0500000US12019,218245,26624,166139,19004,40199,15420,29.9865835,-81.8650364
0500000US12021,375752,23349,313169,16564,35128,74006,26.118786,-81.4009553
0500000US12023,69698,11593,54813,8666,17815,3560,30.2216509,-82.6233712
0500000US12027,33976,4270,27008,3485,7090,6786,27.1905809,-81.8062531
0500000US12029,16759,1571,13730,1377,2805,523,29.5526748,-83.2362319
0500000US12031,995567,292337,781603,215010,443537,80636,30.3352449,-81.6481132
0500000US12033,321905,68978,258145,50464,104109,14930,30.5299979,-87.3203222
0500000US12035,115378,10935,96386,8515,18167,9050,29.4748909,-81.2862532
0500000US12037,12451,1422,10555,1258,2563,506,29.6777939,-84.8152135
0500000US12039,43826,23435,34617,17875,36095,3362,30.5786866,-84.6126072
0500000US12041,17864,801,14174,641,1340,927,29.7234556,-82.7958011
0500000US12043,12126,1469,10088,1261,2559,2265,26.9548102,-81.1908197
0500000US12045,14192,1703,11821,1461,2990,418,29.8592383,-85.2720125
0500000US12047,14004,4477,11329,3622,7328,989,30.4911868,-82.9510714
0500000US12049,25327,2179,18840,1785,3691,6845,27.4928458,-81.8215798
0500000US12051,39619,4357,29444,3070,6303,15713,26.539967,-81.1521142
0500000US12053,194515,10263,158664,7619,16805,20782,28.5559951,-82.5259685
0500000US12055,101235,9891,83524,7138,15041,14713,27.3410799,-81.3423534
0500000US12057,1459762,237434,1139031,173523,369949,313058,27.8876095,-82.3744173
0500000US12059,19653,1237,15598,1097,2243,494,30.8620072,-85.8159385
0500000US12061,159788,13367,134386,9557,20032,14560,27.7005283,-80.5747894
0500000US12063,47319,12150,38271,9850,19995,1620,30.7892485,-85.2088141
0500000US12065,14510,4621,12055,3722,7503,484,30.396898,-83.9217606
0500000US12067,8226,1045,6819,955,1925,678,29.9900661,-83.1785097
0500000US12069,383956,39544,312444,29222,62279,46469,28.7641128,-81.7122822
0500000US12071,760822,58916,628325,41730,89524,122745,26.5632731,-81.9841817
0500000US12073,292198,88862,236591,67873,139168,17673,30.4593104,-84.2778004
0500000US12075,42915,3690,34293,2729,5701,2717,29.2718541,-82.831233
0500000US12077,7974,1357,6507,1238,2502,410,30.2598494,-84.8685805
0500000US12079,17968,6310,14388,4897,9904,676,30.4472325,-83.4704159
0500000US12081,399710,32121,326633,23278,49401,47826,27.4755558,-82.3931438
0500000US12083,375908,44411,308357,32618,68667,40186,29.2028047,-82.0431004
0500000US12085,158431,7582,132255,5928,12684,16201,27.0836036,-80.3982011
0500000US12086,2701767,400002,2178620,307086,658773,1522567,25.6160085,-80.5037495
0500000US12087,82874,4807,70617,3578,7774,15127,25.5861198,-81.0226025
0500000US12089,90352,5035,72186,3955,8348,2985,30.6059629,-81.7650867
0500000US12091,211668,19660,164455,14741,31893,14874,30.6143245,-86.5910804
0500000US12093,39644,3405,30932,2773,5695,6414,27.3855924,-80.8873884
0500000US12095,1429908,277027,1115798,204357,434115,353363,28.5143906,-81.3232839
0500000US12097,388656,40775,297816,30095,68619,156913,28.0590267,-81.1393116
0500000US12099,1492191,262422,1208624,192516,401739,256872,26.6491257,-80.4483542
0500000US12101,561891,34004,448026,24987,55297,65024,28.3098227,-82.5110062
0500000US12103,959107,94154,810121,71223,150973,75570,27.9053425,-82.7980663
0500000US12105,725046,105533,566436,76427,161176,130169,27.9536488,-81.6935336
0500000US12107,73321,11444,58184,8167,16816,5057,29.5938964,-81.7320389
0500000US12109,273425,13363,210601,9773,21178,14979,29.8904875,-81.4000404
0500000US12111,329226,66407,263741,48302,100764,46872,27.3798137,-80.4435357
0500000US12113,188000,11035,145194,8860,18922,7937,30.6753483,-87.0189188
0500000US12115,434006,16781,374464,12605,27656,31468,27.2253265,-82.4237137
0500000US12117,470856,53509,370782,40422,87572,77906,28.6900648,-81.1319751
0500000US12119,129752,8593,120696,7434,15233,5962,28.7154442,-82.0699524
0500000US12121,43474,5010,34279,3888,7984,3212,30.1892438,-82.9927542
0500000US12123,21796,4209,17482,3301,6679,684,29.967146,-83.6395729
0500000US12125,16147,3233,13093,2862,5779,615,30.0542796,-82.366918
0500000US12127,553543,57789,458123,43565,92220,59867,29.057769,-81.161792
0500000US12129,33764,4250,26854,3550,7234,1221,30.0913354,-84.3591114
0500000US12131,75305,3339,59955,2669,5662,4098,30.5712465,-86.162798
0500000US12133,25318,3283,20174,2741,5607,649,30.6021017,-85.6558052
