GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US13001,18444,3387,13958,2441,4970,1118,31.739712,-82.2901025
0500000US13003,8286,1213,6129,907,1837,1282,31.2968056,-82.8781511
0500000US13005,11140,1763,8310,1174,2419,547,31.5502095,-82.4514325
0500000US13007,2876,1130,2275,907,1833,77,31.3195798,-84.4548812
0500000US13009,43799,18404,35732,14233,28741,835,33.0594897,-83.2554566
0500000US13011,18035,395,13900,312,671,721,34.3519216,-83.4984409
0500000US13013,83505,10369,62195,7566,15778,6726,33.9920094,-83.7123025
0500000US13015,108901,11512,83570,8656,18001,6817,34.2409175,-84.8381879
0500000US13017,17194,6267,13165,4608,9353,653,31.7407715,-83.147197
0500000US13019,18160,1954,13690,1406,2905,622,31.2886522,-83.2278695
0500000US13021,157346,85885,120902,62618,126851,4734,32.8088446,-83.6941941
0500000US13023,12583,2818,9613,1990,4016,311,32.4354034,-83.3317174
0500000US13025,18021,568,13692,412,877,212,31.1973339,-81.9829779
0500000US13027,16301,5714,12747,4240,8590,635,30.8229337,-83.5819054
0500000US13029,44738,6486,31828,4591,9600,1919,32.0179692,-81.4385431
0500000US13031,81099,23052,64494,17476,35681,3021,32.3944811,-81.7416185
0500000US13033,24596,11027,18778,8142,16493,494,33.0601805,-82.0001638
0500000US13035,25434,6832,20360,5512,11163,559,33.2903551,-83.9582206
0500000US13037,5573,3581,4687,2970,5968,90,31.521279,-84.6262895
0500000US13039,54768,9697,41808,7244,15048,2457,30.913358,-81.6420193
0500000US13043,10981,2695,8241,1968,3972,835,32.4039497,-82.0712656
0500000US13045,119148,22126,90996,16743,34557,6129,33.5822366,-85.0805272
0500000US13047,67872,1858,52448,1381,3062,1492,34.9002118,-85.1393851
0500000US13049,12518,2627,10135,2068,4206,1971,30.7799036,-82.1396442
0500000US13051,295291,109313,234715,81665,166779,16551,31.9804037,-81.085184
0500000US13053,9565,1511,7199,1119,2397,1160,32.3474454,-84.7880206
0500000US13055,24965,2408,19416,2087,4313,733,34.4741785,-85.3452894
0500000US13057,266620,17785,202928,13095,28028,20915,34.2443166,-84.4750574
0500000US13059,128671,31660,106830,23514,48262,10213,33.9521852,-83.3671522
0500000US13061,2848,1597,2246,1209,2433,19,31.6198309,-84.9925826
