GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US19001,7496,46,5834,35,87,83,41.3285283,-94.4781643
0500000US19003,3704,12,2891,8,31,21,41.0216555,-94.6969059
0500000US19005,14061,154,10782,89,188,697,43.2749637,-91.382751
0500000US19007,12317,75,9608,52,127,146,40.7442491,-92.8730649
0500000US19009,5674,17,4437,9,27,47,41.679178,-94.9043119
0500000US19011,25575,114,19458,77,195,256,42.0925474,-92.05763
0500000US19013,131144,13676,102527,9510,20120,3990,42.4711317,-92.3076003
0500000US19015,26715,301,20533,155,399,393,42.038642,-93.938603
0500000US19017,24988,239,19135,198,461,319,42.7808946,-92.3273559
0500000US19019,20565,72,15150,58,142,200,42.4703284,-91.8386658
0500000US19021,20823,591,15327,384,813,3806,42.7415219,-95.1414324
0500000US19023,14334,26,11127,21,57,108,42.734757,-92.780153
0500000US19025,9927,152,7806,142,318,149,42.3861699,-94.6436829
0500000US19027,20760,262,15779,153,331,385,42.0395021,-94.8676496
0500000US19029,13127,29,10235,26,71,178,41.3338235,-94.9333023
0500000US19031,18505,83,14283,47,140,283,41.77236,-91.1326105
0500000US19033,43127,930,34430,595,1381,1451,43.0749751,-93.2509646
0500000US19035,11658,87,9132,64,154,313,42.7427375,-95.6332616
0500000US19037,12012,80,9183,35,86,302,43.0597409,-92.3172101
0500000US19039,9748,44,7332,27,68,951,41.0297257,-93.7852594
0500000US19041,16384,100,12704,75,174,402,43.0812244,-95.1498753
0500000US19043,17043,158,13339,86,203,173,42.8409849,-91.3235764
0500000US19045,46460,1420,35887,943,2101,874,41.8980732,-90.5342431
0500000US19047,16525,394,12099,259,546,2841,42.0431192,-95.3890903
0500000US19049,99678,2698,72050,1663,3688,4003,41.6853205,-94.0407065
0500000US19051,9110,8,6384,6,25,95,40.7480892,-92.4103453
0500000US19053,7645,108,5873,87,194,167,40.7363787,-93.7845799
0500000US19055,17488,122,13359,72,148,155,42.4729373,-91.3667667
0500000US19057,38910,2532,30442,1668,3602,764,40.9153393,-91.1869253
0500000US19059,17703,79,14332,53,127,232,43.3896107,-95.1960572
0500000US19061,99266,4126,76916,2645,5699,1931,42.4634808,-90.8787708
0500000US19063,9388,92,7330,66,166,521,43.3779844,-94.6693702
0500000US19065,19509,203,15310,161,378,315,42.8641219,-91.8403761
0500000US19067,15627,419,11969,232,505,321,43.052741,-92.7873669
0500000US19069,10019,32,7668,17,54,958,42.7365451,-93.2714152
0500000US19071,6605,11,5121,8,17,126,40.7425902,-95.5991816
0500000US19073,8771,28,6818,7,25,156,42.0425128,-94.3887271
0500000US19075,12329,49,9393,19,51,82,42.4033387,-92.7902437
0500000US19077,10623,36,8232,24,52,162,41.6835728,-94.5012723
0500000US19079,15039,103,11564,66,171,873,42.3907886,-93.7091296
0500000US19081,10795,76,8405,39,107,355,43.0754105,-93.7436965
0500000US19083,16878,147,13066,78,187,508,42.3902079,-93.241669
0500000US19085,14582,27,11168,22,58,152,41.6885844,-95.8271491
0500000US19087,20482,506,16167,427,935,699,40.9848025,-91.5472594
0500000US19089,9469,23,7093,17,48,148,43.3653125,-92.3219084
0500000US19091,9597,56,7266,32,89,230,42.7822212,-94.2027754
0500000US19093,7005,31,5399,23,55,157,42.3918601,-95.5074206
0500000US19095,16662,111,12763,79,183,282,41.6839184,-92.0591226
0500000US19097,19485,152,15254,86,213,146,42.1642256,-90.5745819
0500000US19099,37813,703,29446,513,1115,675,41.6855513,-93.0541468
0500000US19101,15663,419,12724,361,773,411,41.0063762,-91.9666277
0500000US19103,152854,12847,122084,8339,17778,7241,41.670668,-91.5905285
0500000US19105,20646,441,16239,376,795,337,42.1251175,-91.1169141
0500000US19107,10033,51,7654,29,71,129,41.3311823,-92.1677213
0500000US19109,14828,78,11653,57,133,372,43.212356,-94.2139652
0500000US19111,33555,910,26398,761,1731,751,40.6475875,-91.4771574
0500000US19113,230299,16449,176911,10773,23467,5654,42.0779506,-91.5976735
0500000US19115,10837,78,8372,60,146,1141,41.2182111,-91.2569936
0500000US19117,8634,23,6614,18,57,138,41.033344,-93.3314666
0500000US19119,11934,41,8487,16,53,241,43.3835796,-96.2072011
0500000US19121,16548,50,12321,31,96,198,41.3306216,-94.0151842
0500000US19123,22190,394,16933,281,613,307,41.3307973,-92.6363661
0500000US19125,33414,292,25620,175,432,441,41.3314327,-93.0938678
0500000US19127,40105,815,30017,552,1244,5422,42.0416996,-92.9814034
0500000US19129,14484,77,10925,47,123,243,41.0337028,-95.619101
0500000US19131,10565,42,8085,24,71,116,43.3485643,-92.7844663
0500000US19133,8751,28,6822,17,57,152,42.0494317,-95.9565661
0500000US19135,7577,19,5796,17,60,61,41.0288473,-92.8696415
0500000US19137,10330,25,8062,25,62,205,41.0217348,-95.1577896
0500000US19139,43235,1141,32767,699,1546,4918,41.483776,-91.1186992
0500000US19141,14182,161,10884,99,222,570,43.0837455,-95.6256244
0500000US19143,6192,30,4782,19,47,389,43.3785421,-95.6337878
0500000US19145,15211,365,12021,331,697,304,40.7390972,-95.1443014
0500000US19147,8996,52,6971,34,89,166,43.0753374,-94.6690546
0500000US19149,25698,356,19215,218,508,894,42.7375854,-96.2158638
0500000US19151,7078,66,5473,40,101,208,42.7340333,-94.6782789
0500000US19153,492401,35623,371655,23241,49867,29626,41.6848158,-93.568971
0500000US19155,93667,1889,71810,1350,3065,4699,41.3401835,-95.5449053
0500000US19157,18662,328,15037,275,595,370,41.6846421,-92.5229344
0500000US19159,4663,3,3623,1,10,38,40.7353342,-94.2442514
0500000US19161,9814,46,7614,32,84,205,42.3875259,-95.1052244
0500000US19163,174669,14117,133731,9486,20694,7562,41.6420791,-90.6222889
0500000US19165,11746,53,9108,27,80,248,41.6790143,-95.3089173
0500000US19167,35872,195,25861,92,236,2814,43.082646,-96.1780098
0500000US19169,98537,3019,82031,2318,5147,3945,42.0375379,-93.4660934
0500000US19171,17135,137,12990,90,222,1062,42.074848,-92.5294115
0500000US19173,5896,2,4516,0,21,246,40.7379489,-94.6971082
0500000US19175,12138,118,9361,90,222,252,41.0285502,-94.2450907
0500000US19177,7203,28,5485,14,41,56,40.7541168,-91.952943
0500000US19179,35437,1469,26940,939,2008,2579,41.0312751,-92.4094658
0500000US19181,52403,455,39080,299,745,978,41.3324459,-93.5687512
0500000US19183,22565,188,17073,121,289,942,41.3294012,-91.7250523
0500000US19185,6497,10,4792,3,19,28,40.7399827,-93.3326126
0500000US19187,36999,1825,29204,1455,3138,1274,42.4335786,-94.1758309
0500000US19189,10679,214,8473,174,383,372,43.3781243,-93.7434883
0500000US19191,20070,131,16206,103,250,381,43.2929889,-91.850788
0500000US19193,105941,5197,78384,3351,7476,11398,42.3932198,-96.0532956
0500000US19195,7443,60,5760,32,89,117,43.373491,-93.2485332
0500000US19197,12943,75,9733,51,118,1322,42.7330073,-93.7347352
