GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US16001,494967,8058,378479,5058,12063,29841,43.4514767,-116.244376
0500000US16003,4379,3,3619,3,8,106,44.877004,-116.4616241
0500000US16005,87018,748,64357,586,1469,5054,42.6929211,-112.2289819
0500000US16007,6372,10,4630,6,23,128,42.2858922,-111.3275168
0500000US16009,9530,8,7429,4,35,162,47.2184513,-116.6335414
0500000US16011,47992,126,33315,77,234,5241,43.2163568,-112.3992058
0500000US16013,24272,50,19152,45,135,3227,43.394192,-113.9553713
0500000US16015,7610,26,6356,23,75,229,43.9872749,-115.7151105
0500000US16017,47110,118,37908,64,203,990,48.3167955,-116.612362
0500000US16019,123964,626,86205,424,1155,10108,43.3951708,-111.6218783
0500000US16021,12056,27,9249,24,82,486,48.7731313,-116.5246676
0500000US16023,2574,2,1922,2,9,87,43.685101,-113.1776308
0500000US16025,1077,2,829,0,17,33,43.5025515,-114.7721349
0500000US16027,231105,1629,166440,1100,2899,36468,43.6257956,-116.709058
0500000US16029,7027,1,4971,1,14,243,42.7860724,-111.5442734
0500000US16031,24655,68,16999,42,113,4528,42.282313,-113.6263276
0500000US16033,790,10,580,3,10,181,44.290218,-112.3546128
0500000US16035,8734,40,7304,36,90,205,46.67257,-115.6535003
0500000US16037,4275,5,3538,3,13,104,44.273351,-114.2522675
0500000US16039,28666,757,21446,605,1415,3299,43.3946984,-115.471205
0500000US16041,14194,26,9682,15,47,599,42.1736093,-111.8229653
0500000US16043,13388,21,9698,15,49,994,44.2180909,-111.484429
0500000US16045,19123,30,14596,26,80,1043,44.0614727,-116.3987839
0500000US16047,15598,29,11275,23,72,2995,42.9731849,-114.8214203
0500000US16049,16541,58,13270,36,96,384,45.849644,-115.4673371
0500000US16051,30891,86,20372,43,134,1959,43.7969649,-112.3185879
0500000US16053,24237,48,16874,27,78,5513,42.6913953,-114.2620858
0500000US16055,171362,522,132205,360,1118,5579,47.6759569,-116.6959192
0500000US16057,39517,332,31752,250,648,1578,46.8189202,-116.7309737
0500000US16059,7974,19,6470,13,34,198,44.9285059,-113.8870422
0500000US16061,3533,6,2797,6,12,84,46.2363277,-116.42376
0500000US16063,5127,6,3692,3,11,1072,42.9907824,-114.1530888
0500000US16065,52913,736,42141,665,1463,4078,43.788614,-111.6569925
0500000US16067,21613,39,15383,27,89,5136,42.8572114,-113.6398404
0500000US16069,42090,193,33042,124,377,1094,46.3337914,-116.7609091
0500000US16071,4564,3,3273,1,19,110,42.1838954,-112.5204486
0500000US16073,11913,30,8722,15,49,1865,42.5728508,-116.1896903
0500000US16075,25386,66,18652,45,128,2615,44.00243,-116.7502379
0500000US16077,7878,20,5500,10,44,1546,42.694126,-112.844407
0500000US16079,13169,21,10589,16,50,275,47.3476935,-115.8850916
0500000US16081,11630,25,8615,22,67,1235,43.7609939,-111.2117653
0500000US16083,90046,1057,65472,585,1391,9561,42.352309,-114.6656386
0500000US16085,11746,17,9560,11,42,403,44.8559596,-115.6180612
0500000US16087,10500,22,8040,10,36,1064,44.4482229,-116.7977917
