GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US17001,65737,2501,51030,1771,4013,796,39.9860525,-91.1949607
0500000US17003,5240,1617,4238,1264,2562,57,37.1836583,-89.3495158
0500000US17005,16725,1077,13675,1015,2083,500,38.885924,-89.4365916
0500000US17007,53448,1245,40102,849,1899,8182,42.3189831,-88.8242951
0500000US17009,6244,1054,5156,1043,2096,265,39.9620694,-90.7503095
0500000US17011,33244,275,26212,198,486,1975,41.4013043,-89.5283772
0500000US17013,4437,7,3535,7,19,32,39.1642619,-90.6662948
0500000US17015,15702,694,12871,677,1402,552,42.0709,-89.9241894
0500000US17017,13042,725,9826,439,926,1742,39.9692024,-90.2457045
0500000US17019,205865,28675,166418,20436,43135,11970,40.1389845,-88.1969749
0500000US17021,34032,390,27218,330,738,925,39.5455242,-89.2795927
0500000US17023,15455,54,11993,40,97,155,39.3323343,-87.7916832
0500000US17025,13288,38,10245,25,81,131,38.7468187,-88.4823254
0500000US17027,36899,1151,28856,1035,2171,958,38.6062953,-89.4262278
0500000US17029,46863,2083,37724,1666,3571,1325,39.5136797,-88.220782
0500000US17031,5275541,1205824,4172402,936911,1919788,986886,41.8942937,-87.6454546
0500000US17033,18679,621,14891,575,1212,347,39.0027865,-87.7606193
0500000US17035,10450,28,8062,17,60,79,39.273121,-88.2406193
0500000US17037,100420,8954,77882,6211,13127,8950,41.8946125,-88.768991
0500000US17039,15516,110,12184,65,164,302,40.1814993,-88.9018526
0500000US17041,19740,67,14852,43,134,1025,39.766078,-88.2228656
0500000US17043,932877,45516,724333,33634,71384,97664,41.8520577,-88.0860389
0500000US17045,16866,83,13394,62,151,145,39.679037,-87.7471102
0500000US17047,6245,22,4814,14,41,42,38.4170954,-88.0479408
0500000US17049,34668,155,26584,99,251,515,39.0479445,-88.5928488
0500000US17051,21488,797,17041,769,1561,551,39.0011246,-89.0179232
0500000US17053,13534,76,10501,54,178,312,40.5965386,-88.2245882
0500000US17055,37804,181,29695,130,349,415,37.9918516,-88.9263215
0500000US17057,33609,1125,26974,1063,2201,589,40.4652401,-90.2022689
0500000US17059,4946,26,3930,24,63,34,37.7686768,-88.2279642
0500000US17061,11985,23,9311,15,40,63,39.3554391,-90.3876823
0500000US17063,52533,865,39383,584,1304,3506,41.2924096,-88.4010545
0500000US17065,7993,41,6177,28,72,52,38.0852273,-88.5390093
0500000US17067,17620,73,13868,51,155,212,40.401318,-91.1688008
0500000US17069,3649,13,2985,11,28,32,37.5178517,-88.2661478
0500000US17071,6387,30,5185,14,37,73,40.814471,-90.9412464
0500000US17073,49284,1078,38047,747,1671,1950,41.3500209,-90.1308378
0500000US17075,27077,231,21113,158,412,1262,40.7488665,-87.833601
0500000US17077,52974,7598,42742,5533,11610,2011,37.7860959,-89.3812119
0500000US17079,9287,23,7209,13,41,55,39.0048857,-88.1507245
0500000US17081,37113,2842,28846,2065,4362,572,38.3007796,-88.92421
0500000US17083,21512,157,17098,118,280,219,39.0801945,-90.361385
0500000US17085,22035,114,17812,71,187,519,42.3623905,-90.2114705
0500000US17087,13308,1431,10998,1418,2865,501,37.4607092,-88.8821305
0500000US17089,516522,27538,388814,19764,42292,113428,41.9395938,-88.4280395
0500000US17091,107502,15573,82954,11328,23554,7929,41.1395105,-87.8611165
0500000US17093,131869,10027,93955,6839,14545,17131,41.5881403,-88.4306257
0500000US17095,49967,4457,40028,3346,7141,2067,40.9309446,-90.2137921
0500000US17097,714342,49035,544037,36157,76719,116047,42.1859677,-87.8059389
0500000US17099,109658,2633,86518,2099,4611,7277,41.3433407,-88.8859312
0500000US17101,15280,1406,12334,1384,2817,423,38.7189542,-87.7302207
0500000US17103,34145,1867,27405,1704,3554,1603,41.7474465,-89.2993616
0500000US17105,35815,1113,27963,980,2071,1199,40.8943761,-88.5528518
0500000US17107,27987,1520,22539,1407,2920,604,40.1292768,-89.3653086
0500000US17109,27238,1531,22289,1217,2566,740,40.4558082,-90.6789543
0500000US17111,310229,4284,238877,2905,6801,30077,42.3242982,-88.452245
0500000US17113,170954,14996,134128,11021,23505,7086,40.4945594,-88.8445391
0500000US17115,103998,19047,80964,13352,27812,1706,39.8602372,-88.9615288
0500000US17117,44967,369,35590,289,723,353,39.2659138,-89.9263301
0500000US17119,265859,24892,209140,18131,37981,7187,38.8271195,-89.9002267
0500000US17121,37729,1514,29147,1033,2274,426,38.6482361,-88.9203624
0500000US17123,11742,88,9305,57,143,201,41.0311192,-89.3423714
0500000US17125,13086,51,10430,34,98,120,40.2369926,-89.9135746
0500000US17127,14169,887,10953,664,1423,198,37.216119,-88.7056578
0500000US17129,12297,84,9507,43,122,91,40.0225693,-89.7941326
0500000US17131,15699,77,12289,56,136,277,41.2056046,-90.7417698
0500000US17133,34962,119,26998,90,234,418,38.2779831,-90.1790777
0500000US17135,28288,926,22522,879,1819,410,39.2280681,-89.4781406
0500000US17137,32915,1983,26419,1542,3323,617,39.7176678,-90.2050054
0500000US17139,14526,84,10942,55,129,128,39.6368956,-88.6257259
0500000US17141,51788,578,39983,380,950,3654,42.041884,-89.3201764
0500000US17143,181830,34015,139675,23030,48087,6577,40.7859722,-89.7669933
0500000US17145,20945,1681,16873,1566,3215,541,38.0843809,-89.3685249
0500000US17147,16673,83,12961,47,124,149,40.0090327,-88.5923546
0500000US17149,14739,73,11391,54,134,158,39.6251059,-90.8890344
0500000US17151,3763,43,3068,43,109,49,37.4171687,-88.5423737
0500000US17153,5193,1466,4127,1169,2388,180,37.2156152,-89.1277549
0500000US17155,5637,26,4555,17,38,214,41.1989613,-89.2983474
0500000US17157,30163,2395,24201,2115,4310,721,38.0565149,-89.8212096
0500000US17159,15813,77,12246,59,153,146,38.7121872,-88.0854523
0500000US17161,144672,16607,112700,11260,23978,12961,41.4684205,-90.5721252
0500000US17163,257400,76564,197084,55868,114474,7875,38.4701976,-89.9285459
0500000US17165,23768,700,18471,493,1126,301,37.7515083,-88.5450236
0500000US17167,196343,25958,153188,17793,37365,3462,39.7568863,-89.662435
0500000US17169,6902,289,5621,227,479,95,40.1569048,-90.6134641
0500000US17171,4949,5,3866,1,24,35,39.6370016,-90.4777707
0500000US17173,20990,65,16515,45,127,128,39.3849258,-88.7988615
0500000US17175,5400,18,4217,9,28,79,41.0969077,-89.7974111
0500000US17177,44630,4456,35131,3081,6532,1340,42.3497262,-89.6659942
0500000US17179,131343,1683,101570,1197,2804,1936,40.5080743,-89.5162598
0500000US17181,17244,228,13732,205,461,537,37.4856521,-89.2446391
0500000US17183,74188,10421,57211,7067,14643,2393,40.1867542,-87.7267779
0500000US17185,11361,58,8864,33,86,103,38.4458209,-87.8391674
0500000US17187,16835,587,13253,463,1023,1139,40.8504412,-90.6202228
0500000US17189,13761,97,10831,68,164,147,38.3531405,-89.4171873
0500000US17191,16179,91,12412,49,121,114,38.4318573,-88.4324302
0500000US17193,13877,91,10993,71,177,131,38.0873259,-88.1786227
0500000US17195,55691,839,43617,572,1369,4681,41.7506733,-89.9110045
0500000US17197,696355,80979,526087,60147,124601,86438,41.4484742,-87.9784564
0500000US17199,67153,2870,52532,2147,4600,1124,37.7303533,-88.9300182
0500000US17201,285350,39159,220036,26813,56234,26304,42.3373957,-89.1612053
0500000US17203,38467,278,28999,186,468,409,40.789787,-89.2105871
