GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US18001,35809,183,24641,102,273,1038,40.7457327,-84.9361303
0500000US18003,385410,44481,287203,31162,66149,20077,41.0919086,-85.0717907
0500000US18005,82208,1826,62440,1362,3144,4371,39.205843,-85.8979988
0500000US18007,8719,51,6554,39,94,378,40.6009394,-87.3147863
0500000US18009,12112,59,9527,47,124,155,40.4726717,-85.3237297
0500000US18011,70812,1441,52065,1036,2313,1762,40.0508916,-86.4690137
0500000US18013,15475,64,12642,52,135,170,39.1951133,-86.2301205
0500000US18015,20306,155,15504,94,218,492,40.5849801,-86.5651412
0500000US18017,37870,604,28711,445,1056,4064,40.7537986,-86.3551685
0500000US18019,121093,9390,93523,6987,15159,4795,38.4762174,-85.7111221
0500000US18021,26466,138,20452,112,310,282,39.3939279,-87.1158582
0500000US18023,33190,201,24551,145,349,3712,40.305944,-86.4775665
0500000US18025,10526,30,8221,18,59,71,38.2894327,-86.4408711
0500000US18027,33381,638,23699,456,1019,1216,38.6960898,-87.076943
0500000US18029,50679,307,39363,220,573,434,39.1408973,-84.975868
0500000US18031,26472,91,20317,63,182,392,39.3059799,-85.499831
0500000US18033,43265,190,32726,114,335,724,41.3967596,-85.0026969
0500000US18035,111903,8249,90284,6335,13679,2510,40.2275433,-85.3992617
0500000US18037,43637,202,33355,143,354,2471,38.3733441,-86.8733845
0500000US18039,207047,11372,150481,7699,16801,24203,41.6006928,-85.8639864
0500000US18041,23398,281,18313,231,548,183,39.6396552,-85.1850315
0500000US18043,80484,4341,62345,3060,6793,1880,38.3180811,-85.9118469
0500000US18045,16479,64,12907,38,111,268,40.1212366,-87.2348725
0500000US18047,22785,31,17422,18,63,127,39.409762,-85.0669641
0500000US18049,20480,148,15582,108,271,633,41.0503837,-86.265006
0500000US18051,33011,639,25160,475,1120,433,38.3173981,-87.5805231
0500000US18053,66674,4689,52856,3575,7752,2173,40.5157575,-85.6549455
0500000US18055,30803,54,24000,34,112,293,39.0471466,-87.0047712
0500000US18057,347467,14993,253195,10555,22976,11216,40.0535128,-86.021709
0500000US18059,79840,2393,60833,1733,3772,1353,39.8225286,-85.7731503
0500000US18061,39654,190,30603,157,401,521,38.1864535,-86.1037661
0500000US18063,174788,13521,130334,9217,19418,5022,39.7689632,-86.5099075
0500000US18065,48914,1071,39055,969,2102,652,39.9295911,-85.3973629
0500000US18067,83658,6516,65147,4676,10019,1861,40.4835368,-86.1141178
0500000US18069,36662,223,28604,156,388,656,40.8263938,-85.4785975
0500000US18071,46428,501,34993,356,837,3674,38.9119571,-86.0425161
0500000US18073,32918,144,25032,89,232,1365,41.0176883,-87.1188137
0500000US18075,20478,55,15233,39,127,612,40.434956,-85.0023313
0500000US18077,33147,524,26165,449,1039,693,38.7836039,-85.44009
0500000US18079,27613,178,21054,136,326,455,38.9962289,-85.628103
0500000US18081,161765,3915,121314,2591,5823,3836,39.496092,-86.0942641
0500000US18083,36282,714,28289,577,1292,677,38.688391,-87.4203544
0500000US18085,80240,707,61326,492,1212,4695,41.2442928,-85.8615754
0500000US18087,40446,93,27020,67,201,1061,41.6424623,-85.4278448
0500000US18089,498700,124073,380651,89806,183976,66998,41.472247,-87.3743368
0500000US18091,112417,12090,88485,9047,18962,5084,41.5490129,-86.7447386
0500000US18093,45011,204,35398,163,431,452,38.8398148,-86.4878198
0500000US18095,130129,10225,101952,7899,16603,3738,40.166203,-85.7224543
0500000US18097,977203,268694,742442,193504,399241,81133,39.7829759,-86.1357939
0500000US18099,46095,223,34639,166,435,3193,41.3250032,-86.2690363
0500000US18101,9812,20,7563,10,50,52,38.705322,-86.8018468
0500000US18103,35962,1805,28125,1640,3419,724,40.7728833,-86.0442575
0500000US18105,139718,5144,116544,4086,9401,4926,39.1607286,-86.52331
0500000US18107,37936,346,29215,242,575,1476,40.0402962,-86.8927145
0500000US18109,71780,347,55773,244,642,783,39.4826458,-86.4474573
0500000US18111,13830,43,10867,36,104,660,40.9623985,-87.4021716
0500000US18113,47457,233,35539,160,415,3323,41.4046794,-85.4172708
0500000US18115,5940,16,4724,16,40,54,38.940527,-84.9642994
0500000US18117,19867,207,15229,137,316,174,38.5473812,-86.489257
0500000US18119,21321,84,16803,61,170,178,39.3173394,-86.8388453
0500000US18121,16156,198,12372,177,382,134,39.7742496,-87.1969502
0500000US18123,19170,397,15213,384,806,158,38.0814361,-86.6265397
0500000US18125,12250,39,9501,36,95,108,38.3979613,-87.2325472
0500000US18127,173215,7588,134936,5304,11417,12222,41.5099144,-87.0713128
0500000US18129,25222,211,19448,160,391,226,38.0276138,-87.8686526
0500000US18131,12514,73,9778,57,135,302,41.0452718,-86.6925383
0500000US18133,36726,1030,29577,971,2045,591,39.6655479,-86.8533729
0500000US18135,24502,126,18990,93,233,625,40.1640793,-85.0057896
0500000US18137,28995,82,22283,58,173,331,39.1002257,-85.2604937
0500000US18139,16752,96,12896,74,195,133,39.6223616,-85.4665291
0500000US18141,272912,36123,210201,25176,53141,16814,41.6177233,-86.2880476
0500000US18143,24384,92,18845,56,170,344,38.6794309,-85.7518981
0500000US18145,45055,569,34854,450,1037,1372,39.5241345,-85.7921742
0500000US18147,19810,131,15448,109,264,395,38.0096966,-87.0103746
0500000US18149,23371,87,18150,61,157,584,41.2844785,-86.6446359
0500000US18151,34435,234,27504,183,463,886,41.643467,-85.0024051
0500000US18153,20817,878,16588,849,1748,229,39.0892251,-87.4158429
0500000US18155,9737,16,7347,16,55,66,38.8258545,-85.029681
0500000US18157,186251,11252,147010,7458,16149,12341,40.3891334,-86.8935538
0500000US18159,15359,46,12072,31,78,277,40.3102294,-86.0562066
0500000US18161,7087,21,5487,18,51,48,39.6231109,-84.9251523
0500000US18163,180136,17668,141188,12774,27233,3953,38.0200703,-87.5861659
0500000US18165,15439,37,12148,22,79,109,39.8540452,-87.4620713
0500000US18167,106153,7177,84465,5979,12738,2247,39.4291426,-87.3903754
0500000US18169,30976,160,24287,92,253,565,40.8437475,-85.7951915
0500000US18171,8440,8,6524,8,21,119,40.3524984,-87.3751633
0500000US18173,63898,1057,48428,784,1773,811,38.0977282,-87.2720486
0500000US18175,28182,117,21658,79,222,228,38.6006126,-86.1047512
0500000US18177,66553,3076,51683,2425,5462,1499,39.8630908,-85.0067351
0500000US18179,28180,225,21349,140,354,636,40.7352727,-85.2129742
0500000US18181,24688,126,18989,88,220,1452,40.7509496,-86.8642934
0500000US18183,34191,162,26370,103,287,520,41.1364261,-85.5018918
