GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US20001,12526,186,9789,171,385,321,4218.0,103.99999999999996,1570.0
0500000US20003,7836,26,5831,26,69,104,2929.0,80.99999999999997,782.0
0500000US20005,16348,788,12749,604,1320,432,4906.0,174.99999999999997,2359.0
0500000US20007,4228,8,3292,2,32,85,2014.0,36.999999999999986,291.0
0500000US20009,25493,312,19337,230,570,2509,8608.0,181.99999999999994,2340.0
0500000US20011,14360,469,10704,368,809,201,5023.0,111.99999999999996,1541.0
0500000US20013,9508,100,7159,81,223,192,3262.0,104.99999999999997,1104.0
0500000US20015,67380,1463,50070,1208,2710,2206,22634.0,704.9999999999999,9181.0
0500000US20017,2572,20,2045,20,54,176,1123.0,22.99999999999999,345.0
0500000US20019,3379,23,2641,19,49,100,1402.0,24.99999999999999,212.0
0500000US20021,19362,80,14861,60,192,296,6766.0,167.99999999999994,2194.0
0500000US20023,2616,7,2040,7,18,140,1183.0,21.999999999999986,224.0
0500000US20025,1991,6,1517,1,6,117,904.0,19.99999999999999,143.0
0500000US20027,8117,50,6260,39,85,126,3177.0,110.99999999999997,894.0
0500000US20029,9032,123,6995,105,237,217,3242.0,100.99999999999997,920.0
0500000US20031,8360,45,6424,29,76,127,3489.0,111.99999999999996,964.0
0500000US20033,1689,12,1293,5,14,54,762.0,27.99999999999999,125.99999999999999
0500000US20035,34549,895,26392,733,1685,2441,9656.0,301.99999999999994,4273.0
0500000US20037,38972,913,30158,687,1675,1620,10045.0,420.99999999999994,6179.0
0500000US20039,2764,9,2200,9,27,43,1260.0,19.99999999999999,218.0
0500000US20041,18402,117,14099,90,239,534,7126.0,162.99999999999994,2060.0
0500000US20043,7510,268,5856,248,546,135,2976.0,46.99999999999998,686.0
0500000US20045,118785,5301,96316,4245,9820,5898,17286.0,1424.0,40784.0
0500000US20047,2907,14,2262,14,31,401,1141.0,18.999999999999986,271.0
0500000US20049,2483,5,1923,3,22,44,1140.0,25.99999999999998,194.99999999999997
0500000US20051,28934,340,22952,270,679,1443,9758.0,304.99999999999994,3737.0
0500000US20053,6376,254,5177,248,512,291,2148.0,56.99999999999998,648.0
0500000US20055,38470,1542,27176,1123,2361,12748,7232.0,238.99999999999997,4324.0
0500000US20057,34287,978,23674,714,1547,12133,5803.0,164.99999999999994,2947.0
0500000US20059,25996,305,19927,255,667,763,8479.0,307.99999999999994,3690.0
0500000US20061,36739,6303,25963,4543,9827,3639,5323.0,296.99999999999994,3983.0
0500000US20063,2718,5,2018,4,14,51,1291.0,13.999999999999993,166.0
0500000US20065,2415,57,1908,49,104,35,1080.0,28.999999999999993,228.0
0500000US20067,7352,10,5156,10,39,2415,1936.0,46.99999999999998,518.0
0500000US20069,5653,19,4050,7,21,506,1911.0,35.99999999999997,341.0
0500000US20071,1284,2,956,0,13,124,549.0,13.999999999999991,78.0
0500000US20073,6016,28,4729,23,55,110,2444.0,63.99999999999998,569.0
0500000US20075,2518,13,1792,9,28,689,698.0,19.999999999999993,141.0
0500000US20077,5485,17,4167,14,47,253,2168.0,48.999999999999964,461.0
0500000US20079,34024,650,25911,476,1181,2565,10182.0,379.99999999999994,6747.0
0500000US20081,3780,13,2640,8,30,688,1122.0,19.999999999999993,268.0
0500000US20083,1723,14,1295,7,15,44,875.0,15.999999999999993,154.0
0500000US20085,13232,103,9843,81,194,364,4517.0,185.99999999999997,1881.0
0500000US20087,18368,103,14077,83,231,333,6334.0,253.99999999999997,3194.0
0500000US20089,2932,5,2307,2,7,31,1387.0,28.999999999999986,212.0
0500000US20091,609863,28781,461998,20934,45677,34865,155622.0,7323.0,184257.0
0500000US20093,3983,41,2833,24,58,868,1164.0,23.999999999999982,267.0
0500000US20095,7470,38,5794,18,42,156,3130.0,66.99999999999997,752.0
0500000US20097,2460,43,1898,39,97,56,980.0,28.99999999999999,156.0
0500000US20099,20184,867,15103,649,1475,582,5735.0,172.99999999999994,2655.0
0500000US20101,1574,0,1237,0,2,83,762.0,17.999999999999993,114.99999999999999
0500000US20103,81881,6858,62172,5558,11814,3561,21610.0,994.0,13886.0
0500000US20105,2939,8,2261,8,31,74,1283.0,29.99999999999999,266.0
0500000US20107,9591,67,7418,28,80,138,4048.0,101.99999999999996,896.0
0500000US20109,2762,5,2067,0,6,116,1249.0,22.99999999999999,186.0
0500000US20111,32179,651,25093,532,1218,4786,7547.0,382.99999999999994,6050.0
0500000US20113,30223,478,23584,404,957,1030,9964.0,339.99999999999994,4134.0
0500000US20115,11823,122,9237,97,243,275,4465.0,129.99999999999997,1516.0
0500000US20117,10038,42,7639,21,61,133,3729.0,125.99999999999996,1259.0
0500000US20119,4055,37,2985,21,55,465,1523.0,38.99999999999998,263.0
0500000US20121,34191,436,25740,340,803,683,12308.0,381.99999999999994,5247.0
0500000US20123,5796,19,4460,11,41,87,2504.0,38.99999999999998,558.0
0500000US20125,31486,1566,24064,1205,2651,1441,9915.0,265.9999999999999,3224.0
0500000US20127,5386,16,4230,6,33,146,2124.0,45.99999999999997,729.0
0500000US20129,2701,20,2043,18,44,391,1034.0,13.999999999999988,150.0
0500000US20131,10273,64,7593,44,102,145,4664.0,92.99999999999996,927.0
0500000US20133,15904,148,11978,116,322,538,4970.0,110.99999999999996,1796.0
0500000US20135,2687,2,2150,2,13,172,1339.0,24.99999999999999,149.0
0500000US20137,5459,210,4400,200,418,227,2007.0,43.999999999999986,364.0
0500000US20139,15766,33,12113,19,73,257,5705.0,193.99999999999994,2136.0
0500000US20141,3500,1,2753,1,12,48,1629.0,34.999999999999986,281.0
0500000US20143,5735,30,4411,22,75,92,2610.0,74.99999999999999,506.0
0500000US20145,6253,249,4974,236,491,350,2045.0,50.999999999999986,643.0
0500000US20147,4981,19,3870,11,38,71,2418.0,44.99999999999998,318.0
0500000US20149,25348,286,17895,198,488,738,9452.0,317.99999999999994,3313.0
0500000US20151,9157,106,6982,96,218,457,3108.0,95.99999999999999,933.0
0500000US20153,2561,19,1983,10,28,84,1261.0,28.99999999999999,214.0
0500000US20155,61898,1863,48143,1525,3440,3946,18443.0,611.9999999999999,8886.0
0500000US20157,4674,15,3679,15,42,49,2182.0,50.99999999999998,424.0
0500000US20159,9427,145,7242,138,311,807,3262.0,91.99999999999997,965.0
0500000US20161,71959,5011,59685,4062,8838,5634,11610.0,796.0,12765.0
0500000US20163,4919,29,3833,29,76,74,2325.0,34.99999999999998,339.0
0500000US20165,2956,7,2371,4,9,87,1350.0,31.999999999999982,295.0
0500000US20167,6691,60,5178,45,102,131,2790.0,76.99999999999997,600.0
0500000US20169,54303,1830,41737,1400,3254,4010,15722.0,595.0,8214.0
0500000US20171,5151,14,3802,11,37,630,2014.0,40.999999999999986,299.0
0500000US20173,523824,46531,392877,33239,71979,51217,122416.0,5402.0,95870.0
0500000US20175,21964,672,15257,506,1087,9103,3372.0,88.99999999999997,1833.0
0500000US20177,178909,14211,137135,10497,23252,14863,40443.0,2199.0,43015.0
0500000US20179,2447,3,1839,0,15,75,1282.0,15.999999999999991,147.0
0500000US20181,5927,103,4482,99,211,496,2269.0,61.99999999999998,396.0
0500000US20183,3570,17,2860,11,31,45,1763.0,29.99999999999999,336.0
0500000US20185,4072,14,3114,14,43,314,1645.0,31.99999999999998,357.0
0500000US20187,2084,14,1486,10,32,589,614.0,13.999999999999988,148.0
0500000US20189,5250,20,3757,14,51,1282,1760.0,33.999999999999986,237.0
0500000US20191,22382,205,16920,147,333,764,8105.0,231.99999999999991,2591.0
0500000US20193,7930,108,6052,92,197,430,3130.0,54.99999999999998,625.0
0500000US20195,2808,5,2225,5,18,32,1363.0,24.99999999999999,242.0
0500000US20197,6877,31,5196,24,54,171,2845.0,92.99999999999997,964.0
0500000US20199,1512,3,1124,3,8,53,770.0,10.999999999999995,43.99999999999999
0500000US20201,5530,13,4230,5,24,154,2363.0,44.99999999999998,475.0
0500000US20203,2152,3,1574,1,13,417,808.0,10.999999999999988,149.0
0500000US20205,8624,22,6605,11,49,160,3153.0,77.99999999999996,723.0
0500000US20207,3115,8,2452,7,26,38,1228.0,23.999999999999986,294.0
0500000US20209,169245,34589,123572,25548,53173,35156,18934.0,1063.0,36788.0
