GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US20001,12526,186,9789,171,385,321,37.8842285,-95.3009448
0500000US20003,7836,26,5831,26,69,104,38.2151139,-95.2920464
0500000US20005,16348,788,12749,604,1320,432,39.5325441,-95.3133975
0500000US20007,4228,8,3292,2,32,85,37.2229059,-98.685052
0500000US20009,25493,312,19337,230,570,2509,38.4812394,-98.7678374
0500000US20011,14360,469,10704,368,809,201,37.8560997,-94.8509284
0500000US20013,9508,100,7159,81,223,192,39.8259308,-95.5699047
0500000US20015,67380,1463,50070,1208,2710,2206,37.7736487,-96.8388402
0500000US20017,2572,20,2045,20,54,176,38.2994749,-96.5940289
0500000US20019,3379,23,2641,19,49,100,37.1542592,-96.2453962
0500000US20021,19362,80,14861,60,192,296,37.1693922,-94.8456975
0500000US20023,2616,7,2040,7,18,140,39.7899166,-101.7273254
0500000US20025,1991,6,1517,1,6,117,37.2338311,-99.8138686
0500000US20027,8117,50,6260,39,85,126,39.3449643,-97.1688527
0500000US20029,9032,123,6995,105,237,217,39.4873286,-97.6413898
0500000US20031,8360,45,6424,29,76,127,38.2364502,-95.7291373
0500000US20033,1689,12,1293,5,14,54,37.1814417,-99.2512929
0500000US20035,34549,895,26392,733,1685,2441,37.2345068,-96.8372468
0500000US20037,38972,913,30158,687,1675,1620,37.5058215,-94.8538967
0500000US20039,2764,9,2200,9,27,43,39.783542,-100.4597084
0500000US20041,18402,117,14099,90,239,534,38.8677353,-97.1579434
0500000US20043,7510,268,5856,248,546,135,39.7885021,-95.1472253
0500000US20045,118785,5301,96316,4245,9820,5898,38.8964168,-95.2909475
0500000US20047,2907,14,2262,14,31,401,37.8835945,-99.3047457
0500000US20049,2483,5,1923,3,22,44,37.4560259,-96.2446421
0500000US20051,28934,340,22952,270,679,1443,38.9145967,-99.3173133
0500000US20053,6376,254,5177,248,512,291,38.7008451,-98.2053552
0500000US20055,38470,1542,27176,1123,2361,12748,38.0498075,-100.7399674
0500000US20057,34287,978,23674,714,1547,12133,37.6884159,-99.8847484
0500000US20059,25996,305,19927,255,667,763,38.5580187,-95.2789618
0500000US20061,36739,6303,25963,4543,9827,3639,39.0021387,-96.7680996
0500000US20063,2718,5,2018,4,14,51,38.9172385,-100.4873598
0500000US20065,2415,57,1908,49,104,35,39.3549716,-99.8798939
0500000US20067,7352,10,5156,10,39,2415,37.547537,-101.2993622
0500000US20069,5653,19,4050,7,21,506,37.7445134,-100.4517163
0500000US20071,1284,2,956,0,13,124,38.4804041,-101.8059697
0500000US20073,6016,28,4729,23,55,110,37.8793472,-96.2417321
0500000US20075,2518,13,1792,9,28,689,37.9952438,-101.7936887
0500000US20077,5485,17,4167,14,47,253,37.188184,-98.0665901
0500000US20079,34024,650,25911,476,1181,2565,38.0501436,-97.4367065
0500000US20081,3780,13,2640,8,30,688,37.554979,-100.8799515
0500000US20083,1723,14,1295,7,15,44,38.0874927,-99.8984067
0500000US20085,13232,103,9843,81,194,364,39.4111453,-95.794485
0500000US20087,18368,103,14077,83,231,333,39.239644,-95.375314
0500000US20089,2932,5,2307,2,7,31,39.7770053,-98.2226185
0500000US20091,609863,28781,461998,20934,45677,34865,38.8839065,-94.8223295
0500000US20093,3983,41,2833,24,58,868,37.9944614,-101.3081363
0500000US20095,7470,38,5794,18,42,156,37.5529509,-98.1445285
0500000US20097,2460,43,1898,39,97,56,37.5612311,-99.2865389
0500000US20099,20184,867,15103,649,1475,582,37.1914676,-95.2974732
0500000US20101,1574,0,1237,0,2,83,38.4812863,-100.4661853
0500000US20103,81881,6858,62172,5558,11814,3561,39.1895108,-95.038977
0500000US20105,2939,8,2261,8,31,74,39.0472801,-98.2142837
0500000US20107,9591,67,7418,28,80,138,38.2165494,-94.8449321
0500000US20109,2762,5,2067,0,6,116,38.9132702,-101.1574016
0500000US20111,32179,651,25093,532,1218,4786,38.4554034,-96.1616407
0500000US20113,30223,478,23584,404,957,1030,38.395812,-97.6474893
0500000US20115,11823,122,9237,97,243,275,38.3596474,-97.1027707
0500000US20117,10038,42,7639,21,61,133,39.7827091,-96.5212426
0500000US20119,4055,37,2985,21,55,465,37.2438862,-100.3600936
0500000US20121,34191,436,25740,340,803,683,38.5667718,-94.8329626
0500000US20123,5796,19,4460,11,41,87,39.3930256,-98.2073621
0500000US20125,31486,1566,24064,1205,2651,1441,37.1895369,-95.7424028
0500000US20127,5386,16,4230,6,33,146,38.688204,-96.6514482
0500000US20129,2701,20,2043,18,44,391,37.1852495,-101.8095163
0500000US20131,10273,64,7593,44,102,145,39.7910427,-96.0053805
0500000US20133,15904,148,11978,116,322,538,37.5642832,-95.3156822
0500000US20135,2687,2,2150,2,13,172,38.4804369,-99.9087452
0500000US20137,5459,210,4400,200,418,227,39.7838666,-99.8992352
0500000US20139,15766,33,12113,19,73,257,38.6502149,-95.7082554
0500000US20141,3500,1,2753,1,12,48,39.3482608,-98.7679416
0500000US20143,5735,30,4411,22,75,92,39.1379632,-97.6548025
0500000US20145,6253,249,4974,236,491,350,38.1814768,-99.2347717
0500000US20147,4981,19,3870,11,38,71,39.7845058,-99.3421498
0500000US20149,25348,286,17895,198,488,738,39.3821868,-96.3371126
0500000US20151,9157,106,6982,96,218,457,37.6475943,-98.7401199
0500000US20153,2561,19,1983,10,28,84,39.7861975,-101.0767378
0500000US20155,61898,1863,48143,1525,3440,3946,37.9481849,-98.0783463
0500000US20157,4674,15,3679,15,42,49,39.8289061,-97.650883
0500000US20159,9427,145,7242,138,311,807,38.3471776,-98.2014154
0500000US20161,71959,5011,59685,4062,8838,5634,39.2912114,-96.7274889
0500000US20163,4919,29,3833,29,76,74,39.3460064,-99.3244921
0500000US20165,2956,7,2371,4,9,87,38.5235962,-99.3091835
0500000US20167,6691,60,5178,45,102,131,38.9160397,-98.7709489
0500000US20169,54303,1830,41737,1400,3254,4010,38.7918043,-97.6514783
0500000US20171,5151,14,3802,11,37,630,38.4818768,-100.9063604
0500000US20173,523824,46531,392877,33239,71979,51217,37.681045,-97.4610535
0500000US20175,21964,672,15257,506,1087,9103,37.1809599,-100.8552566
0500000US20177,178909,14211,137135,10497,23252,14863,39.0418053,-95.755664
0500000US20179,2447,3,1839,0,15,75,39.3505465,-100.4412278
0500000US20181,5927,103,4482,99,211,496,39.3513521,-101.719859
0500000US20183,3570,17,2860,11,31,45,39.7846603,-98.7854295
0500000US20185,4072,14,3114,14,43,314,38.0356303,-98.7198888
0500000US20187,2084,14,1486,10,32,589,37.5659319,-101.7893829
0500000US20189,5250,20,3757,14,51,1282,37.2017002,-101.3172684
0500000US20191,22382,205,16920,147,333,764,37.2366617,-97.4933519
0500000US20193,7930,108,6052,92,197,430,39.3577126,-101.0833859
0500000US20195,2808,5,2225,5,18,32,38.9213022,-99.865423
0500000US20197,6877,31,5196,24,54,171,38.9551537,-96.2012619
0500000US20199,1512,3,1124,3,8,53,38.9266259,-101.7711031
0500000US20201,5530,13,4230,5,24,154,39.7767142,-97.0956108
0500000US20203,2152,3,1574,1,13,417,38.4819222,-101.3474341
0500000US20205,8624,22,6605,11,49,160,37.5585146,-95.7451749
0500000US20207,3115,8,2452,7,26,38,37.8881929,-95.7584691
0500000US20209,169245,34589,123572,25548,53173,35156,39.1153842,-94.7630866
