GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US21001,18903,529,14861,460,1012,397,37.1055589,-85.2813796
0500000US21003,20588,204,15641,152,377,321,36.7507703,-86.192458
0500000US21005,23852,492,18268,399,893,325,38.0053963,-84.9864171
0500000US21007,7728,208,6117,154,328,54,37.0513234,-89.0103673
0500000US21009,44485,1724,33802,1331,2861,1186,36.9628048,-85.9321078
0500000US21011,12750,128,9503,106,242,94,38.1522485,-83.7376405
0500000US21013,24097,558,18995,476,1044,163,36.7289281,-83.680718
0500000US21015,135968,5728,100137,3859,8497,4753,38.9589002,-84.7363707
0500000US21017,20252,1035,15500,833,1787,862,38.2025623,-84.2098602
0500000US21019,48261,1310,37983,1089,2350,463,38.3600029,-82.6814057
0500000US21021,30614,2194,24326,1783,3874,1035,37.6181043,-84.8683523
0500000US21023,8400,51,6360,30,76,47,38.6803649,-84.1152351
0500000US21025,13718,57,10673,41,112,68,37.5178069,-83.3171582
0500000US21027,20432,426,15711,341,757,185,37.777988,-86.4329188
0500000US21029,82217,1045,63008,722,1698,1271,37.9699453,-85.7026354
0500000US21031,12371,15,9377,15,83,306,37.2070133,-86.6824707
0500000US21033,12649,674,9903,520,1097,131,37.1486421,-87.8705095
0500000US21035,37103,1313,30297,1094,2453,885,36.6209783,-88.2740857
0500000US21037,93076,2832,73538,2108,4668,1489,38.9469811,-84.3795832
0500000US21039,4826,63,3720,48,119,57,36.85718,-88.976614
0500000US21041,10810,184,8104,139,330,459,38.6683939,-85.1240238
0500000US21043,26627,212,20774,198,442,133,38.3140935,-83.0389885
0500000US21045,15941,83,12064,64,170,288,37.3219623,-84.9282195
0500000US21047,72748,15527,53678,11100,23070,3755,36.8920592,-87.4929864
0500000US21049,36972,1648,28694,1251,2653,863,37.9703141,-84.1451152
0500000US21051,20345,839,15983,797,1661,294,37.1642731,-83.7154733
0500000US21053,9253,40,7098,27,78,116,36.7272577,-85.1360977
0500000US21055,8990,82,6958,74,179,84,37.3581494,-88.1050103
0500000US21057,5888,150,4649,127,277,54,36.7823717,-85.3884841
