GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US22001,57576,9989,42943,7041,14420,1026,30.291497,-92.4110366
0500000US22003,22750,4102,17510,3157,6428,1755,30.6527435,-92.8196052
0500000US22005,126500,30521,91957,21352,43470,6661,30.2064437,-90.9125023
0500000US22007,21039,6013,16616,4618,9324,631,29.9032998,-91.0652194
0500000US22009,39693,10706,30578,7805,16113,1257,31.088503,-91.9832748
0500000US22011,36549,4111,27489,3281,6769,828,30.6450184,-93.3402526
0500000US22013,12981,5307,10073,4111,8387,141,32.3409517,-93.0411511
0500000US22015,128746,30099,95876,21336,43754,6619,32.6984813,-93.6265609
0500000US22017,237848,115298,182407,84143,170459,5618,32.5801062,-93.8849698
0500000US22019,216785,55263,163166,39719,81550,7570,30.2295588,-93.3580154
0500000US22021,9645,1534,7478,1195,2414,163,32.1012195,-92.1142311
0500000US22023,5617,72,4358,51,118,130,29.871812,-93.1649478
0500000US22025,8906,2297,6951,1679,3410,558,31.666517,-91.846703
0500000US22027,14170,6184,11507,4731,9549,403,32.8271597,-92.9897278
0500000US22029,18687,7518,14217,5517,11130,310,31.4698053,-91.626315
0500000US22031,26812,9621,20440,7278,14700,495,32.0592476,-93.7407968
0500000US22033,456781,206681,355612,152669,309351,21539,30.5439297,-91.093131
0500000US22035,7459,5188,5901,3979,8009,80,32.7301699,-91.2341409
0500000US22037,19539,7139,16183,5790,11694,317,30.8397837,-91.0434338
0500000US22039,32350,8664,24408,6217,12692,1111,30.7206932,-92.4040858
0500000US22041,19774,6554,15028,4655,9421,183,32.1390764,-91.6723711
0500000US22043,22169,3108,17527,2629,5342,1179,31.5977873,-92.5617156
0500000US22045,69929,23162,52791,16474,33523,2657,29.6060126,-91.8427057
0500000US22047,30241,13377,24086,10027,20240,1187,30.2706526,-91.3658718
0500000US22049,15031,3956,11783,3025,6140,372,32.3042901,-92.5616997
0500000US22051,440781,117892,344654,87526,179561,55484,29.5033,-90.036231
0500000US22053,32250,5148,24039,3745,7747,489,30.2695293,-92.8162205
0500000US22055,241753,61086,183875,43846,89698,10829,30.2065065,-92.06417
0500000US22057,97557,14640,74619,10639,21711,3743,29.4919925,-90.394849
0500000US22059,14791,1299,11563,1024,2082,1325,31.6800826,-92.1615956
0500000US22061,48396,18729,38655,14720,29821,1187,32.6018231,-92.6623026
0500000US22063,142282,11268,105141,7651,15770,5390,30.4404194,-90.7274738
0500000US22065,10017,6224,7435,4322,8710,149,32.3468782,-91.2319321
0500000US22067,25629,12048,20062,9014,18309,292,32.8200082,-91.8003988
0500000US22069,37515,14948,29349,10950,22337,1140,31.7325086,-93.0825461
0500000US22071,383997,208273,306196,158350,324127,23156,30.0534195,-89.9345018
0500000US22073,160368,59083,120200,41188,83434,3946,32.480932,-92.1515814
0500000US22075,23515,4920,17334,3645,7492,1377,29.282447,-89.5760676
0500000US22077,20758,7245,16250,5368,10862,429,30.708319,-91.6046207
0500000US22079,130023,40484,98792,29149,59326,3442,31.1932037,-92.5359531
0500000US22081,7620,2965,5714,2112,4269,113,32.1012125,-93.3490504
0500000US22083,20043,7336,15383,5387,10930,293,32.413158,-91.7483534
0500000US22085,22155,3529,17064,2540,5188,502,31.5604024,-93.5595793
0500000US22087,43764,11507,31775,7596,15518,4028,29.9181102,-89.2634941
0500000US22089,52549,13133,39541,9549,19423,2737,29.9057222,-90.3578553
0500000US22091,10920,5861,8463,4291,8659,149,30.8225386,-90.7083074
0500000US22093,20192,9523,15505,7188,14482,237,30.0247772,-90.7939562
0500000US22095,42477,24305,32503,17908,36339,2210,30.1440682,-90.4909596
0500000US22097,82540,34360,61811,24701,50185,1374,30.5834409,-91.9892745
0500000US22099,51767,15099,39404,10896,22180,1144,30.1214329,-91.6114814
0500000US22101,49406,15058,37521,11127,22633,2954,29.6293488,-91.4638037
0500000US22103,264570,34356,202228,24700,51296,14310,30.4100224,-89.9519622
0500000US22105,133157,40039,101491,28327,57515,4840,30.6213483,-90.4064899
0500000US22107,4147,2250,3235,1702,3428,46,32.0014894,-91.342576
0500000US22109,109580,21253,82505,15077,30844,4701,29.3341299,-90.8436739
0500000US22111,21107,4995,16632,3754,7615,709,32.8293486,-92.3756501
0500000US22113,57359,7931,43012,5484,11270,1496,29.7897222,-92.2915678
0500000US22115,48750,6491,36261,4695,9809,2740,31.1028407,-93.18833
0500000US22117,45463,12858,34951,9481,19201,901,30.8521435,-90.0462534
0500000US22119,36967,12185,28753,9220,18678,434,32.7321522,-93.3398245
0500000US22121,27199,10754,20526,7922,16067,871,30.4640516,-91.309808
0500000US22123,9751,1341,7532,988,1995,192,32.7924797,-91.4519982
0500000US22125,15310,3618,12783,2902,5849,572,30.8733639,-91.421776
0500000US22127,13755,3525,10906,2591,5285,941,31.9411871,-92.6412694
