GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US25001,228996,6603,196284,4966,11948,5460,41.7061233,-70.1648227
0500000US25003,129026,4296,106768,3196,7470,4751,42.371493,-73.2179276
0500000US25005,579200,25668,461876,18441,49030,35387,41.7485884,-71.088894
0500000US25007,20600,813,17281,720,1756,385,41.3809696,-70.7014995
0500000US25009,809829,33524,640842,24774,62551,127013,42.6427082,-70.8649085
0500000US25011,71029,1075,58799,818,2106,2326,42.5845038,-72.5917921
0500000US25013,465825,41556,367439,30702,68095,82305,42.1361975,-72.6356476
0500000US25015,162308,4706,138414,4000,9698,8464,42.3394593,-72.6636936
0500000US25017,1632002,84670,1313737,65086,144441,102423,42.4817182,-71.3949161
0500000US25019,14255,1027,11552,821,1811,1677,41.2933918,-70.1021635
0500000US25021,725981,51371,577336,39751,87274,26618,42.1717377,-71.1811102
0500000US25023,530819,45132,419524,33258,81678,16126,41.9871959,-70.7419417
0500000US25025,797936,145566,670286,113432,252325,132227,42.3385513,-71.018253
0500000US25027,862111,48022,683585,34774,77977,76346,42.3116934,-71.940282
