GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US24001,68106,5341,56039,4923,10334,834,39.6123134,-78.7031037
0500000US24003,588261,104473,456018,79204,165521,36709,38.9916174,-76.5608941
0500000US24005,854535,255793,669511,192662,395805,40189,39.4431666,-76.6165693
0500000US24009,92783,12100,70925,9609,20207,2594,38.5227191,-76.5297621
0500000US24011,33293,4434,25372,3319,6899,1676,38.8715306,-75.831662
0500000US24013,172891,6482,135048,5119,11161,4868,39.563328,-77.0153297
0500000US24015,103725,7803,80465,5852,12511,3376,39.5623537,-75.9415852
0500000US24017,166617,82035,126667,61035,125886,7407,38.4728532,-77.0154272
0500000US24019,32531,9140,25733,6752,13850,1109,38.4291957,-76.0474333
0500000US24021,271717,27802,207660,20093,43047,20823,39.4701773,-77.3976358
0500000US24023,28806,246,23335,184,432,211,39.5472985,-79.2746192
0500000US24025,260924,37706,202309,27243,57092,9048,39.5374292,-76.2997894
0500000US24027,332317,65275,251136,47069,98551,17957,39.2522639,-76.9244057
0500000US24029,19198,2808,16164,2230,4581,756,39.2412793,-76.1259867
0500000US24031,1062061,197077,819119,147983,310348,152620,39.1373815,-77.2030633
0500000US24033,967201,578703,756049,460461,941843,139432,38.8292778,-76.848188
0500000US24035,49874,2811,39108,2280,4809,1566,39.0406929,-76.0824053
0500000US24037,113777,16294,86370,12330,25953,4217,38.2230765,-76.534487
0500000US24039,24620,9505,20381,7947,16117,672,38.0744501,-75.8533228
0500000US24041,37526,4249,30682,3381,7021,2068,38.7483486,-76.1784757
0500000US24043,154705,17691,121143,13417,28661,6554,39.6036207,-77.8146709
0500000US24045,103588,27990,80944,20714,42708,4552,38.3673699,-75.6320828
0500000US24047,52460,6236,43324,4813,9956,1379,38.2221332,-75.3099315
0500000US24510,585708,338478,471700,265435,540984,31645,39.3000324,-76.6104761
