GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US23001,111139,6531,87871,3686,7913,1413,44.1676811,-70.2074347
0500000US23003,67105,447,54341,350,842,550,46.7091929,-68.6124095
0500000US23005,303069,12120,247098,7955,17327,5514,43.8083479,-70.3303753
0500000US23007,29456,174,24045,129,336,262,44.9767238,-70.4149354
0500000US23009,55478,355,46160,274,711,662,44.5649063,-68.3707034
0500000US23011,123642,919,100401,705,1881,1640,44.4170119,-69.7657639
0500000US23013,40607,272,33700,244,598,474,44.0420446,-69.0385145
0500000US23015,35237,165,29468,129,313,283,43.9947814,-69.5136244
0500000US23017,57777,229,46644,145,442,516,44.4944998,-70.7344211
0500000US23019,152199,1507,124474,1141,2856,1806,45.4092843,-68.666616
0500000US23021,16800,61,13901,47,130,170,45.9156393,-69.1022311
0500000US23023,36699,314,29938,238,605,462,43.9168446,-69.844227
0500000US23025,50477,250,40887,179,468,415,45.5036458,-69.9561096
0500000US23027,39607,148,32289,107,326,371,44.5058217,-69.1389608
0500000US23029,31095,162,25404,129,346,424,44.9670088,-67.6093542
0500000US23031,211972,2098,173464,1491,3667,2694,43.4260188,-70.6684248
