GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US26001,10167,23,8821,12,58,73,44.6575092,-83.2945804
0500000US26003,8842,587,7442,583,1179,72,46.5217365,-86.6571192
0500000US26005,120502,1584,91395,1028,2558,5758,42.4212512,-86.2614034
0500000US26007,28907,99,23539,63,199,270,44.894954,-83.4265739
0500000US26009,23431,39,19314,23,86,274,45.0054553,-85.175639
0500000US26011,15002,35,12327,25,91,178,44.0368327,-83.7406755
0500000US26013,8158,604,6715,599,1222,75,46.6958592,-88.3618101
0500000US26015,62423,313,48234,191,566,1308,42.5828109,-85.3145503
0500000US26017,103856,1705,83217,1222,3014,3735,43.6997112,-83.9787007
0500000US26019,17970,67,14838,43,140,261,44.6368444,-86.2319991
0500000US26021,154316,21420,121067,15294,31847,5725,41.7913818,-86.7425435
0500000US26023,44862,1156,34007,1042,2220,1570,41.9184551,-85.0668852
0500000US26025,134310,14513,103647,10479,22458,4706,42.2429896,-85.0123853
0500000US26027,51589,2321,40513,1826,4082,1274,41.9172431,-86.000142
0500000US26029,26054,78,21255,52,175,257,45.6185538,-85.5436841
0500000US26031,25579,96,21112,80,221,233,45.4760217,-84.4954307
0500000US26033,36785,2625,29926,2566,5239,488,46.3218192,-84.5206297
0500000US26035,30856,150,24685,111,279,415,43.9911368,-84.8383253
0500000US26037,79128,1715,61200,1350,3085,2430,42.950455,-84.5916949
0500000US26039,12988,57,10653,37,90,177,44.6801748,-84.6113432
0500000US26041,36903,93,29711,65,203,328,45.8052288,-86.9019375
0500000US26043,25947,65,20796,47,142,269,46.0128332,-87.8661386
0500000US26045,109175,7688,85978,5781,12463,4236,42.5895301,-84.8464499
0500000US26047,34112,163,27855,139,363,402,45.5900944,-84.9868217
0500000US26049,406211,79914,315909,58394,120791,10629,43.0210768,-83.7063718
0500000US26051,25386,70,20577,56,160,315,43.9897504,-84.3898162
0500000US26053,14380,79,12007,68,169,145,46.4880535,-89.788314
0500000US26055,95238,595,76419,432,1153,1982,44.7186875,-85.5538484
0500000US26057,41761,2238,32681,1976,4076,1984,43.2923259,-84.60469
0500000US26059,45746,206,35596,156,425,694,41.9274606,-84.6374794
0500000US26061,37361,286,29863,226,582,516,46.998427,-88.6519034
0500000US26063,31407,83,25451,54,172,563,43.907616,-82.8570449
0500000US26065,284900,35580,228152,26612,57257,16724,42.6035338,-84.3738107
0500000US26067,66804,3229,52305,3145,6469,2173,42.9446503,-85.073766
0500000US26069,25237,171,20906,143,345,392,44.3869118,-83.3801412
0500000US26071,11631,24,9606,16,48,106,46.1702542,-88.5405261
0500000US26073,64394,2134,52028,1877,4232,2063,43.6452331,-84.8394245
0500000US26075,160366,12632,126350,9754,20782,3810,42.2484738,-84.4208679
0500000US26077,261670,30352,204328,21414,46023,9737,42.2462657,-85.5328544
0500000US26079,17939,40,14327,36,113,210,44.6788808,-85.0889915
0500000US26081,657974,64499,502355,44971,96306,47646,43.0324971,-85.547446
0500000US26083,2046,5,1728,3,12,10,47.3672969,-88.3513318
0500000US26085,12096,891,10193,746,1586,1112,43.9951867,-85.8113997
0500000US26087,88619,984,70165,863,1935,2717,43.0886327,-83.2243247
0500000US26089,22301,67,18601,42,159,565,45.1461816,-86.051574
0500000US26091,99423,2614,78518,2211,4913,5490,41.8960225,-84.0743563
0500000US26093,193866,1144,152308,893,2228,3584,42.6025316,-83.9117183
0500000US26095,5339,12,4265,9,22,33,46.5109878,-85.5175518
0500000US26097,10834,61,9064,50,125,115,46.1678678,-85.3037625
0500000US26099,881217,109476,701202,79739,165720,17494,42.6715526,-82.9114562
0500000US26101,25032,614,20755,581,1256,523,44.2452677,-86.3275365
0500000US26103,66017,805,53919,717,1620,997,46.6565964,-87.5840278
0500000US26105,29052,181,23270,136,347,785,43.9571957,-86.4429369
0500000US26107,39714,794,31746,649,1564,735,43.6352949,-85.3327509
0500000US26109,23502,107,19154,76,215,297,45.5355685,-87.5014573
0500000US26111,83494,963,65392,717,1748,1663,43.6482031,-84.3794144
0500000US26113,15052,33,11632,18,74,274,44.325424,-85.0854708
0500000US26115,154809,4138,122008,2949,6633,3991,41.916097,-83.4871059
0500000US26117,66614,2152,52311,2056,4257,1819,43.3127822,-85.1494679
0500000US26119,9153,18,7765,9,40,93,45.0241337,-84.1301067
0500000US26121,175824,23908,136303,17468,36281,6406,43.4287388,-86.4209083
0500000US26123,49978,434,38748,348,891,1841,43.5627117,-85.7913723
0500000US26125,1274395,170753,1013401,134928,279260,40588,42.6604518,-83.3842103
0500000US26127,26659,133,20622,79,230,2538,43.6039542,-86.467177
0500000US26129,20770,63,16916,33,109,286,44.3332801,-84.1280728
0500000US26131,5816,8,5147,5,19,46,46.8353252,-89.2769121
0500000US26133,22891,165,17525,90,231,231,43.9975523,-85.3222825
0500000US26135,8219,8,6731,7,28,107,44.6872574,-84.1269054
0500000US26137,25091,101,19904,82,211,249,45.0217871,-84.5766031
0500000US26139,296200,5462,226068,3876,9121,18839,43.054969,-86.2193493
0500000US26141,12982,35,10985,18,79,88,45.2523973,-83.4322825
0500000US26143,23459,65,20138,42,144,290,44.3395168,-84.6112715
0500000US26145,190124,34615,148604,24926,51542,11045,43.3282667,-84.05541
0500000US26147,160383,3937,127475,2868,6505,3508,42.9288035,-82.6689135
0500000US26149,60939,1367,45987,970,2285,3225,41.9114878,-85.5228703
0500000US26151,40611,168,31913,137,322,1074,43.4491547,-82.6428148
0500000US26153,8047,10,6651,10,29,54,46.0211217,-86.197029
0500000US26155,68094,325,53880,228,641,1303,42.9515446,-84.1463518
0500000US26157,53323,413,41953,267,635,1132,43.4879024,-83.436618
0500000US26159,75587,2428,58205,1861,4210,5349,42.2821497,-86.3060762
0500000US26161,372258,42819,303933,33152,70860,14902,42.2522168,-83.8434233
0500000US26163,1793561,674782,1376516,505177,1031468,77578,42.2846636,-83.2619533
0500000US26165,33673,193,25894,120,341,466,44.3313751,-85.5700462
