GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US27001,15697,62,13034,31,95,119,46.6024464,-93.41976
0500000US27003,363887,28657,275754,17737,37919,12028,45.2741098,-93.2427232
0500000US27005,35183,203,26736,134,347,298,46.9376289,-95.7417568
0500000US27007,46228,543,34776,433,1024,706,47.8795077,-95.00505
0500000US27009,41379,2022,30955,1270,2739,776,45.7012249,-94.0014397
0500000US27011,5166,29,4075,20,52,87,45.4199252,-96.4022263
0500000US27013,69112,3970,55070,2708,5814,2250,44.0337104,-94.0640122
0500000US27015,25912,128,20310,79,199,692,44.2465415,-94.7336472
0500000US27017,36207,562,28079,502,1072,362,46.6038184,-92.6710435
0500000US27019,106922,2208,77890,1293,2943,3189,44.8213196,-93.8000913
0500000US27021,30066,73,23840,45,160,238,46.9517447,-94.3337048
0500000US27023,12598,75,9593,47,120,729,45.0286254,-95.5641082
0500000US27025,56621,853,43569,725,1618,865,45.5054439,-92.9038486
0500000US27027,65318,3190,48834,1911,4104,1728,46.8983772,-96.4949007
0500000US27029,8524,23,6417,11,54,69,47.5758729,-95.371117
0500000US27031,5600,25,4709,23,79,83,47.7585562,-90.3443192
0500000US27033,11517,143,8769,91,197,663,44.0106386,-95.1831523
0500000US27035,66123,419,52003,269,692,550,46.4916528,-94.0707182
0500000US27037,439882,32740,332708,20539,44475,22864,44.670893,-93.0624813
0500000US27039,20867,134,15339,78,193,621,44.0207056,-92.8693529
0500000US27041,39006,235,30580,153,385,475,45.9368351,-95.462155
0500000US27043,13921,60,10870,48,114,597,43.6765219,-93.9472338
0500000US27045,21228,101,16111,76,181,235,43.6791869,-92.0939369
0500000US27047,30895,486,24027,271,622,1932,43.6742019,-93.3502887
0500000US27049,47582,685,36901,444,1062,1120,44.4061779,-92.7160003
0500000US27051,6074,13,4655,11,32,91,45.9307426,-96.0106987
0500000US27053,1281565,171511,1008791,115630,245578,65396,45.0061209,-93.4752279
0500000US27055,18843,98,14636,51,150,154,43.6669899,-91.5015556
0500000US27057,21344,93,16554,54,164,266,47.0955506,-94.9132898
0500000US27059,41135,318,31218,210,543,516,45.5624313,-93.2963388
0500000US27061,45014,178,35503,123,347,370,47.4908166,-93.6111022
0500000US27063,9989,120,7726,73,178,215,43.671111,-95.1497314
0500000US27065,16032,67,12543,37,97,119,45.9477598,-93.2977883
0500000US27067,43732,2649,32859,1431,2957,3529,45.1527137,-95.0049812
0500000US27069,4207,3,3314,3,23,53,48.7760403,-96.7803493
0500000US27071,12062,44,9831,41,121,104,48.2453743,-93.7828956
0500000US27073,6719,36,5273,29,65,121,44.9998559,-96.176836
0500000US27075,10905,11,8844,11,43,73,47.5171114,-91.4117038
0500000US27077,3763,13,3066,11,32,31,48.7681003,-94.9046335
0500000US27079,28674,264,21841,165,390,1095,44.3734238,-93.7301433
0500000US27081,5640,10,4320,10,40,58,44.4082382,-96.2720323
0500000US27083,25269,922,18861,594,1284,1007,44.4091953,-95.8472678
0500000US27085,36771,235,28494,164,405,1488,44.8216571,-94.2723231
0500000US27087,5411,8,3857,4,32,91,47.3283866,-95.8110885
0500000US27089,9040,13,6903,8,31,221,48.3627284,-96.357761
0500000US27091,20025,118,15673,69,193,801,43.6771732,-94.5470963
0500000US27093,23400,93,17827,61,163,534,45.1231555,-94.527346
0500000US27095,26459,83,20290,58,200,257,45.9290434,-93.6329964
0500000US27097,34010,185,25976,93,236,371,46.0204839,-94.2666194
