GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US29001,25314,1279,20460,926,2010,499,40.1906655,-92.6035922
0500000US29003,18135,156,13703,109,273,232,39.9888628,-94.8035511
0500000US29005,5305,23,4168,6,19,43,40.431846,-95.4375546
0500000US29007,24962,1307,19070,1024,2184,455,39.214481,-91.8434182
0500000US29009,34534,106,26586,82,235,1995,36.6993756,-93.8343344
0500000US29011,11637,32,8773,21,62,148,37.5007989,-94.3440893
0500000US29013,16042,155,12376,126,290,191,38.2572171,-94.3392459
0500000US29015,19394,76,15916,46,139,216,38.3010358,-93.2879421
0500000US29017,10567,39,8246,30,80,83,37.3184272,-90.0246452
0500000US29019,183610,18100,145252,13078,28168,5616,38.9898614,-92.3102022
0500000US29021,84793,4423,66126,3353,7433,3704,39.6603695,-94.8081728
0500000US29023,42130,2488,32298,1796,3838,532,36.7151802,-90.40313
0500000US29025,8815,69,6773,65,137,110,39.6589977,-93.9791785
0500000US29027,44283,1974,34738,1550,3288,627,38.835547,-91.9234458
0500000US29029,42745,258,34946,176,452,877,38.0265275,-92.7653271
0500000US29031,81710,6503,64296,4452,9364,1456,37.3841408,-89.6856575
0500000US29033,8495,97,6659,85,209,76,39.4273754,-93.5002266
0500000US29035,5202,13,4071,10,37,67,36.9448579,-90.9457051
0500000US29037,107824,5018,81653,3509,7537,3361,38.6464737,-94.3545467
0500000US29039,14188,64,10641,33,91,153,37.7336549,-93.8500144
0500000US29041,7408,149,5750,123,255,50,39.5179685,-92.9616205
0500000US29043,88842,616,65681,419,1126,1841,36.9697388,-93.1876139
0500000US29045,6634,23,5065,5,19,41,40.4072747,-91.729472
0500000US29047,253335,18271,191373,12655,27312,12055,39.3155512,-94.4215024
0500000US29049,21184,209,16230,162,408,299,39.6087233,-94.3958028
0500000US29051,77279,8123,60163,5868,12228,1686,38.5032331,-92.2800271
0500000US29053,17103,924,13296,781,1689,183,38.8470929,-92.8100688
0500000US29055,23056,148,17846,114,266,292,37.9665593,-91.3139358
0500000US29057,7569,36,5956,21,58,96,37.4323495,-93.854878
0500000US29059,17071,46,12997,22,93,207,37.6835825,-93.0338146
0500000US29061,8430,33,6252,18,58,75,39.9628387,-93.970053
0500000US29063,11029,672,8927,664,1356,166,39.8946645,-94.4071901
0500000US29065,14421,70,11245,44,119,151,37.6030721,-91.4897172
0500000US29067,11578,40,9074,23,74,133,36.9465168,-92.5158918
0500000US29069,28283,3184,21317,2145,4449,1211,36.1530246,-90.0622538
0500000US29071,104682,904,81077,689,1681,1306,38.4130031,-91.072832
0500000US29073,14794,23,11692,21,83,126,38.4411826,-91.5057795
0500000US29075,6162,15,4595,5,20,48,40.2081271,-94.4053211
0500000US29077,298915,10233,237444,7685,17646,9675,37.2581957,-93.3406409
0500000US29079,9808,56,7358,44,106,146,40.1125409,-93.5650538
0500000US29081,8157,37,6239,29,71,87,40.34562,-93.9925818
0500000US29083,21946,187,17087,150,376,323,38.3864909,-93.7926278
