GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US28001,29538,16785,23528,12765,25781,913,31.4862243,-91.3517966
0500000US28003,34740,4337,26866,3228,6594,683,34.8865689,-88.5811091
0500000US28005,12720,4854,10239,3776,7638,92,31.2039333,-90.7955421
0500000US28007,17889,7678,13493,5452,10978,205,33.0904678,-89.5886219
0500000US28009,7646,2666,6078,2086,4270,101,34.8095927,-89.200213
0500000US28011,30985,19365,23662,14302,28866,581,33.7991391,-90.8841199
0500000US28013,13266,3467,10432,2663,5399,453,33.9366339,-89.3371142
0500000US28015,9998,3044,8122,2418,4888,122,33.4407948,-89.918887
0500000US28017,17106,7436,13222,5569,11252,408,33.9332767,-88.9475579
0500000US28019,8246,2343,6447,1772,3593,63,33.3459638,-89.2513319
0500000US28021,9135,7989,7223,6208,12501,51,31.9728096,-90.9154239
0500000US28023,15615,5115,12027,3841,7785,70,32.0453738,-88.6879756
0500000US28025,18636,10803,14614,8135,16385,128,33.65967,-88.782468
0500000US28027,21390,16281,15915,11654,23534,249,34.2303156,-90.6040104
0500000US28029,28368,14342,22065,10780,21829,692,31.8669151,-90.4487578
0500000US28031,18340,6416,14126,4787,9657,235,31.633331,-89.5488968
0500000US28033,185314,56205,138014,39772,80603,6345,34.8749217,-89.9912114
0500000US28035,78158,28330,61220,21213,42990,2192,31.1885802,-89.2594467
0500000US28037,7675,2585,6069,1973,3978,39,31.4777726,-90.8954573
0500000US28039,24350,1782,18253,1342,2743,405,30.8554305,-88.6422679
0500000US28041,13530,3149,10824,2757,5551,111,31.2128455,-88.6348108
0500000US28043,21629,9409,16697,6992,14144,193,33.770031,-89.8027405
0500000US28045,46053,3957,36202,2837,5945,1391,30.3916415,-89.4827905
0500000US28047,208621,51706,159463,36383,74824,9162,30.4165357,-89.0833762
0500000US28049,227742,158112,177425,119372,240846,3233,32.2677879,-90.4660171
0500000US28051,17000,14256,12981,10577,21322,81,33.1259415,-90.0911968
0500000US28053,7785,6110,5872,4449,9006,67,33.1309962,-90.5234209
0500000US28055,1338,757,1157,646,1300,119,32.7555393,-91.0035351
0500000US28057,23863,1625,18529,1261,2581,252,34.2810747,-88.3631269
0500000US28059,143252,30070,109676,22212,45569,6563,30.4560045,-88.6251005
0500000US28061,16367,8341,12708,6242,12576,110,32.0167482,-89.1191761
0500000US28063,7260,6191,5578,4667,9402,45,31.7336333,-91.0438779
0500000US28065,11321,6643,8964,5120,10350,65,31.5648075,-89.8270863
0500000US28067,67246,19239,50776,13700,27746,2451,31.6166011,-89.1685317
0500000US28069,8988,5495,7169,4269,8606,53,32.7501361,-88.6256306
0500000US28071,55813,11381,45658,8872,18019,1532,34.353078,-89.4853847
0500000US28073,64222,14372,47683,9975,20322,1452,31.1975865,-89.5063691
0500000US28075,72984,32133,55594,23246,47001,1146,32.4039981,-88.6604487
0500000US28077,12016,3703,9042,2709,5469,132,31.5500087,-90.1075299
