GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US30001,9371,29,7524,16,49,303,45.1338633,-112.8928694
0500000US30003,13124,11,8747,7,54,329,45.4078679,-107.5181619
0500000US30005,7044,13,4965,12,33,96,48.4282823,-108.9676475
0500000US30007,6774,17,5309,12,42,125,46.3298486,-111.4978728
0500000US30009,10473,22,8506,22,56,167,45.2244683,-109.0285543
0500000US30011,1415,0,1088,0,5,10,45.5168247,-104.5153243
0500000US30013,84414,1196,65587,933,2243,2650,47.3165751,-111.3502622
0500000US30015,5895,10,4346,5,19,97,47.8868343,-110.4362004
0500000US30017,11867,71,9247,51,123,238,46.2614136,-105.5503521
0500000US30019,1661,0,1311,0,9,26,48.794429,-105.5417385
0500000US30021,8940,42,6974,38,96,152,47.2661301,-104.8982713
0500000US30023,9421,23,7851,23,64,157,46.0946716,-113.1416236
0500000US30025,3049,5,2209,4,12,28,46.3181841,-104.4057182
0500000US30027,11446,21,9076,3,10,137,47.2218156,-109.2329562
0500000US30029,104357,280,81505,186,579,2146,48.2954221,-114.0520587
0500000US30031,118960,526,95459,414,1227,4143,45.5180536,-111.1639214
0500000US30033,1173,0,897,0,2,9,47.2671843,-106.9959912
0500000US30035,13778,20,9448,12,73,169,48.7056706,-112.9905023
0500000US30037,823,10,661,5,19,18,46.3806243,-109.1745855
0500000US30039,3309,0,2706,0,22,56,46.3959554,-113.4273564
0500000US30041,16309,46,11997,38,128,304,48.6319595,-110.106321
0500000US30043,12085,16,9566,11,44,170,46.1242317,-112.0594284
0500000US30045,2023,9,1647,8,19,32,47.032558,-110.30532
0500000US30047,31134,64,23912,50,194,760,47.6429007,-114.0836866
0500000US30049,70973,282,55685,211,626,1663,47.1320133,-112.3733673
0500000US30051,1959,2,1492,2,13,6,48.5596541,-111.0369242
0500000US30053,19677,37,16037,26,96,372,48.5523847,-115.4631849
0500000US30055,1729,1,1353,1,5,17,47.6296277,-105.757222
0500000US30057,8623,15,7231,11,26,183,45.3252895,-111.9137914
0500000US30059,1927,13,1591,9,26,36,46.5856996,-110.9217396
0500000US30061,4535,10,3719,5,19,88,47.1296868,-115.0853849
0500000US30063,117922,752,95035,533,1533,4610,47.0272632,-113.8926911
0500000US30065,4730,7,3820,7,19,103,46.5052807,-108.4397631
0500000US30067,17191,62,14273,54,137,344,45.4630812,-110.5349297
0500000US30069,496,0,413,0,2,4,47.1419168,-108.2265753
0500000US30071,4217,5,3235,5,19,68,48.2501432,-107.9288973
0500000US30073,5898,5,4459,3,22,52,48.2286037,-112.2207612
0500000US30075,1694,5,1379,1,10,23,45.4089262,-105.555344
0500000US30077,6946,67,5921,65,157,102,46.8442254,-112.9310998
0500000US30079,1088,2,883,2,4,19,46.8123837,-105.5039937
0500000US30081,44174,94,35657,75,225,1024,46.0777441,-114.105795
0500000US30083,11491,63,8679,46,125,376,47.785633,-104.5634082
0500000US30085,10794,32,7460,15,52,147,48.2827471,-104.9951698
0500000US30087,8329,20,6076,7,31,130,46.1732061,-106.6667917
0500000US30089,12400,23,10214,22,58,227,47.7564968,-115.1803062
0500000US30091,3539,14,2786,9,25,61,48.7055228,-104.5339129
0500000US30093,35133,131,28121,97,274,1080,45.8962319,-112.6600714
0500000US30095,8963,17,7095,6,25,177,45.6585447,-109.3815759
0500000US30097,3678,8,2923,6,21,64,45.8112917,-109.944796
0500000US30099,6226,21,4768,13,40,50,47.8190352,-112.2817249
0500000US30101,4971,32,3971,30,71,119,48.6451246,-111.7334723
0500000US30103,762,1,581,1,4,25,46.2294408,-107.2857723
0500000US30105,7578,15,5821,13,41,108,48.3498496,-106.6704238
0500000US30107,2069,6,1610,1,9,22,46.4969673,-109.8576843
0500000US30109,937,2,730,2,7,18,46.9629657,-104.2745184
0500000US30111,164731,1309,126567,911,2496,6268,45.9369867,-108.2766564
