GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US37001,171415,34014,133969,26095,53933,15630,36.0439535,-79.4005733
0500000US37003,36444,1932,29273,1648,3456,1163,35.9209506,-81.1774668
0500000US37005,10888,104,8942,89,208,865,36.4893563,-81.1322987
0500000US37007,22055,9871,17845,7874,15940,454,34.9749722,-80.1097633
0500000US37009,26577,127,21984,97,263,1007,36.4434687,-81.4993343
0500000US37011,17806,664,15104,662,1379,687,36.07209,-81.9202847
0500000US37013,44652,10303,36005,7993,16271,2110,35.4823128,-76.8420144
0500000US37015,17934,10720,14896,8800,17792,261,36.0590432,-76.9623641
0500000US37017,29606,9576,23426,7645,15530,1558,34.5919375,-78.5394885
0500000US37019,136693,11546,116606,9248,19150,4812,34.0387542,-78.2277653
0500000US37021,269452,15311,219874,11911,25534,14579,35.6093706,-82.5304234
0500000US37023,87570,4854,70018,4034,8502,4464,35.746182,-81.7061795
0500000US37025,225804,42622,167539,30611,63655,16899,35.3883455,-80.5527284
0500000US37027,80652,3914,64436,3040,6528,3113,35.9663959,-81.5125404
0500000US37029,10355,1055,7887,871,1797,199,36.3423438,-76.1624876
0500000US37031,67686,3274,56213,2695,5723,2033,34.8583428,-76.5358602
0500000US37033,22736,6824,18596,5757,11715,664,36.3942984,-79.339609
0500000US37035,160610,12835,126566,10004,21159,11061,35.6618826,-81.2149057
0500000US37037,76285,7914,60788,6390,13324,6491,35.7049939,-79.2514542
0500000US37039,28774,381,24051,277,670,586,35.1371499,-84.0614491
0500000US37041,13708,4408,11114,3449,7015,337,36.128979,-76.6027521
0500000US37043,11089,65,9234,53,129,287,35.0529971,-83.7522638
0500000US37045,99519,20159,78032,15284,31295,2595,35.3346302,-81.5571145
0500000US37047,50623,14586,40316,11553,23619,1650,34.2616017,-78.6393077
0500000US37049,100720,20204,79783,15609,32258,4747,35.1168292,-77.0813197
0500000US37051,334728,127610,254481,95657,198619,26741,35.0501921,-78.8287187
0500000US37053,28100,1392,22004,1100,2376,763,36.3721739,-75.9412242
0500000US37055,36915,703,30445,563,1265,1635,35.6062688,-75.7675364
0500000US37057,168930,16065,132179,12161,25251,8599,35.7951312,-80.207107
0500000US37059,42712,2428,33784,1925,4082,2096,35.9293554,-80.5425524
0500000US37061,48715,11604,37043,9129,18545,6701,34.9344033,-77.9335434
0500000US37063,324833,110610,259565,87670,179564,33066,36.0338282,-78.8781246
0500000US37065,48900,27429,38189,21025,42553,1720,35.9170773,-77.6027422
0500000US37067,382590,95324,297388,73000,150288,34063,36.1324661,-80.2569608
0500000US37069,68573,15990,53144,12416,25472,4357,36.0882406,-78.2830903
