GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US38001,2200,13,1767,8,25,25,46.0968146,-102.5331983
0500000US38003,10853,186,8740,154,335,123,46.94255,-98.0701946
0500000US38005,5964,7,3926,6,16,52,48.071743,-99.3511517
0500000US38007,945,4,737,3,9,13,47.007044,-103.3640163
0500000US38009,6379,31,4981,30,78,80,48.7944116,-100.8312572
0500000US38011,2993,0,2292,0,9,67,46.1101438,-103.5059433
0500000US38013,2201,13,1641,13,32,29,48.7864534,-102.5200874
0500000US38015,98458,2283,75621,1594,3457,2055,46.9788291,-100.4695326
0500000US38017,184525,12963,142934,8188,17338,4149,46.9270033,-97.2523747
0500000US38019,3704,3,2885,2,11,35,48.7684388,-98.4637903
0500000US38021,4999,28,3774,22,65,123,46.1077559,-98.4965182
0500000US38023,2195,23,1691,11,35,32,48.8147537,-103.5093256
0500000US38025,4095,25,3056,25,84,68,47.3545572,-102.6123216
0500000US38027,2347,5,1824,4,20,39,47.7234355,-98.9004745
0500000US38029,3301,0,2615,0,12,20,46.2842552,-100.2378424
0500000US38031,3397,8,2627,8,28,46,47.4714315,-98.8728755
0500000US38033,1736,5,1274,1,5,21,46.9389237,-103.8446117
0500000US38035,73170,3065,57784,2144,4748,2372,47.9260026,-97.450851
0500000US38037,2301,10,1885,8,22,20,46.3578269,-101.6390494
0500000US38039,2306,8,1827,5,18,20,47.4563342,-98.2322863
0500000US38041,2489,5,1943,0,11,15,46.4357038,-102.454238
0500000US38043,2394,3,1877,0,8,36,46.9382725,-99.731198
0500000US38045,4093,14,3170,6,15,49,46.4641952,-98.5260571
0500000US38047,1876,2,1424,2,10,14,46.469278,-99.5045846
0500000US38049,5345,11,4099,9,29,69,48.2338417,-100.6332668
0500000US38051,2530,7,2054,6,17,29,46.1086815,-99.4164868
0500000US38053,14704,218,10366,152,341,952,47.7424751,-103.4032148
0500000US38055,9771,32,7579,25,101,92,47.6532061,-101.4219144
0500000US38057,8350,42,6358,29,65,124,47.3071473,-101.8333279
0500000US38059,33291,466,25365,302,686,806,46.7108188,-101.2982647
0500000US38061,9809,113,7075,91,231,493,48.2100726,-102.3648952
0500000US38063,3015,6,2473,6,20,54,47.9186666,-98.2044278
0500000US38065,1877,3,1414,0,2,22,47.1180789,-101.3314198
0500000US38067,6844,29,5365,21,63,163,48.7668959,-97.5454045
0500000US38069,3990,38,3096,26,65,39,48.2388827,-99.966497
0500000US38071,11605,73,8927,65,150,154,48.2661631,-98.739031
0500000US38073,5703,38,4315,24,65,81,46.4492764,-97.6475541
0500000US38075,2282,5,1778,2,14,30,48.7127815,-101.6581522
0500000US38077,16529,155,12831,101,249,319,46.2652192,-96.9379599
0500000US38079,12187,17,8161,17,47,79,48.7682715,-99.8404634
0500000US38081,3862,50,3057,36,89,60,46.1082035,-97.6300507
0500000US38083,1265,2,1016,0,1,1,47.5813594,-100.3309858
0500000US38085,3898,3,2544,3,10,32,46.1106181,-101.061284
0500000US38087,706,3,554,2,9,5,46.4458338,-103.462462
0500000US38089,33646,1050,24973,714,1530,1416,46.8170312,-102.6620262
0500000US38091,1798,3,1407,3,14,17,47.4510624,-97.71892
0500000US38093,21593,456,17254,331,741,413,46.9722235,-98.9561228
0500000US38095,2162,2,1668,2,7,23,48.6821831,-99.2481583
0500000US38097,7997,48,6131,39,100,180,47.4462146,-97.1647538
0500000US38099,10563,71,8159,51,132,808,48.3769789,-97.7222304
0500000US38101,69919,3024,52806,2254,5082,3110,48.2166858,-101.5405369
0500000US38103,3982,18,3180,10,49,24,47.5808513,-99.6822135
0500000US38105,40950,2096,29793,1427,3017,2505,48.3557649,-103.5013332
