GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US31001,31205,258,23842,197,490,2238,9287.0,594.0,3302.0
0500000US31003,6295,22,4823,12,50,116,2732.0,104.99999999999996,383.0
0500000US31005,434,3,316,3,6,5,244.0,11.0,17.0
0500000US31007,674,0,513,0,2,36,357.0,13.999999999999996,18.999999999999996
0500000US31009,431,1,343,0,3,2,276.0,9.999999999999996,29.999999999999996
0500000US31011,5379,21,4091,11,30,108,2299.0,136.99999999999997,414.0
0500000US31013,10842,66,8184,52,126,763,3617.0,229.99999999999997,965.0
0500000US31015,1810,0,1462,0,4,17,983.0,22.99999999999999,128.0
0500000US31017,2903,2,2308,0,2,123,1385.0,38.999999999999986,153.0
0500000US31019,50084,643,38037,453,1013,3197,14569.0,1174.0,4763.0
0500000US31021,6722,22,5230,15,51,86,2367.0,196.99999999999997,930.0
0500000US31023,8369,28,6377,18,53,290,3079.0,128.99999999999997,691.0
0500000US31025,26598,103,20253,60,184,572,8452.0,639.0,3484.0
0500000US31027,8380,28,6269,19,50,104,3532.0,223.99999999999997,571.0
0500000US31029,3893,20,2949,13,30,354,1648.0,53.999999999999986,171.0
0500000US31031,5455,11,4233,11,42,82,2623.0,126.99999999999999,317.0
0500000US31033,9468,60,7321,40,101,472,3665.0,212.99999999999997,711.0
0500000US31035,6104,10,4629,6,16,293,2422.0,115.99999999999997,477.0
0500000US31037,10582,378,7375,269,556,2978,2171.0,117.99999999999997,859.0
0500000US31039,9013,23,6796,13,42,695,3122.0,156.99999999999997,719.0
0500000US31041,10545,48,8060,24,81,219,4695.0,205.99999999999997,641.0
0500000US31043,21582,1613,15318,1013,2093,5451,3616.0,228.99999999999997,2314.0
0500000US31045,8199,164,6567,155,328,233,2632.0,190.99999999999997,801.0
0500000US31047,24111,1210,17327,751,1558,5446,5984.0,380.99999999999994,2136.0
0500000US31049,1838,1,1444,0,7,62,809.0,46.99999999999999,120.0
0500000US31051,5606,18,4218,10,37,464,2041.0,129.99999999999997,556.0
0500000US31053,37167,247,28050,179,444,3612,9933.0,624.0,4544.0
0500000US31055,584526,64721,435999,44889,95016,49817,108077.0,10402.0,113798.0
0500000US31057,1654,7,1327,3,10,60,823.0,30.999999999999993,89.0
0500000US31059,5551,22,4290,6,17,100,2130.0,150.99999999999997,613.0
0500000US31061,2889,6,2271,6,17,60,1347.0,53.999999999999986,250.0
0500000US31063,2519,17,1981,5,15,39,1110.0,35.999999999999986,161.0
0500000US31065,4636,9,3594,5,29,127,1921.0,84.99999999999997,304.0
0500000US31067,21704,140,16795,83,229,336,6380.0,491.99999999999994,2935.0
0500000US31069,1874,7,1519,4,11,58,869.0,38.99999999999999,153.0
0500000US31071,1813,3,1431,3,15,16,821.0,22.999999999999993,121.0
0500000US31073,1893,4,1476,4,11,54,794.0,37.99999999999999,166.0
0500000US31075,611,5,474,5,15,10,367.0,5.999999999999998,20.0
0500000US31077,2188,1,1676,1,11,26,912.0,37.99999999999999,210.0
0500000US31079,62895,1919,45900,1210,2630,11929,14408.0,894.9999999999999,6282.0
0500000US31081,9429,27,7028,9,36,174,3783.0,223.99999999999997,878.0
