GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US31001,31205,258,23842,197,490,2238,40.5206322,-98.5000441
0500000US31003,6295,22,4823,12,50,116,42.1832253,-98.0580367
0500000US31005,434,3,316,3,6,5,41.5719297,-101.6959166
0500000US31007,674,0,513,0,2,36,41.5397495,-103.7262626
0500000US31009,431,1,343,0,3,2,41.931945,-99.9964074
0500000US31011,5379,21,4091,11,30,108,41.7039345,-98.0704764
0500000US31013,10842,66,8184,52,126,763,42.2103804,-103.0817795
0500000US31015,1810,0,1462,0,4,17,42.8944477,-98.7730221
0500000US31017,2903,2,2308,0,2,123,42.3595618,-99.9239198
0500000US31019,50084,643,38037,453,1013,3197,40.8552654,-99.0749839
0500000US31021,6722,22,5230,15,51,86,41.8541794,-96.3377462
0500000US31023,8369,28,6377,18,53,290,41.2260724,-97.1320395
0500000US31025,26598,103,20253,60,184,572,40.9098778,-96.1406086
0500000US31027,8380,28,6269,19,50,104,42.6045604,-97.2568696
0500000US31029,3893,20,2949,13,30,354,40.5303903,-101.6941918
0500000US31031,5455,11,4233,11,42,82,42.571323,-101.0476532
0500000US31033,9468,60,7321,40,101,472,41.2142358,-103.0119289
0500000US31035,6104,10,4629,6,16,293,40.5236693,-98.0508585
0500000US31037,10582,378,7375,269,556,2978,41.57496,-97.0889449
0500000US31039,9013,23,6796,13,42,695,41.9158651,-96.7885168
0500000US31041,10545,48,8060,24,81,219,41.3938927,-99.7268662
0500000US31043,21582,1613,15318,1013,2093,5451,42.3916244,-96.561327
0500000US31045,8199,164,6567,155,328,233,42.7130379,-103.1354358
0500000US31047,24111,1210,17327,751,1558,5446,40.86784,-99.8155833
0500000US31049,1838,1,1444,0,7,62,41.1119026,-102.332609
0500000US31051,5606,18,4218,10,37,464,42.4850864,-96.8557845
0500000US31053,37167,247,28050,179,444,3612,41.5770082,-96.6458524
0500000US31055,584526,64721,435999,44889,95016,49817,41.2970908,-96.1540664
0500000US31057,1654,7,1327,3,10,60,40.180165,-101.6811327
0500000US31059,5551,22,4290,6,17,100,40.5250399,-97.5967053
0500000US31061,2889,6,2271,6,17,60,40.1832031,-98.96208
0500000US31063,2519,17,1981,5,15,39,40.5309469,-100.4066834
0500000US31065,4636,9,3594,5,29,127,40.191865,-99.9096631
0500000US31067,21704,140,16795,83,229,336,40.2552337,-96.6834528
