GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US33001,63705,359,52453,249,641,788,43.5191091,-71.4253661
0500000US33003,50107,134,42566,98,301,535,43.8677742,-71.2015596
0500000US33005,76458,708,62705,579,1391,1246,42.9254596,-72.2481828
0500000US33007,31268,526,26167,483,1036,469,44.6525477,-71.2894309
0500000US33009,91118,819,76702,648,1748,1906,43.9264391,-71.8424242
0500000US33011,422937,10937,338264,7690,18293,22161,42.9115317,-71.7230554
0500000US33013,153808,2650,125255,1965,4609,2658,43.2995786,-71.6800412
0500000US33015,314176,2278,254087,1756,4697,6710,42.9886636,-71.0990801
0500000US33017,130889,1513,107455,1223,3243,2807,43.2932725,-71.0355891
0500000US33019,43063,203,35026,150,438,520,43.3611883,-72.2220839
