GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US34001,274534,41519,217993,31191,65969,36798,39.4693555,-74.6337591
0500000US34003,955732,54831,755234,43549,97313,150353,40.9596985,-74.0747272
0500000US34005,461860,77749,365405,60935,128661,27250,39.8757858,-74.6630063
0500000US34007,523485,101109,406504,75624,158398,63392,39.8024071,-74.9612493
0500000US34009,95263,3567,78971,2768,6103,4731,39.0858411,-74.8463541
0500000US34011,154152,28581,118421,21357,45090,35993,39.3284336,-75.1216277
0500000US34013,863728,335047,661508,254770,529909,151967,40.7874003,-74.2462919
0500000US34015,302294,32992,237281,24842,52667,14340,39.7228745,-75.1456793
0500000US34017,724854,79498,582751,62032,137467,225167,40.7313751,-74.0786014
0500000US34019,128947,3174,104020,2634,5795,7427,40.5652832,-74.9119695
0500000US34021,387340,74993,304672,57732,120140,58353,40.2825026,-74.703724
0500000US34023,863162,84360,680009,65482,141407,138338,40.4396214,-74.4074303
0500000US34025,643615,41124,511670,32173,69069,55060,40.2870481,-74.1524456
0500000US34027,509285,16669,403593,13182,29361,55405,40.8588961,-74.5472917
0500000US34029,637229,19079,482600,14402,31919,44406,39.865669,-74.2588636
0500000US34031,524118,57809,403816,44366,97304,162368,41.0366554,-74.2994078
0500000US34033,64837,9534,50538,6868,14396,4108,39.5738282,-75.3573559
0500000US34035,345361,31842,271204,24594,52269,40896,40.5655273,-74.6199378
0500000US34037,144221,3088,116445,2372,5498,9902,41.1374609,-74.6919141
0500000US34039,575345,117306,440856,91052,191199,141485,40.6598707,-74.3086957
0500000US34041,109632,5899,87819,4198,9209,8260,40.8534914,-75.0094978
