GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R16,L16,D16
0500000US35001,676444,21344,533771,16030,37087,241402,94718.01122516734,29686.93686991562,143435.63499893292
0500000US35003,3579,37,3216,23,54,500,1464.0,110.99999999999999,427.0
0500000US35005,65157,1225,47971,917,2040,25077,12872.0,1609.0,5534.0
0500000US35006,27172,284,20758,256,627,6490,3195.5592592592593,970.3518518518518,3742.248148148148
0500000US35007,12387,36,10108,31,110,4458,2585.0,527.0,2129.0
0500000US35009,48430,2900,35463,2095,4638,14311,9039.89873624578,973.1596306787231,3121.4258361477287
0500000US35011,1698,8,1360,7,17,504,620.0,89.0,193.0
0500000US35013,219561,4072,167142,2993,7010,105300,25373.428571428572,5470.9384615384615,37946.43736263736
0500000US35015,62314,977,45921,747,1710,21301,13147.0,1275.0,5033.0
0500000US35017,28185,309,22831,246,596,9990,5288.0,899.0,6276.0
0500000US35019,4452,74,3586,66,150,2696,595.0,238.0,970.0
0500000US35021,657,4,561,4,11,235,311.0,54.99999999999999,156.0
0500000US35023,4178,14,3239,12,44,1767,910.0,137.0,784.0
0500000US35025,74455,2801,52736,2023,4348,29542,12495.0,1098.0,3930.0
0500000US35027,20269,88,16678,68,205,4648,5896.0,560.0,2331.0
0500000US35028,19419,167,15050,130,359,2353,3359.0,1512.0,5562.0
0500000US35029,25427,304,19118,210,502,11550,3478.0,480.99999999999994,3195.0
0500000US35031,72902,353,52680,301,790,5990,5103.440740740741,2411.6481481481483,13574.751851851852
0500000US35033,4189,14,3499,13,55,2697,665.0,194.0,1536.0
0500000US35035,67839,2662,52218,2084,4691,18030,11887.0,1613.0,6124.0
0500000US35037,8746,110,6828,74,170,2717,2209.810218978102,298.963503649635,1016.8540145985402
0500000US35039,40363,206,31787,162,439,21118,3599.0,1425.0,9592.0
0500000US35041,19191,504,14440,370,826,5768,3881.2910447761196,481.8768656716418,1453.7201492537313
0500000US35043,148834,3327,113956,2431,5750,40291,25884.988774832662,6652.063130084382,27688.365001067094
0500000US35045,121661,714,89664,504,1387,15477,27946.0,4200.0,12865.0
0500000US35047,27201,344,21911,284,624,15939,2313.0,915.0,7285.0
0500000US35049,154823,1412,127850,1151,2880,56077,14332.0,4362.0,50793.0
0500000US35051,11576,93,9795,66,157,2436,3010.5714285714284,442.0615384615384,1612.5626373626374
0500000US35053,16595,176,13075,123,329,6175,2616.0,802.0,3313.0
0500000US35055,34489,173,28445,127,396,13416,2727.0,1179.0,10668.0
0500000US35057,15045,133,11933,104,261,4521,3714.0,692.0,1785.0
0500000US35059,4079,66,3260,60,150,1236,1216.0,134.0,320.0
0500000US35061,76205,973,58139,732,1761,32752,13215.0,3046.0,10841.0
