GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US32001,25516,460,19781,367,897,2270,39.5377097,-118.2641661
0500000US32003,2265461,286684,1751240,211820,454516,482343,36.2141295,-115.0143977
0500000US32005,49488,243,41225,199,549,4249,38.9051292,-119.6090191
0500000US32007,53702,522,38408,375,918,8569,41.1411327,-115.3514239
0500000US32009,729,4,596,1,4,108,37.7789658,-117.6323824
0500000US32011,1855,3,1449,2,16,130,39.9777878,-116.2722082
0500000US32013,17285,147,12756,102,241,2865,41.4079136,-118.1275915
0500000US32015,5734,12,4280,12,37,859,39.9002105,-117.0472398
0500000US32017,4499,171,3414,132,271,193,37.634605,-114.8630367
0500000US32019,59235,530,46118,394,1085,6747,39.0222125,-119.1974246
0500000US32021,4554,165,3631,135,305,343,38.516647,-118.4162794
0500000US32023,51591,1573,43104,1274,2833,5518,37.9658636,-116.4590107
0500000US32027,6650,322,5415,308,639,1116,40.439639,-118.4094765
0500000US32029,4104,24,3485,23,57,231,39.4383853,-119.5246462
0500000US32031,486492,12295,383847,9435,21994,82660,40.7313196,-119.6632695
0500000US32033,9080,442,7177,429,869,1062,39.4181759,-114.9005649
0500000US32510,58639,1142,47400,1017,2262,10133,39.1530598,-119.7473681
