GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US36001,314848,43206,255875,32026,68640,15425,42.5882401,-73.9740095
0500000US36003,46456,829,36863,765,1681,725,42.2478532,-78.0261531
0500000US36005,1472654,487118,1123075,368874,805653,600336,40.8487111,-73.852939
0500000US36007,198683,12684,161645,9052,20200,7054,42.1619773,-75.8302833
0500000US36009,77042,1043,60217,810,1953,984,42.2390986,-78.662332
0500000US36011,76248,2910,61212,2437,5415,1843,43.0085456,-76.5745866
0500000US36013,127657,3354,101314,2612,6147,7533,42.3042159,-79.4075949
0500000US36015,84148,5315,66485,4145,9168,1930,42.1486972,-76.7524712
0500000US36017,47220,357,37509,251,675,739,42.4780238,-75.6022407
0500000US36019,79843,3060,65038,2798,6019,2285,44.752712,-73.7056429
0500000US36021,61570,2557,50848,1962,4418,2378,42.2476964,-73.6267175
0500000US36023,46809,895,37850,716,1642,1277,42.594039,-76.0762398
0500000US36025,44308,1072,36549,866,1939,1439,42.1939865,-74.9667281
0500000US36027,295911,32289,239623,25231,54213,29630,41.7547699,-73.7400411
0500000US36029,954236,134795,762120,98842,206106,39747,42.752759,-78.7781922
0500000US36031,37381,676,30642,617,1342,757,44.1096005,-73.7784307
0500000US36033,47555,1848,37865,1793,3699,1120,44.5943758,-74.31067
0500000US36035,53324,1068,42718,842,1977,1311,43.1156093,-74.4236782
0500000US36037,58388,1441,46834,1142,2626,1931,43.0009096,-78.1927784
0500000US36039,47931,2370,39625,2108,4591,2270,42.2798211,-74.1420253
0500000US36041,5107,31,4441,30,81,67,43.6578786,-74.5024556
0500000US36043,60139,759,47722,560,1364,946,43.571009,-74.8410968
0500000US36045,116721,6707,90038,5176,11382,5519,43.996389,-76.0529678
0500000US36047,2736074,772050,2140371,613774,1305805,391547,40.6350451,-73.9506398
0500000US36049,26582,109,20422,76,209,287,43.7826811,-75.4441402
0500000US36051,61834,1191,50109,1070,2389,1870,42.7290418,-77.778463
0500000US36053,68016,1120,54863,1010,2284,1198,42.9100255,-75.6635749
0500000US36055,759443,118879,605130,85877,181161,48481,43.2503466,-77.7005177
0500000US36057,49532,1267,38248,876,2140,4663,42.9008912,-74.4353575
0500000US36059,1395774,153274,1098884,121161,256781,184325,40.7296118,-73.5894144
0500000US36061,1694251,229361,1461740,188633,419400,329236,40.7766419,-73.9701871
0500000US36063,212666,16740,170508,12141,26092,4888,43.2726719,-78.8129431
0500000US36065,232125,16184,182459,11286,24470,9959,43.2427273,-75.4342824
0500000US36067,476516,56947,377786,39939,85673,17540,43.0065163,-76.1961336
0500000US36069,112458,2662,90306,2038,4760,3941,42.8563575,-77.3034967
0500000US36071,401310,45543,299303,34293,74591,61549,41.4024096,-74.3062522
0500000US36073,40343,1951,32190,1673,3579,1431,43.3399059,-78.2070281
0500000US36075,117525,1584,92794,1294,3035,2362,43.4614431,-76.2092618
0500000US36077,58524,1286,48464,1077,2454,1802,42.6297762,-75.028841
0500000US36079,97668,2828,78270,2239,5127,12357,41.4279067,-73.7438608
0500000US36081,2405464,403077,1949469,324227,699713,516054,40.6546581,-73.8412089
0500000US36083,161130,12872,130081,9041,19942,6262,42.7104206,-73.5138454
0500000US36085,495747,52039,389393,38250,82461,68231,40.5612628,-74.1398995
0500000US36087,338329,35542,239516,28139,59411,45652,41.1546276,-74.0246616
0500000US36089,108505,3074,86264,2928,6257,2268,44.4881125,-75.074311
0500000US36091,235509,4047,188616,3081,7375,5810,43.1061353,-73.8553872
0500000US36093,158061,17322,124281,12093,26907,7963,42.8175516,-74.0435592
0500000US36095,29714,305,24341,253,622,776,42.591294,-74.4381718
0500000US36097,17898,101,14508,68,194,223,42.4197755,-76.938603
0500000US36099,33814,1414,26820,1266,2697,974,42.7822943,-76.827088
0500000US36101,93584,1469,73447,1109,2586,1112,42.2667252,-77.3855253
0500000US36103,1525920,114294,1214412,88366,192029,234093,40.943554,-72.6922183
0500000US36105,78624,6814,61786,5416,11790,9582,41.7199928,-74.7715769
0500000US36107,48455,452,38075,362,873,735,42.1780565,-76.2974556
0500000US36109,105740,4597,90048,3785,8800,5677,42.4530063,-76.4734835
0500000US36111,181851,11063,149457,8890,19917,14859,41.9472124,-74.2654582
0500000US36113,65737,799,54003,623,1508,1191,43.5551053,-73.8381388
0500000US36115,61302,1715,49492,1623,3430,1323,43.3123766,-73.4394282
0500000US36117,91283,2562,71744,1925,4456,2807,43.2181139,-77.0494024
0500000US36119,1004457,141094,782442,111217,238668,193975,41.1526862,-73.7457526
0500000US36121,40531,1999,32895,1944,3982,1211,42.7013627,-78.2285667
0500000US36123,24774,161,19090,147,351,426,42.638237,-77.1043238
