GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US39001,27477,84,20896,65,181,118,38.8344683,-83.4780816
0500000US39003,102206,12573,78419,9250,19564,2029,40.7716274,-84.1061032
0500000US39005,52447,394,40638,294,727,550,40.843273,-82.2701271
0500000US39007,97574,3606,76412,2982,6590,2766,41.9066369,-80.7455916
0500000US39009,62431,2894,52633,2671,5908,1217,39.3327548,-82.0458853
0500000US39011,46422,240,35366,159,446,480,40.561309,-84.2240177
0500000US39013,66497,2117,53782,1860,4075,545,40.0176819,-80.9677268
0500000US39015,43676,304,33734,236,581,281,38.9313769,-83.8667723
0500000US39017,390357,34704,299082,24683,52440,15477,39.4397469,-84.5657341
0500000US39019,26721,122,21151,91,223,204,40.5798841,-81.090787
0500000US39021,38714,688,29878,545,1334,388,40.1327753,-83.7676037
0500000US39023,136001,12200,105692,9063,19408,3201,39.9170315,-83.783676
0500000US39025,208601,3347,160815,2423,5632,3121,39.0520537,-84.1494847
0500000US39027,42018,832,32671,676,1578,466,39.4166813,-83.8045826
0500000US39029,101877,2122,81318,1788,3943,1113,40.770073,-80.778455
0500000US39031,36612,397,27671,277,691,213,40.2967096,-81.9301092
0500000US39033,42025,319,33149,224,583,379,40.8485244,-82.9247827
0500000US39035,1264817,370895,1008892,278310,571945,57215,41.555037,-81.6049566
0500000US39037,51881,303,39608,203,553,506,40.1314669,-84.6211906
0500000US39039,38286,668,29420,504,1175,2540,41.3216789,-84.4864334
0500000US39041,214124,7840,157099,5649,12369,4233,40.2789411,-83.0074622
0500000US39043,75622,6807,60530,5035,10887,2016,41.3941426,-82.5868354
0500000US39045,158921,13484,120333,9145,19287,2426,39.747694,-82.626685
0500000US39047,28951,543,22198,437,1065,409,39.5552462,-83.4618927
0500000US39049,1323807,299771,1022233,209976,438627,59348,39.9698749,-83.0090858
0500000US39051,42713,254,32659,157,451,2408,41.5972639,-84.1242667
0500000US39053,29220,600,22432,472,1086,168,38.8170456,-82.3017463
0500000US39055,95397,1082,73972,834,1883,1053,41.4993217,-81.1735054
0500000US39057,167966,11486,132605,9310,20123,3422,39.6874785,-83.8948943
0500000US39059,38438,535,30106,409,1001,281,40.0566648,-81.497875
0500000US39061,830639,209173,645526,152332,313526,22874,39.1969272,-84.5441868
0500000US39063,74920,1431,58460,1060,2502,2707,41.000217,-83.6659471
0500000US39065,30696,262,23628,191,504,445,40.6604152,-83.6640773
0500000US39067,14483,241,11427,198,481,73,40.2923175,-81.0915651
0500000US39069,27662,160,21212,117,276,1362,41.3315843,-84.0688996
0500000US39071,43317,520,32967,408,998,253,39.1844221,-83.601359
0500000US39073,28050,140,21922,91,276,136,39.4903424,-82.4834473
0500000US39075,44223,123,30519,96,291,293,40.5655971,-81.9300012
0500000US39077,58565,605,44780,462,1209,2412,41.1450798,-82.594641
0500000US39079,32653,159,24906,137,395,193,39.0134773,-82.614142
0500000US39081,65249,3687,52568,2744,5996,746,40.3993836,-80.7635272
0500000US39083,62721,566,48296,422,1071,778,40.4036198,-82.4223929
0500000US39085,232603,11022,187311,8082,17427,6940,41.7781416,-81.1973297
0500000US39087,58240,1115,45579,896,2078,418,38.6038659,-82.5171856
0500000US39089,178519,7213,137465,5262,11568,2476,40.0915047,-82.4834352
0500000US39091,46150,677,35835,539,1376,643,40.3875532,-83.766343
0500000US39093,312964,24863,245242,18271,39737,21461,41.4388045,-82.179722
0500000US39095,431279,85081,334866,61552,128466,20308,41.6823213,-83.4689033
0500000US39097,43824,2686,34632,2536,5318,782,39.8966074,-83.4008847
0500000US39099,228614,34835,183667,25828,53766,9203,41.0108798,-80.7703956
0500000US39101,65359,4107,51628,3645,7631,1205,40.5880337,-83.1688034
0500000US39103,182470,2344,142218,1710,3998,2854,41.1161742,-81.8997641
0500000US39105,22210,153,17507,123,294,116,39.0898068,-82.0283968
0500000US39107,42528,204,31679,140,356,575,40.5353325,-84.6320588
0500000US39109,108774,2593,83447,1930,4558,1335,40.0533257,-84.2284135
0500000US39111,13385,19,10698,16,43,37,39.7262526,-81.0909834
0500000US39113,537309,113728,420586,83708,173514,13886,39.7537357,-84.2905915
0500000US39115,13802,405,10947,328,861,82,39.6249458,-81.8616967
0500000US39117,34950,159,26895,115,313,351,40.5252659,-82.7977288
0500000US39119,86410,3032,66950,2371,5760,629,39.9660457,-81.9435064
0500000US39121,14115,757,11433,754,1519,137,39.7672317,-81.452493
0500000US39123,40364,358,32939,265,628,1354,41.5454953,-83.0126127
0500000US39125,18806,155,14273,117,307,645,41.1189483,-84.5821249
0500000US39127,35408,90,26960,67,217,155,39.7431874,-82.2379525
0500000US39129,58539,2159,45401,1887,4032,586,39.648947,-83.0528267
0500000US39131,27088,190,20627,149,404,126,39.0713413,-83.0529107
0500000US39133,161791,8037,132034,6166,13471,2505,41.1689703,-81.1969618
0500000US39135,40999,186,31745,124,356,239,39.7388104,-84.6447584
0500000US39137,34451,125,25676,83,206,1357,41.0245334,-84.1298791
0500000US39139,124936,11312,97883,8982,18850,1690,40.774159,-82.5427812
0500000US39141,77093,4044,60804,3658,7916,670,39.3238949,-83.0595381
0500000US39143,58896,1886,45950,1324,3043,3820,41.3553193,-83.1427763
0500000US39145,74008,2075,58128,1787,3869,592,38.8148886,-82.998675
0500000US39147,55069,1380,43031,1072,2471,1824,41.1199923,-83.1275469
0500000US39149,48230,849,36270,608,1498,501,40.3366802,-84.2041425
0500000US39151,374853,29118,294899,21071,45760,6589,40.8141314,-81.3656673
0500000US39153,540428,79726,428512,58378,121777,8508,41.1218471,-81.5349279
0500000US39155,201977,17200,161789,13019,27381,2639,41.3063744,-80.7703998
0500000US39157,93263,724,72057,544,1360,2248,40.4474903,-81.4711052
0500000US39159,62784,1300,46614,1044,2323,949,40.2959008,-83.3670416
0500000US39161,28931,265,22063,183,486,682,40.8555203,-84.5857751
0500000US39163,12800,51,9981,32,99,46,39.2520418,-82.4859614
0500000US39165,242337,8288,182253,6447,13920,4768,39.4256625,-84.1699402
0500000US39167,59771,605,47860,505,1337,448,39.4506764,-81.4906359
0500000US39169,116894,1786,88837,1369,3198,1724,40.8296612,-81.8871942
0500000US39171,37102,335,28880,285,644,1177,41.5649587,-84.5843235
0500000US39173,132248,3185,104955,2608,5950,5484,41.3601834,-83.6226821
0500000US39175,21900,81,16951,47,129,419,40.8397816,-83.313681
