GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,R20,L20,D20
0500000US40001,19495,41,14420,33,122,667,5585.0,61.99999999999996,1387.0
0500000US40003,5699,238,4560,227,474,201,1978.0,30.999999999999968,231.99999999999997
0500000US40005,14143,565,11081,503,1103,354,4557.0,48.99999999999998,765.0
0500000US40007,5049,4,3748,4,16,804,1968.0,14.999999999999973,189.99999999999997
0500000US40009,22410,1136,17013,1046,2190,1646,6767.0,99.99999999999994,1048.0
0500000US40011,8735,263,6548,209,475,592,3136.0,43.99999999999996,688.0
0500000US40013,46067,744,35266,562,1485,2071,12344.0,229.99999999999991,3323.0
0500000US40015,26945,690,21082,631,1443,3345,7013.0,96.99999999999991,2670.0
0500000US40017,154405,5467,112734,3895,8943,9731,43550.0,1168.0,16742.0
0500000US40019,48003,2872,36685,2199,5033,2173,14699.0,195.99999999999991,4470.0
0500000US40021,47078,537,35989,428,1156,2005,11223.0,319.99999999999994,6027.0
0500000US40023,14204,1383,10956,1059,2302,352,4698.0,33.99999999999996,1082.0
0500000US40025,2296,1,1738,1,7,359,970.0,9.99999999999998,69.99999999999999
0500000US40027,295528,15147,228702,11201,25446,19782,66677.0,2278.0,49827.0
0500000US40029,5266,27,4052,23,76,106,2091.0,33.99999999999998,374.0
0500000US40031,121125,19802,92171,15124,32488,10807,20905.0,698.9999999999999,13747.0
0500000US40033,5527,76,4215,59,155,222,2117.0,33.999999999999964,393.0
0500000US40035,14107,378,11079,342,833,298,4686.0,87.99999999999997,1217.0
0500000US40037,71754,1480,54882,1158,2859,2080,23296.93451422437,438.0688853104311,6578.3127572016465
0500000US40039,28513,823,21464,655,1507,3449,8060.0,196.99999999999991,2369.0
0500000US40041,40397,136,32320,95,382,1018,13557.0,135.99999999999994,3472.0
0500000US40043,4484,7,3336,6,22,154,2124.0,11.999999999999977,213.99999999999997
0500000US40045,3749,20,2891,13,38,203,1688.0,17.999999999999975,162.0
0500000US40047,62846,1747,46510,1323,3113,5402,16970.0,370.9999999999999,4919.0
0500000US40049,25656,552,19448,419,1021,1488,8878.0,114.99999999999993,1865.0
0500000US40051,54795,1324,41626,1079,2473,2194,18538.0,286.9999999999999,4144.0
0500000US40053,4169,44,3191,32,77,118,1916.0,23.99999999999997,280.0
0500000US40055,5491,362,4341,327,668,393,1605.0,23.999999999999982,328.0
0500000US40057,2488,164,1879,124,264,490,747.0,5.999999999999988,177.0
0500000US40059,3272,4,2446,3,12,467,1327.0,17.999999999999982,135.99999999999997
0500000US40061,11561,66,8753,46,133,283,4165.0,36.99999999999997,783.0
0500000US40063,13367,732,10538,678,1425,528,3875.0,40.999999999999964,919.0
0500000US40065,24785,1726,18698,1299,2872,3878,6392.0,136.99999999999994,1646.0
0500000US40067,5337,27,4058,22,72,331,2026.0,25.999999999999975,319.0
0500000US40069,10272,247,7949,226,518,358,3441.0,36.99999999999997,738.0
0500000US40071,43700,879,33077,677,1580,2196,12834.0,264.9999999999999,4040.0
0500000US40073,15184,179,11145,149,368,1701,5521.0,63.99999999999995,854.0
0500000US40075,8509,327,6491,250,549,556,2673.0,32.99999999999997,699.0
0500000US40077,9444,43,7306,38,121,195,3437.0,34.99999999999997,762.0
0500000US40079,48129,859,36659,736,1728,2043,15213.0,213.99999999999991,3299.0
0500000US40081,33458,598,25422,471,1136,639,12013.0,186.99999999999994,2609.0
0500000US40083,49555,3286,36713,2666,5777,2415,15608.0,372.99999999999994,5455.0
0500000US40085,10146,198,7826,170,384,1120,3305.0,35.99999999999998,711.0
0500000US40087,41662,352,30780,248,722,2180,15295.0,235.99999999999997,3582.0
0500000US40089,30814,2564,23042,1893,4074,1090,9485.0,63.999999999999936,1858.0
0500000US40091,18941,547,15220,461,1118,305,6172.0,77.99999999999994,2031.0
0500000US40093,7782,16,5832,16,59,456,3084.0,38.99999999999996,319.99999999999994
0500000US40095,15312,170,11782,133,335,1562,4891.0,49.999999999999964,1100.0
0500000US40097,39046,191,29692,126,452,790,12749.0,196.99999999999994,3581.0
0500000US40099,13904,167,10663,149,370,572,4612.0,74.99999999999996,1156.0
0500000US40101,66339,6622,51051,5094,11208,2745,16526.0,318.9999999999999,8027.0
0500000US40103,10924,153,8364,128,298,238,3821.0,72.99999999999997,1003.0
0500000US40105,9320,108,7211,88,292,128,3610.0,53.99999999999997,712.0
0500000US40107,11310,700,8946,626,1354,249,3058.0,48.999999999999964,896.0
0500000US40109,796292,120320,601822,87964,187587,96601,145050.0,5272.0,141724.0
0500000US40111,36706,2768,28236,2271,5110,1045,9668.0,180.99999999999994,4357.0
0500000US40113,45818,4842,35510,3809,8058,1190,14126.131049483414,257.18270799347465,6004.847199564981
0500000US40115,30269,298,23179,223,599,1009,8545.0,133.99999999999994,2686.0
0500000US40117,15553,79,11906,55,196,281,5267.0,102.99999999999997,1363.0
0500000US40119,81646,3195,66441,2725,6219,3891,17813.0,672.9999999999999,10904.0
0500000US40121,43773,1251,34104,1093,2538,1387,13851.0,197.99999999999991,3768.0
0500000US40123,38065,884,28970,681,1877,1294,10805.0,260.99999999999994,4117.0
0500000US40125,72454,2242,55464,1804,4271,2723,20240.0,430.99999999999994,7275.0
0500000US40127,10812,67,8446,54,182,239,4016.0,32.99999999999997,668.0
0500000US40129,3442,8,2586,8,26,135,1629.0,23.999999999999982,167.99999999999997
0500000US40131,95240,1167,72407,882,2299,3224,34031.0,654.9999999999999,9589.0
0500000US40133,23556,923,17777,764,1836,655,6011.0,108.99999999999996,2150.0
0500000US40135,39281,616,29959,464,1202,989,12113.0,151.99999999999994,3035.0
0500000US40137,42848,822,32922,605,1485,2076,15560.0,223.99999999999991,3154.0
0500000US40139,21384,1025,15122,670,1423,6900,4505.0,88.99999999999993,894.0
0500000US40141,6968,497,5261,340,734,1236,2076.0,23.999999999999957,597.0
0500000US40143,669279,67414,505837,48946,106860,62663,150565.9344362922,4858.748406696094,108991.84004323337
0500000US40145,80981,2709,60513,1976,4698,3660,26165.0,502.99999999999994,8464.0
0500000US40147,52455,1354,40133,1056,2536,2008,17076.0,444.99999999999994,5790.0
0500000US40149,10924,101,8072,64,175,561,4086.0,58.99999999999995,598.0
0500000US40151,8624,237,6920,214,443,422,2993.0,65.99999999999997,591.0
0500000US40153,20470,351,15507,322,729,1903,6611.0,124.99999999999996,1005.0
