GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US40001,19495,41,14420,33,122,667,35.8980428,-94.6510258
0500000US40003,5699,238,4560,227,474,201,36.7297032,-98.3234449
0500000US40005,14143,565,11081,503,1103,354,34.3924691,-96.0365577
0500000US40007,5049,4,3748,4,16,804,36.7483343,-100.4830555
0500000US40009,22410,1136,17013,1046,2190,1646,35.2706008,-99.6900574
0500000US40011,8735,263,6548,209,475,592,35.8777951,-98.4290308
0500000US40013,46067,744,35266,562,1485,2071,33.9640035,-96.2651348
0500000US40015,26945,690,21082,631,1443,3345,35.1679202,-98.3810447
0500000US40017,154405,5467,112734,3895,8943,9731,35.5433544,-97.9798891
0500000US40019,48003,2872,36685,2199,5033,2173,34.2518484,-97.2879273
0500000US40021,47078,537,35989,428,1156,2005,35.9043668,-94.9967964
0500000US40023,14204,1383,10956,1059,2302,352,34.0276995,-95.5540792
0500000US40025,2296,1,1738,1,7,359,36.7483904,-102.5176984
0500000US40027,295528,15147,228702,11201,25446,19782,35.2063756,-97.3230884
0500000US40029,5266,27,4052,23,76,106,34.5828612,-96.288039
0500000US40031,121125,19802,92171,15124,32488,10807,34.6626252,-98.4765859
0500000US40033,5527,76,4215,59,155,222,34.290676,-98.3734379
0500000US40035,14107,378,11079,342,833,298,36.7638896,-95.2015531
0500000US40037,71754,1480,54882,1158,2859,2080,35.9073976,-96.3801769
0500000US40039,28513,823,21464,655,1507,3449,35.6456012,-98.9973857
0500000US40041,40397,136,32320,95,382,1018,36.3934371,-94.8081892
0500000US40043,4484,7,3336,6,22,154,35.9779598,-99.014385
0500000US40045,3749,20,2891,13,38,203,36.2242576,-99.7501388
0500000US40047,62846,1747,46510,1323,3113,5402,36.3781319,-97.7887411
0500000US40049,25656,552,19448,419,1021,1488,34.7093497,-97.312723
0500000US40051,54795,1324,41626,1079,2473,2194,35.0210581,-97.8868902
0500000US40053,4169,44,3191,32,77,118,36.7882544,-97.7881508
0500000US40055,5491,362,4341,327,668,393,34.9338533,-99.5529675
0500000US40057,2488,164,1879,124,264,490,34.745971,-99.8441936
0500000US40059,3272,4,2446,3,12,467,36.8003504,-99.6628052
0500000US40061,11561,66,8753,46,133,283,35.2324314,-95.1096421
0500000US40063,13367,732,10538,678,1425,528,35.0529339,-96.2511829
0500000US40065,24785,1726,18698,1299,2872,3878,34.5940059,-99.4122347
0500000US40067,5337,27,4058,22,72,331,34.1050824,-97.8388896
0500000US40069,10272,247,7949,226,518,358,34.3134553,-96.6542545
0500000US40071,43700,879,33077,677,1580,2196,36.8148851,-97.1438616
0500000US40073,15184,179,11145,149,368,1701,35.9494357,-97.9345565
0500000US40075,8509,327,6491,250,549,556,34.9214893,-98.9816168
0500000US40077,9444,43,7306,38,121,195,34.8751365,-95.2722625
0500000US40079,48129,859,36659,736,1728,2043,34.8973562,-94.6950743
0500000US40081,33458,598,25422,471,1136,639,35.7031175,-96.8813917
0500000US40083,49555,3286,36713,2666,5777,2415,35.9142774,-97.4509518
0500000US40085,10146,198,7826,170,384,1120,33.9578039,-97.2450928
0500000US40087,41662,352,30780,248,722,2180,35.0164359,-97.4498032
0500000US40089,30814,2564,23042,1893,4074,1090,34.1170728,-94.7660863
0500000US40091,18941,547,15220,461,1118,305,35.3691078,-95.6717865
0500000US40093,7782,16,5832,16,59,456,36.3131189,-98.5420147
0500000US40095,15312,170,11782,133,335,1562,34.0270069,-96.7705327
0500000US40097,39046,191,29692,126,452,790,36.303804,-95.2356382
0500000US40099,13904,167,10663,149,370,572,34.4857664,-97.0715567
0500000US40101,66339,6622,51051,5094,11208,2745,35.6175506,-95.3839106
0500000US40103,10924,153,8364,128,298,238,36.384901,-97.2363345
0500000US40105,9320,108,7211,88,292,128,36.7896148,-95.6133123
0500000US40107,11310,700,8946,626,1354,249,35.466804,-96.3277619
0500000US40109,796292,120320,601822,87964,187587,96601,35.5546109,-97.4094007
0500000US40111,36706,2768,28236,2271,5110,1045,35.6435003,-95.9659468
0500000US40113,45818,4842,35510,3809,8058,1190,36.6242995,-96.408112
0500000US40115,30285,298,23192,223,599,1009,36.8357635,-94.8026814
0500000US40117,15553,79,11906,55,196,281,36.3137038,-96.6966693
0500000US40119,81646,3195,66441,2725,6219,3891,36.0792253,-96.9752553
0500000US40121,43773,1251,34104,1093,2538,1387,34.9255401,-95.7481302
0500000US40123,38065,884,28970,681,1877,1294,34.7214152,-96.6917804
0500000US40125,72454,2242,55464,1804,4271,2723,35.2113915,-96.9570036
0500000US40127,10812,67,8446,54,182,239,34.377899,-95.4080818
0500000US40129,3442,8,2586,8,26,135,35.7085544,-99.7415716
0500000US40131,95240,1167,72407,882,2299,3224,36.3777941,-95.6013835
0500000US40133,23556,923,17777,764,1836,655,35.1583657,-96.6028575
0500000US40135,39281,616,29959,464,1202,989,35.5024345,-94.7507569
0500000US40137,42848,822,32922,605,1485,2076,34.4813609,-97.8556068
0500000US40139,21384,1025,15122,670,1423,6900,36.7463169,-101.4838549
0500000US40141,6968,497,5261,340,734,1236,34.3710852,-98.931701
0500000US40143,669279,67414,505837,48946,106860,62663,36.1203177,-95.9418132
0500000US40145,80981,2709,60513,1976,4698,3660,35.9633876,-95.5142005
0500000US40147,52455,1354,40133,1056,2536,2008,36.704403,-95.9062525
0500000US40149,10924,101,8072,64,175,561,35.2894967,-98.9914359
0500000US40151,8624,237,6920,214,443,422,36.7269843,-98.863649
0500000US40153,20470,351,15507,322,729,1903,36.4256189,-99.2736609
