GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US41001,16668,77,13380,59,157,492,44.7034268,-117.6919334
0500000US41003,95184,1002,79692,817,2207,6128,44.4938816,-123.4246641
0500000US41005,421401,4554,330868,3464,9149,26367,45.1604934,-122.1951274
0500000US41007,41072,226,33262,194,549,2419,46.0245094,-123.7050366
0500000US41009,52589,323,41729,237,661,1918,45.941932,-123.081079
0500000US41011,64929,289,53383,233,670,2899,43.1859095,-124.0941335
0500000US41013,24738,80,19871,54,161,1146,44.1630537,-120.3715849
0500000US41015,23446,84,20121,76,229,1161,42.4664387,-124.2109292
0500000US41017,198253,887,158167,582,1845,11250,43.9151181,-121.2255751
0500000US41019,111201,400,89959,310,938,4375,43.2863277,-123.154476
0500000US41021,1995,4,1596,1,11,75,45.382955,-120.276246
0500000US41023,7233,13,5910,8,62,192,44.4963261,-119.0140572
0500000US41025,7495,8,5839,6,36,212,43.0644492,-118.9871695
0500000US41027,23977,53,18372,35,136,4858,45.5117753,-121.6559762
0500000US41029,223259,1734,178032,1318,3693,19761,42.4116214,-122.6756106
0500000US41031,24502,145,18983,128,330,3189,44.6451505,-121.1786315
0500000US41033,88090,415,71749,333,1039,4826,42.3869829,-123.5716197
0500000US41035,69413,562,54901,416,1107,5687,42.6837613,-121.6461682
0500000US41037,8160,49,6604,49,118,517,42.7884009,-120.3897896
0500000US41039,382971,4660,313477,3713,10101,25737,43.9283337,-122.8975806
0500000US41041,50395,199,42380,152,499,3179,44.6410607,-123.9112121
0500000US41043,128610,681,100402,493,1524,8016,44.4888982,-122.5372084
0500000US41045,31571,465,23848,397,879,6559,43.1886252,-117.6031915
0500000US41047,345920,4161,262742,3027,7713,60955,44.9008984,-122.5762602
0500000US41049,12186,58,8842,30,90,3118,45.4254956,-119.6023111
0500000US41051,815428,45370,666710,34216,77884,72400,45.5477107,-122.4173625
0500000US41053,87433,735,67652,515,1423,8137,44.9003723,-123.3986397
0500000US41055,1870,0,1508,0,3,92,45.3992158,-120.6785124
0500000US41057,27390,79,22395,61,245,1820,45.4558895,-123.7592988
0500000US41059,80075,701,60393,612,1440,14363,45.5911997,-118.7338795
0500000US41061,26196,161,20379,128,382,866,45.3040809,-117.9991488
0500000US41063,7391,9,6016,9,41,159,45.593753,-117.1855796
0500000US41065,26670,133,20973,98,273,3241,45.1645359,-121.1650693
0500000US41067,600372,13437,464964,9850,24042,71496,45.5535419,-123.0976146
0500000US41069,1451,1,1217,0,4,50,44.7364146,-120.0268608
0500000US41071,107722,900,84336,725,1883,11734,45.2478274,-123.3163993
