GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US42001,103852,1559,83005,1237,2864,4865,39.8694707,-77.2177296
0500000US42003,1250578,163678,1020183,122538,257412,24137,40.4697574,-79.9804515
0500000US42005,65558,445,53182,362,904,296,40.8123805,-79.4641285
0500000US42007,168215,11168,136115,8292,17912,2396,40.6841401,-80.3507209
0500000US42009,47577,192,38284,140,383,353,39.9986336,-78.4947466
0500000US42011,428849,21992,333658,16155,37825,65244,40.4139565,-75.9268598
0500000US42013,122822,2533,98475,1867,4226,1116,40.4986828,-78.309597
0500000US42015,59967,404,46941,272,674,543,41.7915044,-76.5021231
0500000US42017,646538,26373,515340,19661,42687,26025,40.3368872,-75.10706
0500000US42019,193763,2243,155325,1697,4062,2377,40.9138467,-79.9189776
0500000US42021,133472,5828,108388,3968,8709,1592,40.5102268,-78.7104774
0500000US42023,4547,16,3751,16,38,49,41.4382909,-78.1983225
0500000US42025,64749,1208,52290,855,1958,2254,40.9183666,-75.7050387
0500000US42027,158172,5476,134439,4926,10647,4701,40.9091275,-77.8478769
0500000US42029,534413,29526,412886,22879,49316,28457,39.9740287,-75.7497512
0500000US42031,37241,552,29966,470,1044,280,41.1981594,-79.4203691
0500000US42033,80562,1906,65948,1817,3765,2329,41.0068618,-78.4777237
0500000US42035,37450,447,29598,347,785,409,41.2395075,-77.629009
0500000US42037,64727,912,53098,703,1678,1493,41.0455174,-76.4042599
0500000US42039,83938,1530,66608,1206,2721,795,41.687876,-80.107795
0500000US42041,259469,11081,206533,8054,17877,8018,40.1648047,-77.2634419
0500000US42043,286401,50868,224493,37042,78866,20482,40.4125646,-76.7926343
0500000US42045,576830,129242,449790,93795,192958,17672,39.9166853,-75.3988178
0500000US42047,30990,80,25229,57,178,183,41.4273317,-78.6539366
0500000US42049,270876,20584,214341,14433,31065,7450,42.1179519,-80.0963858
0500000US42051,128804,5789,104708,4563,9797,1056,39.9189072,-79.6401194
0500000US42053,6973,1237,6323,1223,2450,298,41.513304,-79.249705
0500000US42055,155932,5338,120964,3862,8800,6584,39.9267722,-77.7245208
0500000US42057,14556,128,11514,92,218,81,39.9107505,-78.1226171
0500000US42059,35954,1083,29272,1050,2190,415,39.8477067,-80.2256552
0500000US42061,44092,2271,36075,2148,4448,659,40.4223108,-77.9685953
0500000US42063,83246,2494,67726,2217,4767,1121,40.6514319,-79.0875451
0500000US42065,44492,131,35246,97,268,271,41.1380282,-79.012419
0500000US42067,23509,133,18343,98,269,557,40.530673,-77.4004377
0500000US42069,215896,8350,173597,5729,13017,11538,41.4402841,-75.6096661
0500000US42071,552984,22394,425314,15921,36542,40363,40.0419921,-76.250198
0500000US42073,86070,3664,69056,2594,5840,1032,40.9927352,-80.3344455
0500000US42075,143257,3233,111234,2261,5553,13125,40.3714482,-76.4648185
0500000US42077,374557,27589,291935,19665,44808,65250,40.6142409,-75.5906269
0500000US42079,325594,16226,262455,11391,25707,30897,41.1730778,-75.9760533
0500000US42081,114188,5835,90800,4321,9421,1556,41.3438824,-77.0552624
0500000US42083,40432,867,32321,827,1772,449,41.8145902,-78.5724631
0500000US42085,110652,6389,89028,4789,10225,985,41.3000142,-80.2527863
0500000US42087,46143,388,36057,270,673,578,40.6016153,-77.6518322
0500000US42089,168327,24894,134271,18577,40063,19796,41.0562401,-75.3290651
0500000US42091,856553,81786,674024,62445,131905,35655,40.2099992,-75.3702011
0500000US42093,18136,331,14393,211,508,318,41.0292837,-76.6652253
0500000US42095,312951,19442,251676,14139,31428,29851,40.7527913,-75.3074468
0500000US42097,91647,2579,73275,2028,4390,2583,40.8515244,-76.709877
0500000US42099,45842,302,35917,236,613,554,40.3977795,-77.2663284
0500000US42101,1603797,630462,1278362,480804,988532,167538,40.0093755,-75.1333459
0500000US42103,58535,3285,47447,2517,5501,4593,41.3259485,-75.0315143
0500000US42105,16396,43,13140,34,91,156,41.7485866,-77.8944358
0500000US42107,143049,4394,115932,3834,8238,5112,40.703682,-76.2177878
0500000US42109,39736,539,31144,433,964,652,40.7554068,-77.0729288
0500000US42111,74129,1881,60695,1809,3725,748,39.9812968,-79.0284859
0500000US42113,5840,85,4857,68,158,72,41.4392848,-76.5117166
0500000US42115,38434,145,30923,106,270,531,41.8196651,-75.8009686
0500000US42117,41045,343,32720,285,674,426,41.7668593,-77.2572881
0500000US42119,42681,2583,34680,2366,4877,1555,40.962179,-77.0554751
0500000US42121,50454,444,40320,308,766,328,41.4007143,-79.7658126
0500000US42123,38587,149,31105,110,301,257,41.8342984,-79.2981823
0500000US42125,209349,6958,169191,5566,12471,2702,40.2000054,-80.2521319
0500000US42127,51155,1722,42587,1598,3359,1707,41.6466021,-75.2924932
0500000US42129,354663,9188,289614,6665,15193,3412,40.3110682,-79.4666879
0500000US42131,26069,233,21073,205,473,360,41.5251726,-76.008731
0500000US42133,456438,27999,356368,19914,43778,25021,39.9217514,-76.7288887
