GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US45001,24295,6205,19369,4948,10086,284,34.229041,-82.4540577
0500000US45003,168808,39856,132926,29877,61233,7504,33.5500134,-81.632983
0500000US45005,8039,5656,6687,4578,9230,162,32.9797573,-81.3632651
0500000US45007,203718,30440,157974,22740,46821,6103,34.521235,-82.6386029
0500000US45009,13311,7763,10690,6167,12438,104,33.2030211,-81.0531607
0500000US45011,20589,8825,15964,6613,13414,339,33.2605516,-81.4342278
0500000US45013,187117,27973,151768,20942,43208,15565,32.358112,-80.6894218
0500000US45015,229861,52393,173949,38689,79522,13037,33.2077,-79.9536554
0500000US45017,14119,5372,11423,4356,8814,292,33.6747804,-80.7803468
0500000US45019,408235,92598,327897,71468,146038,19979,32.8004582,-79.94248
0500000US45021,56216,11370,43551,8550,17448,1752,35.0497962,-81.6076469
0500000US45023,32294,11330,25144,8578,17394,509,34.6893424,-81.1612488
0500000US45025,43273,13233,33697,10062,20543,1379,34.6370178,-80.1592269
0500000US45027,31144,13919,25049,10963,22170,594,33.6646821,-80.2178886
0500000US45029,38604,13467,30438,10339,21003,843,32.8350184,-80.6552438
0500000US45031,62905,25524,49141,19205,38881,846,34.3321854,-79.9621155
0500000US45033,28292,12727,21491,9421,19105,535,34.3901723,-79.3749638
0500000US45035,161540,38733,121251,28431,58496,6773,33.0821859,-80.4046966
0500000US45037,25657,8365,20775,6875,13924,1038,33.7764976,-81.9682452
0500000US45039,20948,11251,17307,9000,18218,316,34.3956685,-81.1270007
0500000US45041,137059,57186,105699,42556,86185,2780,34.0285346,-79.7102329
0500000US45043,63404,18156,52140,13876,28081,1441,33.4175309,-79.2963325
0500000US45045,525534,88181,406243,66030,136056,38369,34.8926452,-82.3720772
0500000US45047,69351,20938,54259,15801,32135,2967,34.1557959,-82.1278759
0500000US45049,18561,9592,14708,7516,15136,545,32.7783341,-81.1438217
0500000US45051,351029,39883,290082,30369,63305,15909,33.9092694,-78.9766749
0500000US45053,28791,9645,23102,7505,15267,3243,32.43059,-81.021627
0500000US45055,65403,15256,50464,11687,23912,2096,34.3383561,-80.5908847
0500000US45057,96016,19272,74608,14473,29570,3993,34.6868182,-80.7036885
0500000US45059,67539,16024,52791,12234,24914,2575,34.4836761,-82.0054976
0500000US45061,16531,10084,13586,8163,16452,206,34.1586401,-80.2512086
0500000US45063,293991,42924,225405,31091,64296,13801,33.8992461,-81.2661183
0500000US45065,9526,3933,8442,3310,6671,103,33.8975992,-82.3161961
0500000US45067,29183,16403,22841,12372,25042,427,34.0836195,-79.3540014
0500000US45069,26667,13391,21584,10722,21706,501,34.60167,-79.6794351
0500000US45071,37719,10451,29709,7954,16196,2085,34.2898805,-81.5996761
0500000US45073,78607,5193,63579,4074,8564,2807,34.7487656,-83.0615395
0500000US45075,84223,51046,66567,39622,79969,1240,33.436135,-80.8029131
0500000US45077,131404,8528,107066,6924,14693,4451,34.8853677,-82.7233774
0500000US45079,416147,190218,327481,144384,294513,18236,34.0290952,-80.8980371
0500000US45081,18862,4072,14736,3225,6540,1783,34.0052784,-81.7279033
0500000US45083,327997,64230,252012,48325,99182,17803,34.9320145,-81.9916236
0500000US45085,105556,48876,81402,36862,74819,2857,33.9161395,-80.3823757
0500000US45087,27244,8485,21422,6514,13217,264,34.6903965,-81.6158961
0500000US45089,31026,19666,24930,15534,31353,485,33.6264617,-79.716474
0500000US45091,282090,51898,213111,38419,79046,12203,34.9701875,-81.1831873
