GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US46003,2747,14,2037,5,11,149,43.7247191,-98.5775872
0500000US46005,19149,165,13934,105,263,1547,44.4182649,-98.2794224
0500000US46007,3381,7,2267,7,29,39,43.1869121,-101.677181
0500000US46009,7003,107,5707,104,223,90,42.985799,-97.8841987
0500000US46011,34375,637,27141,468,1061,923,44.3766745,-96.7977971
0500000US46013,38301,566,29240,404,967,1076,45.5892542,-98.3521746
0500000US46015,5247,33,4014,23,50,75,43.7298732,-99.092909
0500000US46017,1948,0,1196,0,4,10,44.0443062,-99.2039983
0500000US46019,10243,12,7767,11,39,228,44.8962264,-103.5014361
0500000US46021,1377,0,1102,0,3,25,45.7855747,-100.0021074
0500000US46023,9373,16,6681,12,41,148,43.2061853,-98.5951429
0500000US46025,3837,12,2779,6,14,102,44.8552107,-97.7249124
0500000US46027,14967,235,12399,198,499,339,42.9161495,-96.980468
0500000US46029,28325,116,21707,73,193,444,44.9662852,-97.1988375
0500000US46031,3902,6,2551,6,29,24,45.6856708,-101.1796647
0500000US46033,8318,32,6925,28,75,120,43.6849428,-103.46225
0500000US46035,19956,157,15361,121,274,583,43.6804393,-98.1558683
0500000US46037,5449,7,4192,3,10,92,45.355161,-97.5814295
0500000US46039,4295,10,3269,0,10,75,44.7562899,-96.6902393
0500000US46041,5239,9,3595,9,39,38,45.148049,-100.8379534
0500000US46043,2835,7,2181,3,11,38,43.3915064,-98.3584331
0500000US46045,3986,12,3075,12,36,36,45.4116802,-99.205362
0500000US46047,6973,35,5772,31,79,120,43.2216189,-103.5126087
0500000US46049,2125,2,1652,0,12,26,45.0654764,-99.1535637
0500000US46051,7556,3,5836,0,17,313,45.1726366,-96.7722606
0500000US46053,3994,9,3095,9,27,34,43.1751423,-99.2065908
0500000US46055,1872,2,1449,2,9,16,44.2880971,-101.5408561
0500000US46057,6164,5,4171,3,9,186,44.6806187,-97.178598
0500000US46059,3145,7,2463,7,28,23,44.5467133,-99.0045751
0500000US46061,3461,5,2447,3,13,20,43.6806116,-97.7968454
0500000US46063,1311,5,986,5,11,21,45.5966105,-103.4738711
0500000US46065,17765,91,13497,65,183,285,44.3844521,-99.9756842
0500000US46067,7427,9,5540,4,11,110,43.3367101,-97.7493828
0500000US46069,1262,4,988,3,7,15,44.5371743,-99.4727359
0500000US46071,2806,11,1915,6,23,39,43.677506,-101.6263229
0500000US46073,1663,1,1283,1,8,55,44.0634099,-98.6231702
0500000US46075,917,4,691,0,4,4,43.951991,-100.6861382
0500000US46077,5187,8,4000,0,5,72,44.3629687,-97.499313
0500000US46079,11059,107,8626,89,202,419,44.0284497,-97.1232229
0500000US46081,25768,135,20823,108,277,602,44.3485137,-103.8063624
0500000US46083,65161,1132,46756,662,1538,976,43.2794204,-96.7222862
0500000US46085,3718,3,2622,2,29,33,43.8948122,-99.8419253
0500000US46087,5682,9,4237,5,22,106,43.6804155,-97.3580479
0500000US46089,2411,3,1915,3,16,37,45.7842491,-99.2114212
0500000US46091,4306,7,3256,3,19,153,45.7370443,-97.5808695
0500000US46093,29852,446,22354,348,828,800,44.6052822,-102.7141689
0500000US46095,1918,1,1285,1,6,15,43.5846896,-100.7609555
0500000US46097,2298,4,1776,1,12,28,44.0215411,-97.608122
0500000US46099,197214,11527,148004,7075,15139,7286,43.6674723,-96.7957261
0500000US46101,6336,19,4631,6,32,192,44.0124293,-96.6760536
0500000US46102,13672,24,8605,24,77,226,43.333393,-102.5614857
0500000US46103,109222,1420,84782,1097,2746,3486,44.0023492,-102.8238015
0500000US46105,2835,2,2244,0,13,23,45.4833865,-102.4679947
0500000US46107,2472,6,1989,6,18,14,45.0527131,-99.9620034
0500000US46109,10280,33,7395,23,76,131,45.6233973,-96.9475513
0500000US46111,2330,2,1767,2,15,40,44.0189419,-98.0917093
0500000US46115,6361,25,4881,15,41,101,44.9237717,-98.3396152
0500000US46117,2980,12,2244,11,26,17,44.4139844,-100.7478218
0500000US46119,1446,5,1140,5,15,31,44.7223248,-100.1313985
0500000US46121,9319,10,5615,6,22,101,43.2087936,-100.7076636
0500000US46123,5624,10,4284,9,28,39,43.3497292,-99.8762186
0500000US46125,8673,37,6413,15,43,138,43.3086698,-97.1501851
0500000US46127,16811,172,12657,109,280,387,42.8311064,-96.6508287
0500000US46129,5315,13,4097,11,32,59,45.4276046,-100.0278563
0500000US46135,23310,317,18382,272,628,853,43.006603,-97.3883614
0500000US46137,2413,0,1570,0,3,22,44.9897638,-101.6608274
