GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US47001,77123,2888,60836,2195,4886,1756,36.1167307,-84.1954177
0500000US47003,50237,3641,37654,2784,5825,4543,35.5136604,-86.4582939
0500000US47005,15864,316,12773,256,563,246,36.0709478,-88.0712321
0500000US47007,14913,786,12310,771,1575,307,35.5935612,-85.2059104
0500000US47009,135280,3628,107665,2816,6174,3591,35.6881849,-83.9229731
0500000US47011,108620,5238,84901,3984,8714,5264,35.1539144,-84.8594137
0500000US47013,39272,133,31248,108,335,321,36.4015922,-84.1592495
0500000US47015,14506,203,11408,165,369,261,35.808394,-86.0624044
0500000US47017,28440,2457,22484,1990,4146,494,35.9657478,-88.4523791
0500000US47019,56356,719,45897,572,1320,798,36.2847441,-82.1265932
0500000US47021,41072,819,32259,629,1406,1176,36.2551687,-87.1008077
0500000US47023,17341,1498,13491,1124,2342,305,35.420253,-88.6113533
0500000US47025,32043,315,25936,271,641,380,36.501572,-83.6606975
0500000US47027,7581,76,6038,67,152,86,36.5457493,-85.5457173
0500000US47029,35999,583,28934,481,1117,607,35.916198,-83.1192242
0500000US47031,57889,2117,44600,1601,3501,1983,35.4887654,-86.0782018
0500000US47033,13911,1882,10643,1454,2941,916,35.8187949,-89.1324936
0500000US47035,61145,312,50574,220,549,1234,35.9523984,-84.9947614
0500000US47037,715884,173092,572818,130971,268946,65511,36.1691287,-86.7847898
0500000US47039,11435,270,9122,226,476,226,35.6031362,-88.1102917
0500000US47041,20080,245,15664,194,469,900,35.9822191,-85.8335959
0500000US47043,54315,1962,42204,1550,3406,1671,36.1455325,-87.3641546
0500000US47045,36801,5362,27943,3836,7869,755,36.054196,-89.3983058
0500000US47047,41990,11080,34105,8750,17709,910,35.1969933,-89.4138027
0500000US47049,18489,30,14688,16,65,186,36.3698921,-84.9377641
0500000US47051,42774,1985,34398,1615,3390,976,35.1559259,-86.0992032
0500000US47053,50429,8965,38270,6709,13686,863,35.9916316,-88.9338117
0500000US47055,30346,2936,23982,2334,4875,435,35.2027228,-87.035319
0500000US47057,23527,124,18704,102,259,473,36.2775091,-83.5095458
0500000US47059,70152,1393,56339,1120,2500,1585,36.1794867,-82.8475235
0500000US47061,13529,38,10768,33,103,117,35.3933855,-85.7103793
0500000US47063,64499,2206,49514,1737,3912,5478,36.2183967,-83.2660711
0500000US47065,366207,64428,289447,48376,99518,17174,35.163472,-85.2018432
0500000US47067,6662,35,5278,21,78,33,36.5213528,-83.2274928
0500000US47069,25462,10194,20791,8045,16236,380,35.2187853,-88.988697
0500000US47071,26831,810,21369,657,1387,378,35.2018926,-88.1856958
0500000US47073,56721,683,45408,526,1208,548,36.4520892,-82.931485
0500000US47075,17864,9032,13841,6867,13857,545,35.5866782,-89.2826913
0500000US47077,27842,1950,21559,1535,3261,442,35.6539945,-88.3876742
0500000US47079,32199,2339,25561,1773,3686,559,36.325295,-88.3002878
0500000US47081,24925,941,19743,849,1764,434,35.8023275,-87.4671159
0500000US47083,8283,210,6501,172,391,90,36.2857824,-87.7055983
0500000US47085,18990,506,14658,351,766,268,36.0408218,-87.7904526
0500000US47087,11617,48,9418,33,93,160,36.3542499,-85.6741278
0500000US47089,54683,802,43731,649,1459,1428,36.0483379,-83.4411426
0500000US47091,17948,730,14811,712,1472,340,36.4532029,-81.8612467
0500000US47093,478971,40360,378602,29921,63450,18306,35.9927265,-83.9377209
0500000US47095,7005,1833,5967,1594,3213,141,36.3339054,-89.4855365
0500000US47097,25143,8421,19634,6298,12760,378,35.7629507,-89.6277318
0500000US47099,44159,710,33353,516,1181,680,35.2204764,-87.396546
0500000US47101,12582,189,9757,146,316,219,35.5232441,-87.4969827
0500000US47103,35319,2204,27475,1665,3533,811,35.1427838,-86.5934033
0500000US47105,54886,584,44686,445,1064,3297,35.7350854,-84.3140848
0500000US47107,53276,1870,42012,1485,3256,1381,35.4244722,-84.6199488
0500000US47109,25866,1550,20415,1238,2576,286,35.1753751,-88.5637397
0500000US47111,25216,121,19078,91,243,1002,36.5377572,-86.0009596
0500000US47113,98823,36004,77242,26756,54347,2971,35.6060563,-88.8334238
0500000US47115,28837,1047,22917,775,1685,384,35.1334215,-85.618399
0500000US47117,34318,2043,26287,1589,3398,1393,35.4683433,-86.765865
0500000US47119,100974,11349,77854,8597,17816,4805,35.6156963,-87.0777632
0500000US47121,12758,134,10101,104,242,125,35.512203,-84.8161015
0500000US47123,46250,743,36473,600,1351,1172,35.4478181,-84.249705
0500000US47125,220069,44569,160622,32127,67594,14434,36.5003535,-87.3808865
0500000US47127,6461,103,5128,90,204,51,35.2888885,-86.358684
0500000US47129,21035,971,16898,958,1944,184,36.138697,-84.6392616
0500000US47131,30787,3159,24096,2341,4841,935,36.3618921,-89.1480777
0500000US47133,22511,89,17637,59,198,207,36.3448504,-85.2830756
0500000US47135,8366,199,6570,169,361,87,35.6637521,-87.8693256
0500000US47137,5001,8,4090,8,26,51,36.5593638,-85.075741
0500000US47139,17544,62,14253,51,175,204,35.1094371,-84.5411124
0500000US47141,79854,2188,63201,1834,4069,3822,36.1409404,-85.4961801
0500000US47143,32870,604,25634,481,1102,1259,35.60059,-84.9495484
0500000US47145,53404,1303,42981,1040,2287,655,35.8472504,-84.5239292
0500000US47147,72803,5168,55560,3858,8057,4227,36.5275092,-86.8693538
0500000US47149,341486,53977,255546,39239,81446,24551,35.8433688,-86.4172127
0500000US47151,21850,47,16531,16,74,106,36.435234,-84.50352
0500000US47153,15826,72,12505,47,135,354,35.3723358,-85.410082
0500000US47155,98380,812,78359,653,1639,5345,35.7878224,-83.5249005
0500000US47157,929744,477321,706063,353883,716492,49517,35.1845529,-89.8946125
0500000US47159,19904,364,15324,299,670,293,36.2566451,-85.9419149
0500000US47161,13657,172,10756,135,338,204,36.4584642,-87.8118894
0500000US47163,158163,3254,127939,2571,5767,2274,36.5096806,-82.3013363
0500000US47165,196281,15740,149662,11194,23488,8225,36.4724225,-86.4584051
0500000US47167,60970,10860,46052,8060,16458,1023,35.4987625,-89.7471452
0500000US47169,11615,1922,9424,1751,3566,254,36.3930297,-86.1566909
0500000US47171,17928,44,14713,26,82,740,36.1001287,-82.4182181
0500000US47173,19802,53,15355,33,119,248,36.2841401,-83.8360878
0500000US47175,6168,22,4836,21,55,56,35.6992335,-85.4584092
0500000US47177,40953,1097,31461,873,1928,2409,35.6782498,-85.7773428
