GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US48001,57922,11577,47381,9888,20018,8350,31.8412614,-95.6617267
0500000US48003,18610,237,12948,183,428,6731,32.3122581,-102.6402058
0500000US48005,86395,13098,65058,9544,19508,12872,31.2518963,-94.6111337
0500000US48007,23830,264,19816,197,445,4397,28.1226209,-96.9675012
0500000US48009,8560,32,6612,27,85,474,33.6163054,-98.6872669
0500000US48011,1848,13,1427,10,23,85,34.964179,-101.3566363
0500000US48013,48981,425,35983,306,763,21784,28.8914775,-98.535381
0500000US48015,30167,2440,23157,1813,3756,5357,29.8919013,-96.2701696
0500000US48017,6904,65,4838,39,80,2946,34.0675209,-102.8303446
0500000US48019,20851,110,17349,96,272,2948,29.756389,-99.2482849
0500000US48021,97216,5759,73027,4465,9427,27108,30.1007718,-97.3106392
0500000US48023,3465,57,2636,46,105,275,33.6188024,-99.2081888
0500000US48025,31047,2395,25022,2214,4512,14920,28.4160769,-97.7425858
0500000US48027,370647,85241,272163,60111,127263,61176,31.0427497,-97.4812684
0500000US48029,2009324,161307,1512388,119626,256505,854043,29.4486708,-98.5201465
0500000US48031,11374,72,9421,66,163,1514,30.2664556,-98.399217
0500000US48033,631,1,471,0,6,53,32.7385899,-101.439199
0500000US48035,18235,279,14456,216,515,2148,31.9008189,-97.6376407
0500000US48037,92893,23251,71537,17203,35153,5263,33.4460648,-94.422393
0500000US48039,372031,55176,275900,40692,83916,77672,29.1678175,-95.434647
0500000US48041,233849,24341,185935,17732,37534,45137,30.6567132,-96.3023935
0500000US48043,9546,198,7846,154,373,2982,29.8089965,-103.2524579
0500000US48045,1435,18,1113,13,29,259,34.5251725,-101.205893
0500000US48047,7076,25,5329,8,35,4593,27.0349936,-98.2152756
0500000US48049,38095,1462,29878,1084,2345,5525,31.7641372,-98.998456
0500000US48051,17642,1908,13911,1446,2973,2503,30.4934867,-96.6220912
0500000US48053,49130,643,38983,492,1141,7372,30.7896305,-98.2011868
0500000US48055,45883,2440,34034,1903,3984,17100,29.8323986,-97.628141
0500000US48057,20106,426,15502,341,731,6980,28.4417191,-96.5795739
0500000US48059,13708,133,10696,97,245,867,32.2931499,-99.372249
0500000US48061,421017,2076,301208,1383,3417,264000,26.1029227,-97.4789584
0500000US48063,12464,1898,9345,1427,2922,1998,32.9745813,-94.979085
0500000US48065,5807,20,4401,17,77,382,35.4054961,-101.3553558
0500000US48067,28454,4541,22227,3452,7047,844,33.0836979,-94.3575786
0500000US48069,7371,108,5277,81,176,3215,34.5336207,-102.2587856
0500000US48071,46571,3227,33464,2439,5119,6781,29.6963741,-94.6694454
0500000US48073,50412,6426,37887,4947,10104,7472,31.8438807,-95.1563425
0500000US48075,6664,582,5318,532,1100,1461,34.5246235,-100.2081658
0500000US48077,10218,39,8144,30,97,394,33.7859042,-98.2129174
0500000US48079,2547,71,1817,57,119,1019,33.6084401,-102.830449
0500000US48081,3285,7,2634,7,19,471,31.8771104,-100.6352305
0500000US48083,7684,151,6165,113,244,815,31.9142052,-99.3466223
0500000US48085,1064465,110284,786838,78760,165138,112750,33.1944942,-96.579428
0500000US48087,2652,121,1988,91,189,520,34.9633577,-100.2721351
0500000US48089,20557,2335,16093,1756,3581,4026,29.596296,-96.5089347
0500000US48091,161501,3880,126535,3047,6841,30300,29.8123773,-98.2581288
0500000US48093,13594,48,10566,26,92,2506,31.9516447,-98.5496169
0500000US48095,3303,82,2851,75,163,815,31.3188831,-99.8636485
0500000US48097,41668,1233,31523,881,1922,5132,33.6391964,-97.2103433
0500000US48099,83093,12356,62606,9319,19946,11259,31.3911774,-97.7980223
0500000US48101,1380,96,1097,69,158,226,34.0919063,-100.2764416
0500000US48103,4675,77,3351,61,131,2087,31.4227965,-102.4877739
0500000US48105,3098,18,2394,14,39,1416,30.7175316,-101.4042113
0500000US48107,5133,151,3812,106,234,1873,33.609144,-101.2987099
0500000US48109,2188,21,1721,21,57,1252,31.4459085,-104.5269447
0500000US48111,7115,76,5022,58,153,2447,36.2863696,-102.5940204
0500000US48113,2613539,574183,1972578,431270,883358,722471,32.7669866,-96.7784238
0500000US48115,12456,899,9450,811,1643,4733,32.742528,-101.9487714
0500000US48117,18583,174,12949,121,289,9156,34.9407663,-102.6075637
0500000US48119,5230,312,4081,238,499,252,33.3859329,-95.6733504
0500000US48121,906422,97847,678416,71706,150907,122901,33.205132,-97.1211403
