GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US49001,7072,23,4910,23,55,689,38.357535,-113.2389481
0500000US49003,57666,178,39411,92,282,3280,41.6226233,-113.060252
0500000US49005,133154,1115,94161,710,1777,9231,41.7341174,-111.7453987
0500000US49007,20412,61,15185,54,150,1759,39.673284,-110.5884845
0500000US49009,935,4,716,4,10,18,40.890099,-109.5057855
0500000US49011,362679,4376,246384,2897,7196,24151,41.0375594,-112.2019434
0500000US49013,19596,21,13268,6,39,755,40.2893927,-110.4295838
0500000US49015,9825,4,6956,2,12,380,39.0090246,-110.7210999
0500000US49017,5083,11,3881,9,35,316,37.8316645,-111.4509076
0500000US49019,9669,73,7622,55,149,793,38.9743261,-109.5734502
0500000US49021,57289,408,41030,300,767,3495,37.9093044,-113.3067405
0500000US49023,11786,18,7756,15,33,319,39.71412,-112.790471
0500000US49025,7667,31,5915,25,58,227,37.2750892,-111.815329
0500000US49027,12975,15,8935,10,46,1120,38.9567436,-113.133092
0500000US49029,12295,12,7996,2,19,211,41.0910273,-111.5778846
0500000US49031,1438,0,1092,0,5,80,38.3358805,-112.1293755
0500000US49033,2510,11,1743,8,28,68,41.6275976,-111.2402269
0500000US49035,1185238,23474,874895,15609,36740,153486,40.6678828,-111.9242397
0500000US49037,14518,36,10342,25,94,478,37.6026332,-109.7915742
0500000US49039,28437,224,20434,179,396,1912,39.3734262,-111.5769332
0500000US49041,21522,65,15073,28,79,617,38.7468245,-111.8119299
0500000US49043,42357,173,32006,125,342,3090,40.8720603,-110.9684862
0500000US49045,72698,465,48739,304,823,5765,40.4677525,-113.1239786
0500000US49047,35620,98,23846,65,201,1697,40.1258872,-109.5177482
0500000US49049,659399,4403,443266,2873,7972,55510,40.1204248,-111.6685082
0500000US49051,34788,157,24210,95,275,3105,40.3348838,-111.1615683
0500000US49053,180279,988,132737,711,1924,12931,37.2625308,-113.4878003
0500000US49055,2486,1,1950,1,20,62,38.2598402,-110.990877
0500000US49057,262223,3613,189592,2692,6685,31065,41.2703252,-111.876883
