GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US51001,33413,8670,26872,6707,13657,2060,37.7659435,-75.7578073
0500000US51003,112395,9953,89545,7864,16697,5602,38.0241841,-78.5535056
0500000US51005,15223,681,12380,550,1169,123,37.7879048,-80.008669
0500000US51007,13265,2555,10588,2171,4441,258,37.3319271,-77.9774619
0500000US51009,31307,5400,24919,4420,9201,538,37.6293036,-79.1546672
0500000US51011,16119,2894,12545,2224,4565,181,37.3707253,-78.8109404
0500000US51013,238643,20875,196563,17159,36939,27920,38.8783374,-77.1007034
0500000US51015,77487,3116,62017,2681,5693,1752,38.1725895,-79.1409749
0500000US51017,4209,116,3512,103,244,55,38.0683679,-79.7312032
0500000US51019,79462,4925,63582,3938,8274,1292,37.3122568,-79.5272234
0500000US51021,6270,169,5328,168,363,40,37.1306124,-81.1258532
0500000US51023,33596,918,26924,768,1641,460,37.5654822,-79.7975457
0500000US51025,15849,8607,13337,7252,14625,264,36.7642043,-77.8614832
0500000US51027,20355,618,16787,491,1020,125,37.2681198,-82.0381508
0500000US51029,16824,5435,13623,4555,9251,304,37.573928,-78.5291687
0500000US51031,55696,7832,44155,6264,12968,1156,37.2101515,-79.0954282
0500000US51033,30887,7721,23869,6210,12890,1320,38.0280328,-77.3537363
0500000US51035,29155,169,23710,122,319,607,36.7319632,-80.7278307
0500000US51036,6773,2836,5779,2461,5024,79,37.3610537,-77.05417
0500000US51037,11529,3140,9129,2543,5167,171,37.0090421,-78.6585682
0500000US51041,364548,83107,276953,63041,130377,25811,37.3784338,-77.5858474
0500000US51043,14783,578,11893,478,1033,578,39.1153068,-77.9907479
0500000US51045,4892,13,3973,5,18,31,37.4736031,-80.2310507
0500000US51047,52552,6567,39903,5121,10768,4666,38.4859303,-77.9564758
0500000US51049,9675,2831,7701,2314,4719,148,37.5201891,-78.2528364
0500000US51051,14124,49,11373,35,88,54,37.1367011,-82.3492199
0500000US51053,27947,8177,21990,6583,13408,683,37.0734984,-77.6354922
0500000US51057,10599,3775,8598,2956,6048,235,37.936389,-76.9337475
0500000US51059,1150309,110889,882106,83857,177983,139127,38.8295203,-77.2732524
0500000US51061,72972,5091,56104,4080,8771,4949,38.7440956,-77.8215005
0500000US51063,15476,244,12408,205,471,335,36.9314331,-80.3502662
0500000US51065,27249,3730,21838,3050,6371,742,37.830584,-78.2834938
0500000US51067,54477,3921,44197,3208,6757,1216,36.9911862,-79.8827149
0500000US51069,91419,3718,70428,2871,6318,6213,39.2036601,-78.2638291
