GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US50001,37363,368,31009,317,771,918,44.0312479,-73.1415807
0500000US50003,37347,430,30185,316,766,639,43.0353254,-73.1114603
0500000US50005,30233,234,24125,160,403,422,44.4687907,-72.1121676
0500000US50007,168323,4910,138600,3229,7337,3544,44.4633289,-73.0694099
0500000US50009,5920,15,4891,9,31,40,44.7240209,-71.7327362
0500000US50011,49946,338,38887,253,623,624,44.8589643,-72.9094023
0500000US50013,7293,51,6023,34,86,76,44.7957425,-73.2950822
0500000US50015,25945,225,20744,186,491,444,44.6111921,-72.632659
0500000US50017,29277,162,23692,121,315,336,44.0033492,-72.3694641
0500000US50019,27393,131,22135,100,286,299,44.8284417,-72.25163
0500000US50021,60572,517,50012,402,976,893,43.5808577,-73.0382023
0500000US50023,59807,651,48717,512,1271,1141,44.2749694,-72.6094444
0500000US50025,45905,536,37893,411,1063,910,42.9953348,-72.721955
0500000US50027,57753,466,47569,342,893,827,43.5724477,-72.5988132
