GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US53001,20613,41,13630,29,95,7875,47.0112378,-118.5128614
0500000US53003,22285,116,17729,81,239,546,46.1818612,-117.2277813
0500000US53005,206873,2893,152644,1986,4938,30200,46.2281252,-119.5166594
0500000US53007,79074,296,61405,201,601,14304,47.8609739,-120.619041
0500000US53009,77155,615,64588,515,1388,3159,48.1109034,-123.8898599
0500000US53011,503311,11396,385835,8492,20683,37097,45.7717295,-122.4859533
0500000US53013,3952,11,3277,7,35,210,46.2928505,-117.9116345
0500000US53015,110730,820,85596,605,1688,6484,46.1967854,-122.6784596
0500000US53017,42938,150,32199,112,310,9290,47.7417625,-119.6946219
0500000US53019,7178,28,5831,28,92,154,48.4732563,-118.5335894
0500000US53021,96749,1790,66302,1416,3235,32496,46.5375019,-118.9038912
0500000US53023,2286,9,1799,5,22,65,46.4293176,-117.5367052
0500000US53025,99123,782,70900,584,1519,26419,47.2136328,-119.467788
0500000US53027,75636,1026,60530,857,2047,4746,47.1137324,-123.8267349
0500000US53029,86857,2399,71175,1881,4495,4722,48.1585538,-122.6706492
0500000US53031,32977,207,28951,177,495,951,47.8057075,-123.5270572
0500000US53033,2269675,151468,1813470,112251,248535,169834,47.4905518,-121.8339765
0500000US53035,275611,7835,219552,6240,15185,16207,47.6395948,-122.6496339
0500000US53037,44337,402,36115,350,945,3146,47.1244411,-120.6767092
0500000US53039,22735,64,18296,60,178,2033,45.8704463,-120.7793049
0500000US53041,82149,564,64000,421,1162,5255,46.5800714,-122.3774443
0500000US53043,10876,21,8582,15,70,230,47.5827433,-118.4176925
0500000US53045,65726,713,53265,620,1569,4673,47.3508322,-123.1731033
0500000US53047,42104,168,32978,133,385,5409,48.5484533,-119.7422347
0500000US53049,23365,101,19358,63,213,1338,46.5565866,-123.7824193
0500000US53051,13401,57,10878,45,126,271,48.5438247,-117.2321913
0500000US53053,921130,66006,709366,50476,115856,71929,47.0514128,-122.1532402
0500000US53055,17788,54,15258,51,179,870,48.5071904,-123.1037693
0500000US53057,129523,888,101710,659,1772,14813,48.4932917,-121.8157703
0500000US53059,12036,74,9798,49,141,501,46.0247853,-121.9532319
0500000US53061,827957,29293,639797,21255,49112,62130,48.054913,-121.7650375
0500000US53063,539339,10979,421551,8135,20250,23384,47.6203752,-117.4033714
0500000US53065,46445,149,36608,112,331,1060,48.3887277,-117.8544548
0500000US53067,294793,9403,231089,7130,17271,18629,46.9358216,-122.8301524
0500000US53069,4422,22,3655,13,44,121,46.2946377,-123.4244583
0500000US53071,62584,1056,49597,940,2192,9364,46.2546057,-118.4803697
0500000US53073,226847,2347,182483,1826,5176,15246,48.8426531,-121.8364325
0500000US53075,47973,1203,40521,996,2442,3347,46.9059441,-117.5353898
0500000US53077,256728,2119,184371,1551,3990,82166,46.4565581,-120.7401446
