GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US55001,20654,603,17644,570,1180,553,43.9737568,-89.7672276
0500000US55003,16027,112,12586,82,226,219,46.5444245,-90.6796907
0500000US55005,46711,819,36847,541,1189,782,45.4371917,-91.8528921
0500000US55007,16220,59,13450,35,102,164,46.6341992,-91.1772815
0500000US55009,268740,8404,206130,5763,12859,16007,44.4740244,-87.9961303
0500000US55011,13317,43,10554,29,87,195,44.3856333,-91.761294
0500000US55013,16526,65,13642,52,161,154,45.8668974,-92.3757305
0500000US55015,52442,444,39712,279,674,1675,44.0784104,-88.2121322
0500000US55017,66297,1075,51536,928,1992,823,45.0690918,-91.2835054
0500000US55019,34659,119,24688,67,203,1214,44.7393462,-90.6099532
0500000US55021,58490,905,46137,767,1682,1351,43.4718818,-89.3304721
0500000US55023,16113,269,12817,256,546,203,43.2427683,-90.935185
0500000US55025,561504,30473,448406,21138,46793,27787,43.0674684,-89.4178523
0500000US55027,89396,2766,71608,2519,5245,3505,43.4296276,-88.7019394
0500000US55029,30066,145,25305,94,275,712,45.0934165,-87.0486828
0500000US55031,44295,583,35640,416,1004,467,46.4632185,-91.8924773
0500000US55033,45440,404,36191,306,765,665,44.9477513,-91.8976451
0500000US55035,105710,1255,83793,900,2216,1951,44.7263547,-91.2864137
0500000US55037,4558,9,3848,7,16,36,45.8718277,-88.4069879
0500000US55039,104154,2416,82059,1602,3574,4230,43.7547219,-88.493284
0500000US55041,9179,32,7302,25,78,73,45.6668806,-88.7733265
0500000US55043,51938,684,40847,534,1157,856,42.8700275,-90.6942288
0500000US55045,37093,212,28864,128,325,878,42.6755218,-89.6050743
0500000US55047,19018,117,15013,85,212,586,43.7802469,-88.9703796
0500000US55049,23709,114,18441,73,206,302,43.0010208,-90.1336915
0500000US55051,6137,16,5255,13,31,40,46.32655,-90.2612985
0500000US55053,21145,442,16416,398,840,446,44.3245897,-90.7995104
0500000US55055,84900,888,66349,618,1467,4323,43.0138045,-88.7739847
0500000US55057,26718,560,21387,511,1083,460,43.9328362,-90.1139837
0500000US55059,169151,12082,131452,8450,18256,15721,42.5858816,-87.8763984
0500000US55061,20563,60,16113,46,116,490,44.6056771,-87.4480081
0500000US55063,120784,1994,96611,1406,3494,2089,43.9082222,-91.1117584
0500000US55065,16611,28,12491,21,77,657,42.6555782,-90.1302916
0500000US55067,19491,105,15647,50,137,251,45.2548634,-89.0670703
0500000US55069,28415,158,23017,51,166,321,45.333148,-89.73224
0500000US55071,81359,1070,64596,689,1589,2380,44.156137,-87.5773525
0500000US55073,138013,1192,106877,810,2008,2584,44.8980363,-89.757823
0500000US55075,41872,201,33918,133,348,700,45.3468989,-87.991198
0500000US55077,15592,46,12550,32,90,277,43.8260529,-89.4090953
0500000US55078,4255,2,2893,2,19,81,44.9913041,-88.6692512
0500000US55079,939489,245863,720446,171562,354585,99824,42.9126431,-87.8623115
0500000US55081,46274,649,34674,463,1047,1445,43.9451751,-90.6199687
0500000US55083,38965,92,31009,68,180,491,44.9965754,-88.2065162
0500000US55085,37845,213,31461,152,369,365,45.7161762,-89.5345333
0500000US55087,190705,3053,146186,2060,4717,5740,44.4182258,-88.4649883
0500000US55089,91503,1524,71843,1112,2518,1867,43.5018446,-87.8475669
0500000US55091,7318,24,5705,21,51,96,44.6274362,-91.8348898
0500000US55093,42212,406,33381,315,801,832,44.7253365,-92.4262793
0500000US55095,44977,182,35567,107,309,591,45.4620407,-92.447066
0500000US55097,70377,945,56525,693,1589,1715,44.4762457,-89.4980699
0500000US55099,14054,33,11566,19,52,105,45.6790725,-90.3596497
0500000US55101,197727,23303,153051,16366,34551,17456,42.7803923,-87.7715988
0500000US55103,17304,96,13369,46,124,312,43.3761994,-90.4356927
0500000US55105,163687,8311,126282,5741,12610,9544,42.6698802,-89.0752844
0500000US55107,14188,45,11302,34,82,164,45.472734,-91.1367448
0500000US55109,93536,653,70347,457,1185,1636,45.0289589,-92.4472842
0500000US55111,65763,622,51197,448,1077,2589,43.428001,-89.9433184
0500000US55113,18074,101,14724,72,189,223,45.8649115,-91.1471333
0500000US55115,40881,126,32157,84,273,693,44.7896407,-88.7558134
0500000US55117,118034,2539,92434,1808,3986,5355,43.741232,-87.7315164
0500000US55119,19913,67,15126,41,98,331,45.2116558,-90.5048529
0500000US55121,30760,105,23150,63,178,2158,44.3030501,-91.3588668
0500000US55123,30714,127,22734,93,231,300,43.5993661,-90.8219835
0500000US55125,23047,58,19453,49,147,264,46.049848,-89.501254
0500000US55127,106478,1223,84970,905,2123,8107,42.6681095,-88.5417306
0500000US55129,16623,34,13612,23,66,179,45.8924885,-91.7964217
0500000US55131,136761,1753,107030,1139,2624,2966,43.391156,-88.2329166
0500000US55133,406978,6852,318193,4661,10594,13630,43.0183677,-88.3042404
0500000US55135,51812,211,41368,166,409,1140,44.4780043,-88.9670053
0500000US55137,24520,397,20060,373,788,1085,44.1128231,-89.2397862
0500000US55139,171730,5099,136202,3661,7950,5265,44.0857068,-88.6681488
0500000US55141,74207,579,58544,381,970,1393,44.4614126,-90.0388252
