GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US54001,15465,271,12330,256,602,141,39.1397248,-79.9969466
0500000US54003,122076,9364,93351,7163,15664,4217,39.4479382,-78.0377535
0500000US54005,21809,135,17266,107,270,89,38.0228143,-81.7135382
0500000US54007,12447,50,10087,46,114,54,38.6993304,-80.7316597
0500000US54009,22559,368,18495,305,712,175,40.2726454,-80.578691
0500000US54011,94350,4811,76413,3782,8299,1108,38.4195778,-82.2433966
0500000US54013,6229,13,5009,8,22,31,38.8441591,-81.1154775
0500000US54015,8051,13,6320,6,21,31,38.4598259,-81.0818663
0500000US54017,7808,174,6424,168,342,49,39.2643068,-80.7114979
0500000US54019,40488,1680,32082,1393,2971,357,38.0309328,-81.0860508
0500000US54021,7408,937,6276,933,1876,218,38.9158671,-80.8494132
0500000US54023,10976,85,8922,63,177,66,39.1059882,-79.195064
0500000US54025,32977,792,26614,655,1472,405,37.9244177,-80.4505897
0500000US54027,23093,188,18579,139,349,213,39.3121395,-78.6119886
0500000US54029,29095,703,23688,561,1256,286,40.5169584,-80.5701643
0500000US54031,14299,414,11275,319,719,421,39.0113612,-78.8417292
0500000US54033,65921,1118,52001,890,2084,972,39.279182,-80.3864982
0500000US54035,27791,101,21854,66,199,145,38.8342339,-81.6777168
0500000US54037,57701,3459,44965,2822,6180,2612,39.3073985,-77.86322
0500000US54039,180745,13592,145391,10518,22608,1826,38.3280675,-81.5235156
0500000US54041,17033,69,13500,53,138,118,38.9888773,-80.4954773
0500000US54043,20463,49,15918,30,122,115,38.1717696,-82.0776231
0500000US54045,32567,581,26129,485,1060,168,37.8305905,-81.940853
0500000US54047,19111,2163,15723,1922,3934,365,37.3827604,-81.658204
0500000US54049,56205,1867,44894,1441,3259,619,39.5058387,-80.2434018
0500000US54051,30591,264,24723,225,535,258,39.8544259,-80.6717944
0500000US54053,25453,193,20215,133,314,118,38.770914,-82.0290067
0500000US54055,59664,3720,47634,2813,6000,476,37.4034477,-81.106456
0500000US54057,26938,723,21433,602,1380,201,39.4047806,-78.9566899
0500000US54059,23568,409,18632,334,744,109,37.7211608,-82.1589891
0500000US54061,105822,4160,88063,3448,7898,2504,39.6336448,-80.0590736
0500000US54063,12376,113,9895,82,212,77,37.5540622,-80.5503295
0500000US54065,17063,112,13950,86,206,154,39.5573454,-78.2565175
0500000US54067,24604,61,19777,45,145,131,38.2914318,-80.7975148
0500000US54069,42425,1661,34307,1232,2774,425,40.100323,-80.6199004
0500000US54071,6143,82,5102,69,185,42,38.6744501,-79.3406175
0500000US54073,7653,95,6215,85,188,37,39.3681331,-81.1611724
0500000US54075,7869,57,6523,48,110,68,38.332606,-80.0101207
0500000US54077,34216,2042,27778,2022,4114,586,39.4690296,-79.6688649
0500000US54079,57440,656,44467,471,1145,517,38.5105179,-81.906109
0500000US54081,74591,5847,59099,4770,9968,828,37.7624694,-81.2646719
0500000US54083,27932,433,22746,356,777,200,38.7810953,-79.8677881
0500000US54085,8444,17,6813,17,37,44,39.1771118,-81.0663167
0500000US54087,14028,39,11137,24,79,84,38.7429497,-81.3544939
0500000US54089,11959,402,9877,383,820,144,37.6559986,-80.856325
0500000US54091,16705,114,13263,91,234,120,39.3324778,-80.0465539
0500000US54093,6762,21,5490,4,16,41,39.1111751,-79.5599678
0500000US54095,8313,4,6639,1,33,41,39.465634,-80.8772193
0500000US54097,23816,223,18849,194,447,217,38.9025302,-80.2316057
0500000US54099,38982,168,30509,102,286,203,38.1436416,-82.4226659
0500000US54101,8378,13,6714,10,31,23,38.483459,-80.4490515
0500000US54103,14442,34,11639,27,80,105,39.59818,-80.6353994
0500000US54105,5194,6,4111,0,11,13,39.0200337,-81.3829749
0500000US54107,84296,1040,66918,793,2003,795,39.2116023,-81.516234
0500000US54109,21382,107,16908,90,228,121,37.6036601,-81.5490317
