GEOID,POP,BPOP,VAP,BVAP,BVAP_TOT,HVAP,INTPTLAT,INTPTLON
0500000US56001,37066,432,30852,348,861,2862,41.6655141,-105.7218826
0500000US56003,11521,22,8627,10,40,642,44.5251167,-107.9948477
0500000US56005,47026,239,33847,164,429,2526,44.1919991,-105.5170141
0500000US56007,14537,140,11221,113,262,1770,41.7035904,-106.9331526
0500000US56009,13751,41,10331,22,67,668,42.9846234,-105.5247521
0500000US56011,7181,0,5432,0,17,85,44.5892657,-104.5672975
0500000US56013,39234,192,29597,152,397,1540,43.054831,-108.6089349
0500000US56015,12498,76,10005,72,162,842,42.0894553,-104.3535403
0500000US56017,4621,13,3653,6,42,98,43.7202092,-108.4350765
0500000US56019,8447,26,6680,15,47,223,44.0440477,-106.5885406
0500000US56021,100512,2472,77134,1855,4343,10266,41.2928302,-104.660395
0500000US56023,19581,40,14460,21,66,620,42.2299932,-110.6829614
0500000US56025,79955,791,60437,576,1481,4444,42.9776447,-106.7682192
0500000US56027,2467,6,2033,5,18,56,43.062159,-104.4683727
0500000US56029,29624,61,23541,48,149,1106,44.4923865,-109.5935975
0500000US56031,8605,19,6889,1,25,460,42.1315927,-104.9539626
0500000US56033,30921,115,24303,85,252,891,44.7813692,-106.8812114
0500000US56035,8728,18,6609,16,49,386,42.7679284,-109.9161701
0500000US56037,42272,366,31070,271,677,4412,41.6603282,-108.8756774
0500000US56039,23331,55,18755,50,143,2166,44.048662,-110.426087
0500000US56041,20450,66,14627,36,123,1215,41.2847255,-110.5589468
0500000US56043,7685,12,5846,5,27,662,43.8788305,-107.669052
0500000US56045,6838,30,5388,24,61,213,43.8462133,-104.5700202
