full_path,filename,BVAP_reps,Dem_reps,Rep_reps
results-ALMSLA_county_step-expmax\AL-county-step-exp-70.json,AL-county-step-exp-70,1.5742125,1.687100417,5.312899583
results-ALMSLA_county_step-expmax\AL-county-step-exp-90.json,AL-county-step-exp-90,1.573700226,1.687067336,5.312932664
results-ALMSLA_step-expmax_LongRun\AL-county-step-exp-90.json,AL-county-step-exp-90,1.573700226,1.687067336,5.312932664
results-ALMSLA_county_step-expmax\AL-county-step-exp-55.json,AL-county-step-exp-55,1.56939618,1.679897871,5.320102129
results-ALMSLA_county_step-expmax\AL-county-step-max-70.json,AL-county-step-max-70,1.570395549,1.67429774,5.32570226
results-ALMSLA_county_step-expmax\AL-county-step-max-90.json,AL-county-step-max-90,1.571292083,1.670922921,5.329077079
results-ALMSLA_county_step-expmax\AL-county-step-max-55.json,AL-county-step-max-55,1.55819939,1.659532891,5.340467109
results-ALMSLA_county_step-expmax\AL-county-step-max-40.json,AL-county-step-max-40,1.562528059,1.652684633,5.347315367
results-ALMSLA_PWL\AL-county-PWL-60.json,AL-county-PWL-60,1.571298418,1.650102634,5.349897366
results-ALMSLA_county_step-expmax\AL-county-step-max-25.json,AL-county-step-max-25,1.545911966,1.595482465,5.404517535
results-ALMSLA_county_step-expmax\AL-county-step-max-10.json,AL-county-step-max-10,1.550291907,1.579329402,5.420670598
results-ALMSLA_county_step-expmax\AL-county-step-exp-40.json,AL-county-step-exp-40,1.574753553,1.576121367,5.423878633
results-ALMSLA_county_step-expmax\AL-county-step-exp-15.json,AL-county-step-exp-15,1.532290464,1.570057911,5.429942089
results-ALMSLA_PWL\AL-county-PWL-10.json,AL-county-PWL-10,1.567837398,1.498849199,5.501150801
data\bestruns\AL-county-step-max-90.json,AL-county-step-max-90,1.586278295,1.485406411,5.514593589
results-ALMSLA_step-expmax_LongRun\AL-county-step-max-90.json,AL-county-step-max-90,1.586278295,1.485406411,5.514593589
results-ALMSLA_county_step-expmax\AL-county-step-exp-25.json,AL-county-step-exp-25,1.51414681,1.471659266,5.528340734
results-ALMSLA_county_step-expmax\AL-county-step-max-15.json,AL-county-step-max-15,1.500865401,1.424233124,5.575766876
results-ALMSLA_county_step-expmax\AL-county-step-max-5.json,AL-county-step-max-5,1.505255902,1.412559193,5.587440807
results-BNPWL\AL-county-BNPWL-7.json,AL-county-BNPWL-7,1.582126074,1.390589719,5.609410281
results-hvap\AL-county-step-hvap-25.json,AL-county-step-hvap-25,1.582126074,1.390589719,5.609410281
results-BNPWL\AL-county-BNPWL-4.json,AL-county-BNPWL-4,1.48594146,1.365972496,5.634027504
results-BNPWL\AL-county-BNPWL-6.json,AL-county-BNPWL-6,1.57587029,1.336508005,5.663491995
results-ALMSLA_county_step-expmax\AL-county-step-exp-5.json,AL-county-step-exp-5,1.463739137,1.315342703,5.684657297
results-ALMSLA_county_step-expmax\AL-county-step-exp-10.json,AL-county-step-exp-10,1.559119935,1.233409281,5.766590719
results-ALMSLA_PWL\AL-county-PWL_approx-10.json,AL-county-PWL_approx-10,1.386752449,1.029726289,5.970273711
results-ALMSLA_PWL\AL-county-PWL_approx-60.json,AL-county-PWL_approx-60,1.388877194,1.029365595,5.970634405
results-ALMSLASC_county_step-ordered\AL-county-step-ordered-25.json,AL-county-step-ordered-25,1.151606466,0.501694116,6.498305884
results-ALMSLASC_county_step-ordered\AL-county-step-ordered-40.json,AL-county-step-ordered-40,1.087678171,0.422672748,6.577327252
results-ALMSLASC_county_step-ordered\AL-county-step-ordered-90.json,AL-county-step-ordered-90,1.164663735,0.380046699,6.619953301
