full_path,filename,BVAP_reps,Dem_reps,Rep_reps
data\bestruns\MS-county-step-exp-40.json,MS-county-step-exp-40,1.6644763,1.217335606,2.782664394
results-ALMSLA_county_step-expmax\MS-county-step-exp-40.json,MS-county-step-exp-40,1.6644763,1.217335606,2.782664394
results-ALMSLA_county_step-expmax\MS-county-step-exp-25.json,MS-county-step-exp-25,1.664276012,1.25931353,2.74068647
results-ALMSLA_PWL\MS-county-PWL-60.json,MS-county-PWL-60,1.654637122,1.2368196,2.7631804
results-ALMSLA_county_step-expmax\MS-county-step-exp-90.json,MS-county-step-exp-90,1.652891512,1.216538561,2.783461439
results-ALMSLA_county_step-expmax\MS-county-step-max-55.json,MS-county-step-max-55,1.652230366,1.165218685,2.834781315
results-ALMSLA_county_step-expmax\MS-county-step-exp-55.json,MS-county-step-exp-55,1.648660145,1.212392267,2.787607733
results-ALMSLA_county_step-expmax\MS-county-step-max-70.json,MS-county-step-max-70,1.647463563,1.1724352,2.8275648
results-ALMSLA_step-expmax_LongRun\MS-county-step-exp-90.json,MS-county-step-exp-90,1.646116801,1.200107566,2.799892434
results-ALMSLA_county_step-expmax\MS-county-step-max-90.json,MS-county-step-max-90,1.642964566,1.144508661,2.855491339
results-ALMSLA_county_step-expmax\MS-county-step-max-40.json,MS-county-step-max-40,1.641555561,1.149439711,2.850560289
results-ALMSLA_county_step-expmax\MS-county-step-exp-10.json,MS-county-step-exp-10,1.640521674,1.202487918,2.797512082
results-ALMSLA_step-expmax_LongRun\MS-county-step-max-90.json,MS-county-step-max-90,1.639255955,1.154193715,2.845806285
results-ALMSLA_county_step-expmax\MS-county-step-max-10.json,MS-county-step-max-10,1.637861647,1.165851344,2.834148656
results-ALMSLA_county_step-expmax\MS-county-step-exp-70.json,MS-county-step-exp-70,1.63280289,1.058837649,2.941162351
results-ALMSLA_county_step-expmax\MS-county-step-exp-15.json,MS-county-step-exp-15,1.625943342,1.035188427,2.964811573
results-ALMSLA_county_step-expmax\MS-county-step-max-25.json,MS-county-step-max-25,1.615561685,1.036960235,2.963039765
results-ALMSLA_county_step-expmax\MS-county-step-max-15.json,MS-county-step-max-15,1.615506134,1.104001681,2.895998319
results-BNPWL\MS-county-BNPWL-4.json,MS-county-BNPWL-4,1.609007605,0.926132914,3.073867086
results-ALMSLASC_county_step-ordered\MS-county-step-ordered-25.json,MS-county-step-ordered-25,1.586066133,0.855023461,3.144976539
results-ALMSLA_county_step-expmax\MS-county-step-max-5.json,MS-county-step-max-5,1.580718138,0.799634075,3.200365925
results-ALMSLASC_county_step-ordered\MS-county-step-ordered-40.json,MS-county-step-ordered-40,1.47445106,0.434473777,3.565526223
results-ALMSLA_PWL\MS-county-PWL_approx-60.json,MS-county-PWL_approx-60,1.467270556,0.980355122,3.019644878
results-ALMSLA_PWL\MS-county-PWL_approx-10.json,MS-county-PWL_approx-10,1.465585062,0.984703584,3.015296416
results-ALMSLASC_county_step-ordered\MS-county-step-ordered-90.json,MS-county-step-ordered-90,1.46208985,0.250078753,3.749921247
results-ALMSLA_county_step-expmax\MS-county-step-exp-5.json,MS-county-step-exp-5,1.444319204,0.346282687,3.653717313
