full_path,filename,BVAP_reps,Dem_reps,Rep_reps
..\data\bestruns\AL-county-step-max-90.json,AL-county-step-max-90,1.5862782949012255,1.4854064106171234,5.514593589382876
..\results-ALMSLA_step-expmax_LongRun\AL-county-step-max-90.json,AL-county-step-max-90,1.5862782949012255,1.4854064106171234,5.514593589382876
..\results-BNPWL\AL-county-BNPWL-7.json,AL-county-BNPWL-7,1.582126073763431,1.3905897193002916,5.609410280699708
..\results-hvap\AL-county-step-hvap-25.json,AL-county-step-hvap-25,1.582126073763431,1.3905897193002916,5.609410280699708
..\results-BNPWL\AL-county-BNPWL-6.json,AL-county-BNPWL-6,1.5758702904453603,1.3365080054129628,5.663491994587037
..\results-ALMSLA_county_step-expmax\AL-county-step-exp-40.json,AL-county-step-exp-40,1.574753553245406,1.5761213674759478,5.423878632524052
..\results-ALMSLA_county_step-expmax\AL-county-step-exp-70.json,AL-county-step-exp-70,1.5742125004442011,1.6871004166064802,5.312899583393519
..\results-ALMSLA_county_step-expmax\AL-county-step-exp-90.json,AL-county-step-exp-90,1.5737002259853483,1.6870673364926771,5.312932663507323
..\results-ALMSLA_step-expmax_LongRun\AL-county-step-exp-90.json,AL-county-step-exp-90,1.5737002259853483,1.6870673364926771,5.312932663507323
..\results-ALMSLA_PWL\AL-county-PWL-60.json,AL-county-PWL-60,1.5712984178192586,1.650102634198897,5.349897365801103
..\results-ALMSLA_county_step-expmax\AL-county-step-max-90.json,AL-county-step-max-90,1.5712920825296313,1.6709229207740435,5.329077079225956
..\results-ALMSLA_county_step-expmax\AL-county-step-max-70.json,AL-county-step-max-70,1.5703955493261652,1.6742977400696912,5.325702259930308
..\results-ALMSLA_county_step-expmax\AL-county-step-exp-55.json,AL-county-step-exp-55,1.5693961797562395,1.6798978710189734,5.320102128981027
..\results-ALMSLA_PWL\AL-county-PWL-10.json,AL-county-PWL-10,1.567837397644467,1.4988491993913695,5.501150800608631
..\results-ALMSLA_county_step-expmax\AL-county-step-max-40.json,AL-county-step-max-40,1.5625280586519825,1.6526846329101301,5.3473153670898705
..\results-ALMSLA_county_step-expmax\AL-county-step-exp-10.json,AL-county-step-exp-10,1.559119934858842,1.2334092811481205,5.766590718851879
..\results-ALMSLA_county_step-expmax\AL-county-step-max-55.json,AL-county-step-max-55,1.5581993903086155,1.6595328911527163,5.3404671088472835
..\results-ALMSLA_county_step-expmax\AL-county-step-max-10.json,AL-county-step-max-10,1.5502919066910144,1.579329402459096,5.420670597540904
..\results-ALMSLA_county_step-expmax\AL-county-step-max-25.json,AL-county-step-max-25,1.5459119659211105,1.5954824647320345,5.404517535267965
..\results-ALMSLA_county_step-expmax\AL-county-step-exp-15.json,AL-county-step-exp-15,1.5322904643603692,1.5700579111336461,5.429942088866354
..\results-ALMSLA_county_step-expmax\AL-county-step-exp-25.json,AL-county-step-exp-25,1.514146810158626,1.4716592663790429,5.528340733620957
..\results-ALMSLA_county_step-expmax\AL-county-step-max-5.json,AL-county-step-max-5,1.505255901723959,1.4125591931116563,5.587440806888344
..\results-ALMSLA_county_step-expmax\AL-county-step-max-15.json,AL-county-step-max-15,1.5008654011805243,1.4242331238591177,5.575766876140882
..\results-BNPWL\AL-county-BNPWL-4.json,AL-county-BNPWL-4,1.4859414598935758,1.3659724962979678,5.634027503702032
..\results-ALMSLA_county_step-expmax\AL-county-step-exp-5.json,AL-county-step-exp-5,1.4637391373136792,1.3153427033746115,5.684657296625389
..\results-ALMSLA_PWL\AL-county-PWL_approx-60.json,AL-county-PWL_approx-60,1.3888771938955764,1.0293655948357867,5.970634405164214
..\results-ALMSLA_PWL\AL-county-PWL_approx-10.json,AL-county-PWL_approx-10,1.3867524489284273,1.0297262889327328,5.970273711067267
..\results-ALMSLASC_county_step-ordered\AL-county-step-ordered-90.json,AL-county-step-ordered-90,1.1646637348628437,0.38004669921934003,6.61995330078066
..\results-ALMSLASC_county_step-ordered\AL-county-step-ordered-25.json,AL-county-step-ordered-25,1.1516064658010459,0.5016941162944965,6.498305883705504
..\results-ALMSLASC_county_step-ordered\AL-county-step-ordered-40.json,AL-county-step-ordered-40,1.087678170682766,0.42267274838796703,6.577327251612033
